time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,61.97,1622.97,2824.99,4128.26
0.04,0,62.61,1770.63,3115.01,4068.65
0.05,0,62.89,1734.55,2891.13,3848.42
0.06,0,61.73,1268.35,2366.51,3534.09
0.07,0,60.5,738.57,2030.42,3221.8
0.08,0,58.45,887.8,2404.83,3601.98
0.09,0,59.88,1796.85,3092.17,4302.61
0.1,0,66.3,384.34,2075.09,3168.59
0.11,0,68.52,1151.71,2675.31,3718.95
0.12,0,67.42,1082.04,2358.39,3646.01
0.13,0,64.86,1476.81,2507.43,3905.13
0.14,0,64.82,1559.1,3088.8,4338.59
0.15,0,65.09,536.45,1919.9,2795.03
0.16,0,62.85,1010.1,2470.94,3053.79
0.17,0,57.37,798.42,1956.12,3086.85
0.18,0,54.02,734.48,1559.26,3079.11
0.19,0,60.02,1484.69,1860.5,2872.97
0.2,0,62.67,1538.19,2776.76,4407.33
0.21,0,62.52,1513.02,2997.46,4425.97
0.22,0,62.61,1452.73,3077.77,4235.8
0.23,0,65.95,839.69,2059.12,3412.2
0.24,0,73.53,616.37,1394.09,3070.02
0.25,0,78.96,665.15,1425.12,2968.02
0.26,0,81.34,644.53,1423.83,2916.69
0.27,175.94,81.73,632.89,1427.86,2943.81
0.28,175.22,81.2,595.46,1404.52,2950.6
0.29,176.29,79.86,496.5,1399.24,2894.5
0.3,176.16,76.44,431.99,1380.07,2867.3
0.31,0,70.22,484,1390.55,2897.8
0.32,0,66.57,415.75,1386.28,2972.24
0.33,0,64.41,531.97,1372.42,2967.97
0.34,0,62.38,575.87,1364.6,3017.43
0.35,0,59.87,569.71,1413.48,2972.7
0.36,0,58.51,524.24,1440.91,2980.12
0.37,0,60.13,493.97,1437.24,2920.08
0.38,0,64.04,508.39,1810.08,2933.66
0.39,0,67.43,1275,2070.56,3254.69
0.4,0,70.59,965.29,2128.16,2986.12
0.41,221.79,76.28,1101.99,2501.48,3194.49
0.42,220.82,81.29,296.6,2254.03,2864.48
0.43,221.41,82.8,352.41,2365.96,2850.14
0.44,222.91,82.44,377.31,2434.21,2877.67
0.45,222.83,82.59,354.33,2487.2,2899.47
0.46,221.25,82.8,323.63,2562.11,2975.95
0.47,219.53,82.7,307.01,2608.14,3019.4
0.48,216.78,82.86,300.05,2594.62,3008.73
0.49,213.39,82.89,292.17,2609.55,3092.53
0.5,206.14,81.33,264.85,2572.43,3130.08
0.51,193.38,77.67,298.63,2341.7,2892.56
0.52,196.19,76.28,232.97,2317.7,3067.42
0.53,200.68,76.81,121.49,2312.67,3097.74
0.54,0,76.33,2229.34,3121.12,4356.2
0.55,0,74.88,2068.55,3101.24,4303.68
0.56,0,74.5,2123.98,3221.85,4229.03
0.57,0,75.41,2082.59,2948.76,4239.78
0.58,0,74.24,2018.39,3231.43,4543.78
0.59,0,71.49,2000.61,3198.95,4147.79
0.6,0,69.34,1169.11,2841.87,4204.85
0.61,0,68.53,1905.16,2964.88,4054.68
0.62,229.26,73.77,299.32,1902.73,3011.65
0.63,222.57,79.65,411.16,1774.56,2935.8
0.64,213.73,81.71,433,1740.65,2937.66
0.65,204.65,81.36,434.83,1761.55,2898.67
0.66,196.28,80.36,451.5,1739.67,2907.92
0.67,190.33,79.84,436.14,1678.1,2820.37
0.68,184.69,78.85,374.73,1600.82,2790.33
0.69,184.41,75.92,284.99,1625.3,2883.77
0.7,192.78,70.22,389.11,1840.25,2873.56
0.71,0,67.06,1063.72,2158.66,2977.43
0.72,0,66.54,1687.71,2647.41,3644.83
0.73,0,65.84,1175.07,2412.95,3555.34
0.74,0,64.55,1565.09,2484.59,3910.14
0.75,0,63.74,1583.83,2329.98,3556.25
0.76,0,62.23,1467.16,2414,3116.44
0.77,0,60.32,905.08,2074.86,3287.11
0.78,0,61.17,396.05,1820.16,2511.27
0.79,0,63.91,297.1,1696.14,2739.97
0.8,0,65.1,300.48,1800.55,2988.92
0.81,0,64.4,353.94,1774.56,2687.1
0.82,0,63.47,345.17,2108.63,2860.74
0.83,0,67.35,1734.87,2725.07,3288.39
0.84,0,68.64,1556.12,2589.73,2917.94
