time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1501.14,2642.78,3961.53
0.04,0,66.62,589.57,2379.64,3313.44
0.05,0,67.37,1333.97,2793.34,3923.72
0.06,0,66.01,1352.09,2498.44,3526.87
0.07,0,62.85,1746.37,2735.2,4049.98
0.08,0,62.61,1624.38,2883.44,4009.87
0.09,0,61.84,251.9,2108.18,3165.13
0.1,0,60.07,355.11,2158.91,3279.42
0.11,0,62.05,1290.9,2545.97,3631.02
0.12,0,64.21,1139.3,2469.74,3611.14
0.13,0,64.54,1217.35,2442.99,3311.45
0.14,0,65.98,613.66,1992.83,2963.42
0.15,176.45,70.99,394.35,1646.7,3005.98
0.16,175.29,76.56,363.89,1162.47,3292.3
0.17,174.56,79.66,354.13,1034.02,3346.43
0.18,175.22,81.09,360.56,963.4,3362.97
0.19,176.38,81.67,371.65,964.54,3384.39
0.2,178.73,82.34,376.73,969.71,3345.92
0.21,181.72,83.4,388.11,988.99,3355.27
0.22,185.06,84.43,413.08,999.81,3331.47
0.23,188.02,85.55,496.29,1054.85,3313.68
0.24,190.36,86.89,543.53,1114.29,3264.6
0.25,192.78,87.64,569.41,1197.13,3234.49
0.26,195.34,87.62,592.44,1289.41,3209.77
0.27,198.36,87.09,595.99,1166.12,3184.07
0.28,200.61,86.68,569.23,1070.43,3200.06
0.29,202.97,86.08,546.16,1041.38,3202.62
0.3,205.63,85.21,543.79,1031.95,3206.74
0.31,208.19,84.67,509.35,1033.62,3179.35
0.32,210.9,84.34,501.84,1018.08,3179.85
0.33,212.33,84.99,474.27,943.58,3183.33
0.34,213.01,86,452.52,895.08,3182.08
0.35,214.13,86.89,442.06,879.6,3191.69
0.36,215.92,87.44,441.04,881.98,3193.8
0.37,217.53,88.07,434,892.54,3154.03
0.38,217.72,88.71,436.6,899.9,3144.75
0.39,216.09,88.71,447.75,913.31,3138.83
0.4,213.7,87.84,459.27,956.16,3124.28
0.41,211.83,86.61,480.79,1020.48,3108.51
0.42,210.3,85.38,515.15,1057.39,3084.96
0.43,207.84,84.17,579.24,1083.89,3053.26
0.44,204.64,83.69,597.06,1151.28,3002.93
0.45,202.17,84.58,548.01,1182.11,2971.63
0.46,199.7,84.46,516.55,1209.47,2931.14
0.47,195.05,82.38,509.32,1199.28,2887.73
0.48,190.31,79.56,430.84,1222.39,2987.12
0.49,196.46,75.9,443.26,1331.03,2844.81
0.5,204.69,71.99,585.54,1754.39,2912.99
0.51,205.9,69.94,411.4,1731.92,2693.35
0.52,207.13,69.81,468.45,1922.52,2720.64
0.53,207.75,69.7,534.72,1910.52,2789.67
0.54,208.33,68.59,519.46,1982.61,2903.09
0.55,0,68.31,522.25,1972.71,2968.26
0.56,0,67.54,634.18,1891.33,2905.8
0.57,0,67.39,591.9,1976.17,2817.62
0.58,0,66.92,1306.41,2477.97,3476.8
0.59,0,66.57,1899.43,2618.66,3781.54
0.6,0,66.91,1124.25,2439.05,3336.47
0.61,0,67.71,1290.14,2413.92,3269.21
0.62,0,69.31,1152.96,2495.73,3306.75
0.63,0,70.97,2252.39,2962.04,3206.16
0.64,0,71.39,2261.92,2905.15,3664.99
0.65,220.81,71.96,2314.7,2950.86,3730.37
0.66,219.09,76.42,248.47,2487.34,3031
0.67,216.76,79.95,254.85,2553,3018.63
0.68,216.46,81.32,278.77,2569.77,2995.95
0.69,216.3,82.14,300.99,2549.12,2982.83
0.7,215.17,82.92,317.15,2546.36,2941.18
0.71,213.38,83.39,337.53,2493.8,2847.42
0.72,210.65,83.5,362.26,2410.09,2809.95
0.73,207.28,83.32,383.63,2318.32,2787.96
0.74,203.68,83.24,396.71,2241.24,2789.34
0.75,199.56,84.47,398.85,2190.56,2766.43
0.76,194.48,86.87,389.13,2120.9,2723
0.77,188.1,88.31,374.56,1974.26,2762.66
0.78,180.99,88.16,361.32,1933.66,2765.14
0.79,175.29,86.52,356.96,1868.62,2772.83
0.8,169.59,83.76,356.37,1714.37,2764.3
0.81,165.11,82.47,352.87,1592.92,2794.8
0.82,161.83,82.44,349.77,1476.4,2796.85
0.83,158.92,81.93,348.03,1429.86,2819.4
