time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,674.42,2305.75,3385.26
0.04,0,63.57,1515,2762.41,4016.52
0.05,0,62.96,2145.79,3166.86,4573.12
0.06,0,59.82,158.15,2253.84,2921.81
0.07,0,58.46,150.54,2323.04,3214.04
0.08,0,61.07,277.12,2342.77,3164.77
0.09,0,63.71,561.06,2311.12,3066.02
0.1,0,65.63,354.99,2236.81,3091.56
0.11,0,65.39,674.43,2213.34,2930.41
0.12,0,65.07,1311.94,2764.72,3942.11
0.13,0,64.17,1842.76,2680.6,3635.64
0.14,0,65.76,1928.17,2665.24,3381.66
0.15,0,67.21,761.77,1988.64,2716.48
0.16,0,66.8,622.74,1964.59,2688.54
0.17,0,66.01,682.47,2232.57,2928.83
0.18,0,67.35,726.37,2279.33,2976.57
0.19,0,70.61,829.67,2138.56,2925.14
0.2,221,76.79,635.11,1958.56,2726.08
0.21,215.53,80.83,712.72,1971.44,2829.6
0.22,213.09,82.36,762.6,1876.12,2796.78
0.23,215.3,83.18,776.6,1844.84,2711.87
0.24,218.34,84.07,787.58,1792.54,2662.82
0.25,222.56,84.93,802.75,1741.5,2728.91
0.26,226.48,85.82,804.97,1740.78,2729.75
0.27,230.14,86.3,784.93,1778.7,2758.66
0.28,234.27,86.08,784.32,1801.07,2807.09
0.29,238.21,85.93,761.55,1829.08,2822.56
0.3,241.2,85.95,734.57,1869.64,2857.21
0.31,242.25,84.85,703.13,1866.56,2789.28
0.32,241.64,81.86,594.69,1889.68,2728.57
0.33,238.25,77.01,568.71,1973.61,2951.59
0.34,237.04,71.67,694.09,1850.48,2889.13
0.35,237.17,68.62,717.12,1836.47,2866.03
0.36,234.36,66.38,737.44,1827.06,2783.32
0.37,0,65.85,774.05,1889.88,2989.13
0.38,0,67.99,751.41,2240.06,3074.57
0.39,0,69.72,696.11,2300.72,3065.31
0.4,0,73,738.9,2481.96,3149.64
0.41,0,75.3,812.12,2556.28,3322.35
0.42,0,75.18,700.33,2435.21,3193.85
0.43,0,74.93,2084.15,2933.88,3809.83
0.44,0,75.57,2004.95,2875.65,3559.15
0.45,0,75.5,1832.27,2854.11,3470.86
0.46,0,76.54,1855.99,2965.79,3670.77
0.47,0,75.49,1956.51,2839.56,3687.6
0.48,0,72.72,2128.7,3270.58,4023.95
0.49,0,72.52,1931.77,3262.77,4140.13
0.5,0,72.62,1819.66,3136.6,4248.2
0.51,0,71.75,1829.81,3168.97,4329.89
0.52,0,70.88,1791.29,3127.2,4253.1
0.53,252.18,77.03,778.9,2095.3,3330.81
0.54,245.57,83.54,466.11,1624.4,2969.49
0.55,233.98,85.97,496.16,1594.57,2985.34
0.56,224.11,85.81,501.22,1565.12,2962.22
0.57,216.94,84.79,504.25,1521.52,2965.11
0.58,210.91,83.55,460.3,1472.22,2888.02
0.59,206.26,81.7,417.75,1450.65,2754.77
0.6,203.8,81.16,371.68,1474.89,2783.67
0.61,202.83,82,386.28,1491.47,2791.27
0.62,199.65,82.49,350.77,1456.13,2775.79
0.63,196.56,83.39,327.39,1435.17,2735.11
0.64,194.22,84.41,315.47,1430.42,2758.62
0.65,192.02,85.14,282.67,1448.34,2852.7
0.66,189.56,85.31,257.12,1469.78,2874.07
0.67,185.86,84.38,256.57,1589.27,3003.22
0.68,181.06,81.68,285.3,1672.98,3245.16
0.69,175.69,76.71,350.22,1682.36,3389.55
0.7,169.34,74.98,313.99,1687.39,3338.96
0.71,163.74,74.23,304.54,1893.18,3734.52
0.72,161.71,72.37,298.45,1867.35,3520.45
0.73,161.67,73.46,216.39,1788.63,3145.66
0.74,163.15,72.97,1347.6,2800.12,4071.64
0.75,163.2,73.19,203.53,1897.12,3282.61
0.76,164.42,74.66,190.77,2076.26,3473.02
0.77,164.53,74.5,253.44,1930.26,3220.75
0.78,171.46,75.81,319.44,1860.85,3114.07
0.79,177.82,78.93,336.98,1926.67,2918.3
0.8,181.61,81.84,351.82,2003.4,2887.39
0.81,183.99,84.16,355.43,2144.1,2912.46
0.82,185.61,85.7,353.74,2242.6,2944.5
0.83,186.52,86.41,355.61,2287.53,2950.36
