time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1235.72,2451.38,3689.24
0.04,0,56.74,1575.81,2442.85,3712.11
0.05,0,59.2,2093.94,2813.88,3933.54
0.06,0,60.6,1507.83,2540.91,3761.04
0.07,0,58.96,118.95,1498.78,2352.5
0.08,0,57.91,1701.93,2876.3,4190.77
0.09,0,60.75,1781.91,2963.58,4210.78
0.1,0,61.57,81.65,2309.11,3406.24
0.11,0,61.34,136.32,2022.92,3356.29
0.12,0,62.21,2230.86,2999.48,4019.13
0.13,0,64.31,2354.54,3316.34,4383.89
0.14,0,67.71,252.38,2659.28,3380.8
0.15,0,72.91,327.08,2610.93,3319.89
0.16,184.09,77.12,340.94,2577.33,3309.02
0.17,194.51,79.36,375.32,2602.34,3220.36
0.18,203.55,80.85,383.23,2597.74,3218.29
0.19,208.44,81.6,386.64,2585.57,3233.28
0.2,215.17,81.86,393.27,2590.17,3232.03
0.21,220.99,82.55,393.81,2624.45,3224.38
0.22,225.47,84.03,374.67,2647.34,3169.89
0.23,228.95,85.01,334.62,2626.66,3086.59
0.24,230.76,85,315.23,2607.62,3036.35
0.25,230.94,84.32,326.49,2622.52,3004.32
0.26,229.45,82.97,310.39,2618.97,2980.35
0.27,224.34,81.42,277.22,2666.48,3019.41
0.28,215.68,80.34,248.83,2587.62,2828.99
0.29,208.17,78.98,282.95,2298.4,2794.78
0.3,199.78,76.29,293.69,2384.33,2708.09
0.31,199.74,74.45,262.92,2206.42,2783.48
0.32,209.31,76.25,261.1,2039.48,2689.3
0.33,225.57,78.03,311.57,2025.85,2773.1
0.34,239.96,81.64,359.4,1932.21,2825.16
0.35,246.17,85.27,428.92,1799.4,2780.48
0.36,247.37,87.46,480.59,1734.84,2795.19
0.37,246.77,89.13,489.23,1654.72,2807.71
0.38,244.5,90.04,491.21,1643.87,2599.69
0.39,240.5,90.22,487.77,1581.65,2443.99
0.4,235.75,89.12,475.79,1456.46,2361.75
0.41,230.04,85.81,447.79,1386.23,2296.48
0.42,224.5,82.38,393.22,1339.45,2245.59
0.43,218.93,81.09,355.01,1314.64,2263.84
0.44,212.1,79.83,392.06,1343.54,2312.12
0.45,194.88,78.35,388.6,1356.91,2298.95
0.46,188.87,79.39,344.65,1307.51,2401.38
0.47,188.93,79.86,237.09,1274.97,2369.78
0.48,180.59,77.57,271.65,1279.92,2412.71
0.49,165.32,73.6,428.24,1267.09,2424.89
0.5,161.11,72.22,442.81,1201.93,2443.7
0.51,165.11,72.48,368.04,1197.15,2450.36
0.52,165.18,71.54,344.33,1407.42,2551.57
0.53,169.07,71.29,341.45,1344.7,2545.92
0.54,176.86,73.17,300.62,1418.37,2687.67
0.55,187.39,77.1,299.66,1614.74,2585.91
0.56,195.98,81.24,333.96,1704.47,2522.91
0.57,202.03,83.63,356.83,1801.88,2601.04
0.58,208.12,84.12,369.26,1929.66,2598.42
0.59,211.67,83.58,377.84,2169.3,2662.81
0.6,212.41,83.04,385.1,2307.34,2703.92
0.61,212.5,82.96,380.61,2387.92,2758.45
0.62,212.62,82.91,372.14,2474.76,2791.07
0.63,212.56,82.78,363.83,2534.84,2904.05
0.64,212.22,82.53,362.37,2541.33,2950.32
0.65,211.55,82.22,358.2,2543.18,2932.69
0.66,210.49,82.01,354.71,2553.77,2908.72
0.67,209.06,81.79,355.08,2542.13,2875.04
0.68,207.13,81.47,360.07,2509.9,2849.28
0.69,205.29,81.32,372.87,2449.69,2801.13
0.7,202.98,81.74,385.27,2282.64,2788.44
0.71,199.01,82.13,380.49,2086.48,2708.02
0.72,193.02,81.75,358.84,1819.42,2680.03
0.73,186.49,80.34,303.23,1678.92,2656.06
0.74,187.11,76.93,314.59,1853.34,2787.88
0.75,0,72.89,341.55,1941.16,2741.94
0.76,0,70.75,354.62,1915.65,2705.34
0.77,0,69.05,343.07,1815.46,2882.51
0.78,142.19,69,363.37,1720.21,2803.13
0.79,150.59,69.36,356.98,1548.04,2473.12
0.8,156.15,72.34,362.03,1321.93,2354.37
0.81,156.98,75.23,418.46,1257.29,2191.83
0.82,156.6,76.71,481.55,1282.73,2171.14
