time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,59.66,287.8,1833.93,3144.66
0.04,0,61.53,792.69,2022.79,3186.77
0.05,0,62.88,1657.86,2813.15,3221.84
0.06,0,62.43,1530.17,2321.36,2978.13
0.07,0,62.55,1555.49,2428.66,3261.24
0.08,0,64.04,1638.76,2347.89,3212.12
0.09,0,63.98,1613.25,2351.85,3108.96
0.1,0,64.2,1531.15,2455.2,3268.02
0.11,0,62.84,1600.21,2231.29,3308.87
0.12,0,59.4,1088.46,1901.26,3139.82
0.13,0,59.55,954.94,1934.42,3013.31
0.14,0,62.69,773.03,1895.23,2866.55
0.15,0,63.84,1869.17,3037.59,3800.09
0.16,0,63.05,905.35,1900.01,2897.95
0.17,0,63.13,1661.06,2446.23,3451.54
0.18,0,62.45,1840.54,2625.58,3380.95
0.19,0,64.15,619.24,1768.92,2804.5
0.2,227.82,73.35,415.04,1807.1,2817.36
0.21,222.74,80.52,455.97,1787.49,2665.09
0.22,217.85,83,508.27,1886.28,2810.62
0.23,217.16,83.75,553.21,1958.51,2854.82
0.24,218.36,84.59,574.14,2019.61,2933.29
0.25,220.94,85.54,580.34,2048.28,2931.67
0.26,223.89,86.25,592.41,2052.6,2893.75
0.27,226.77,86.77,626.94,2071.14,2869.35
0.28,229.96,87.27,633.97,2069.38,2852.63
0.29,233.24,87.67,611.66,2045.11,2818.64
0.3,236.01,87.98,616.36,2044.14,2826.18
0.31,238.5,88.15,617.58,2027.62,2845.46
0.32,241.79,88.55,609.54,1981.85,2827.97
0.33,244.58,89.14,594.76,1989.39,2745.46
0.34,246.9,89.45,603,1988.31,2765.96
0.35,249.29,89.52,588.35,1999.59,2742.47
0.36,250.82,89.28,601.58,1992.35,2696.62
0.37,252.26,88.9,628.47,1937.01,2588.96
0.38,252.88,88.72,627.4,1884.11,2544.84
0.39,252.48,88.96,605.25,1814.47,2503.7
0.4,251.49,89.54,571.85,1763.12,2493.24
0.41,250.39,89.86,544.53,1729.59,2496.06
0.42,248.76,89.88,531.84,1723.75,2481.05
0.43,247.06,89.77,514.99,1720.37,2475.97
0.44,245.09,89.11,509.2,1712.86,2394.75
0.45,242.34,88.13,514.1,1690.42,2336.05
0.46,240.34,86.81,522.4,1695.31,2287.93
0.47,237.65,85.4,521.47,1734.98,2296.49
0.48,235,84.24,502.67,1784.34,2305.01
0.49,231.93,83.34,438,1793.67,2421.9
0.5,229.4,83.33,425.8,1799.72,2539.22
0.51,225.79,83.29,384.42,1768.68,2784.35
0.52,222.37,83.7,326.91,1750.98,2785.93
0.53,220.14,84.35,319.23,1711.77,2809.48
0.54,218.1,84.42,296.53,1740.24,2850.49
0.55,215.21,83.81,307.25,1775.21,2789.93
0.56,215.07,81.74,270.05,1759.87,2775.16
0.57,220.9,77.54,359.48,1873.86,2788.78
0.58,220.83,75.27,213.3,1907.21,3103.74
0.59,219.32,75.93,226.59,1951.02,3240.18
0.6,218.8,74.32,1733.13,2826.47,4196.02
0.61,0,72.01,348.29,2322.26,2968.79
0.62,0,72.38,728.5,2459.12,4076.94
0.63,0,71.69,1868.03,2974.05,4304.74
0.64,0,70.14,1673.35,2917.05,4147.35
0.65,0,70.28,1790.12,2898.15,4273.15
0.66,0,72.29,1805.54,2773.43,4160.91
0.67,0,72.9,1701.78,2635.35,4108.23
0.68,0,72.35,1647.85,2671.47,3985.1
0.69,0,71.1,1495.21,2033.98,3781.2
0.7,0,68.94,647.68,1500.26,2631.82
0.71,0,65.07,482.44,1508.63,3090.26
0.72,0,64.1,1432.96,2176.19,4011.59
0.73,0,64.73,1414.68,1986.35,3952.79
0.74,0,65.8,1368.35,1966.65,3901.06
0.75,0,69.32,835.47,1203.82,3161.44
0.76,0,70.47,887.92,1352.64,3327.71
0.77,0,70.6,706.64,1437.78,3223.85
0.78,223.93,75.34,587.28,1249.3,2985.32
0.79,220.34,80.03,401.29,1056.83,2776.54
0.8,219.25,83.08,448.4,1131.84,2817.47
0.81,217.05,85.34,445.1,1158.56,2742.31
0.82,215.09,86.67,453.05,1137.34,2723.17
0.83,212.96,86.97,474.95,1256.33,2712.12
