time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,701.36,2289.61,3141.86
0.04,0,59.03,533.89,2242.84,2961.29
0.05,0,57.55,2165.41,2601.72,3126.16
0.06,0,54.15,495.35,2309.21,2651.23
0.07,0,58.58,326.34,2295.45,2942.47
0.08,0,62.71,416.86,2232.44,3099.93
0.09,0,65.02,460.19,2324.33,3754.27
0.1,0,65.31,599.3,2260.85,2898.41
0.11,0,63.87,2296.91,2743.58,2798.01
0.12,0,63.99,1728.58,2647.08,3254.07
0.13,0,68.69,1657.05,2603.81,3250.58
0.14,0,71.39,1466.9,2652.67,3009.18
0.15,211.74,78.09,360.29,2477.8,2894.28
0.16,212.93,83.67,406.55,2460.05,2829.23
0.17,205.11,85.31,429.37,2337.9,2775.44
0.18,202.87,84.31,488.25,2243.25,2846.54
0.19,205.31,84.05,591.58,2190.34,2893.65
0.2,209.39,85.29,630.46,2103.33,2833.8
0.21,213.63,86.76,651.04,2036.35,2761.3
0.22,217.59,87.77,666.36,1957.68,2776.72
0.23,222.66,88.42,675.33,1949.11,2813.87
0.24,228.48,89.06,686.69,1953.09,2804.64
0.25,234.09,89.16,693.89,1920.9,2840.31
0.26,240.32,87.38,694.18,1964.88,2933.89
0.27,242.55,84.42,685.46,1994.93,2912.24
0.28,0,82.38,649.79,2009.53,2907.41
0.29,0,81.9,590.01,1972.63,2903.21
0.3,0,79.37,594.04,1882.97,2930.12
0.31,0,73.19,664.84,1924.93,2996.48
0.32,0,69.55,666.33,2033.4,2875.01
0.33,0,68.78,631.58,1948.41,2835.74
0.34,0,66.77,636.54,1920.55,2849.05
0.35,0,65.58,612.1,1984.68,2950.78
0.36,0,65.55,611.21,1856.34,2636.53
0.37,0,66.26,583.23,1989.82,2940.82
0.38,0,66.01,512.58,2013.63,2664.04
0.39,0,63.96,617.79,1972.54,2739.52
0.4,0,62.71,656.6,1957.98,2914.34
0.41,0,61.95,612.25,1985.37,2904.61
0.42,0,64.12,701.87,2005.74,2971.37
0.43,0,67.72,732.27,2039.98,2975.21
0.44,0,68.91,1076.59,1916.6,2980.58
0.45,0,70.31,1099.42,1492.18,2945.64
0.46,0,70.58,1108.69,1450.01,3048.65
0.47,0,70.11,936.56,1207.5,2054.43
0.48,0,68.72,651.42,1186.86,2477.54
0.49,0,66.01,1136.33,1936.69,2903.76
0.5,0,65.14,990.41,1974.93,3092.93
0.51,0,65.93,1052.33,1844.91,3060.17
0.52,0,67.9,914.48,1352.48,2891.96
0.53,218.32,73.7,976.39,1860.06,3194.81
0.54,219.65,78.97,377.17,996.47,3179.16
0.55,218.34,81.24,461.02,912.47,3223.48
0.56,215.96,81.92,521.26,966.91,3233.3
0.57,213.69,82.55,527.62,935.75,3243.87
0.58,211.83,83.08,517.98,884.24,3184.85
0.59,210.28,82.87,513.63,884.07,3277.05
0.6,208.57,82.07,531.64,874.71,3387.62
0.61,206.79,81.59,559.72,857.01,3357.69
0.62,205.18,81.68,559.93,854,3382.76
0.63,204.22,82.37,536.69,837.78,3445.17
0.64,203.7,83.07,496.49,835.82,3458.04
0.65,203.49,83.24,488.39,839.56,3487.76
0.66,203.53,83.26,474.05,842.58,3517.89
0.67,203.19,83.29,456.58,843.56,3567.63
0.68,202.79,83.17,463.17,849.59,3637.11
0.69,201.86,82.85,458.26,857.82,3625.25
0.7,200.5,82.85,446.47,869.5,3638.79
0.71,199.26,83.03,421.65,867.8,3456.53
0.72,197.34,82.26,406.81,919.93,3374.4
0.73,192.82,80.3,369.33,957.77,3265.65
0.74,186.56,78.07,268.43,883.75,3041.92
0.75,185.39,75.08,700.61,2728.8,2925.72
0.76,0,70.19,822.26,2884.22,3004.28
0.77,0,67.49,1398.54,2740.15,3617.18
0.78,0,66.78,671.31,1894.7,3413.61
0.79,0,67.18,1524.7,3049.08,3864.45
0.8,0,67.78,563.35,1761.81,3258.36
0.81,0,66.98,402.97,1693.02,2769.99
0.82,0,67.06,1612.37,2009.16,3304.73
0.83,0,67.76,589.81,1926.08,2998.98
0.84,0,67.77,1673.96,2892.11,3867.35
0.85,0,67.78,1825.53,2813.56,3516.82
