time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,64.71,170.94,2176.56,2347.11
0.04,0,65.15,224.75,2060.33,2612.65
0.05,0,64.81,216.04,1896.34,2480.44
0.06,0,64.2,234.56,2116.17,2341.06
0.07,0,64.48,220.39,2143.43,2671.29
0.08,0,64.37,234.37,2200.02,2803.53
0.09,0,63.14,237.25,2174.99,2715.29
0.1,0,63.39,481.76,2199.57,2538.78
0.11,0,64.86,162.71,2211.23,2418.59
0.12,0,64.42,1009.33,2216.75,3097.87
0.13,0,63.68,508.78,2166.96,2408.52
0.14,0,62.87,257.15,2044.8,2820.47
0.15,0,63.7,240.08,1899.19,2590.59
0.16,0,66.4,504.12,2235.61,2949.39
0.17,0,65.86,243.03,1496.54,2284.19
0.18,0,63.88,241.33,1829.9,2250.61
0.19,0,61.23,258.17,1877.48,2547.85
0.2,0,60.32,280.23,1759.93,2425.61
0.21,0,63.04,249.96,2158.02,2271.23
0.22,0,65.95,113.21,2220.81,2942.34
0.23,0,65.95,1921.89,2977.14,4786.36
0.24,0,64.63,452.06,2351.85,3075.6
0.25,0,64.63,235.93,1643.29,2552.79
0.26,0,66.8,209.45,1844.11,2413.26
0.27,203.05,71.23,220.4,2360.52,2772.78
0.28,186.18,73.91,257.91,2287.47,2774.3
0.29,177.42,74.5,280.21,1750.44,2714.88
0.3,177.62,75.36,286.32,1608.57,2710.03
0.31,178.46,76.29,297.67,1559.09,2713.5
0.32,180.2,77.28,304.36,1599.13,2692.92
0.33,183.17,78.18,318.96,1517.05,2674.23
0.34,188.92,80.04,399.27,1565.58,2645.26
0.35,190.3,82.32,542.93,1640.89,2694.46
0.36,190.25,83.85,589.03,1688.83,2804.65
0.37,193.66,84.38,625.5,1701.41,2819.78
0.38,197.52,84.57,687.58,1661.7,2868.74
0.39,200.38,84.99,707.19,1601.76,2929.32
0.4,203.59,85.12,724.06,1585.87,3033.61
0.41,206.68,85,728.18,1508.56,3098.44
0.42,209.06,85.47,683.03,1450.68,3155.12
0.43,211.03,86.59,657.77,1378.66,3193.33
0.44,212.19,87.23,640.46,1301.7,3205.02
0.45,214.61,85.99,606.93,1267.4,3258.06
0.46,216.52,84.62,550.81,1179.9,3274.88
0.47,216.48,84.86,521.18,1122.73,3286.06
0.48,216.22,85.36,491.32,1077.6,3257.36
0.49,216.94,85.64,483.53,1061.67,3246.5
0.5,218.46,86.03,526.1,1098.51,3308.17
0.51,219.28,86.55,567.77,1110.32,3263
0.52,218.92,86.65,579.65,1124.99,3265.02
0.53,217.95,86.37,575.11,1125.92,3257.63
0.54,217.01,86.2,576.11,1127.12,3236.8
0.55,215.44,86.25,560.08,1108.55,3209.5
0.56,213.47,86.49,550.49,1077.7,3187.28
0.57,211.51,86.64,542.37,1055.39,3170.22
0.58,209.52,85.74,514.15,1044.55,3167.29
0.59,207.23,83.89,490.1,1035.57,3204.11
0.6,204.68,83.11,509.8,1023.18,3245.03
0.61,202.03,83.99,491.44,921.14,3203.39
0.62,199.73,85.23,451.62,839.73,3145.87
0.63,197.49,85.51,446.48,813.6,3237.88
0.64,195.5,85.25,469.38,803.95,3275.85
0.65,194.59,85.24,464.8,823.04,3240.89
0.66,194.1,85.19,439.48,795.8,3162.86
0.67,193.66,84.91,473.26,819.53,3191.38
0.68,194.13,85.1,504.7,893.09,3088
0.69,195.37,86.34,551.74,999.41,3010.76
0.7,195.36,87.65,586.03,1095.89,3027.66
0.71,193.86,88.05,613.17,1212.8,3003.36
0.72,190.79,87.53,646.19,1316.84,2950.32
0.73,188.2,87.04,695.4,1366.25,2925.78
0.74,186.22,86.98,730.66,1432.9,2884.61
0.75,183.98,87.02,733.22,1466.7,2834.16
0.76,181.39,86.54,739.02,1476.44,2811.67
0.77,178.32,85.85,771.09,1520.17,2825.86
0.78,175.02,85.46,797.83,1543.97,2808.3
0.79,171.83,85.36,822.34,1533.87,2748.85
0.8,168.02,85.16,802.87,1523.42,2751.24
0.81,164.48,84.7,805.92,1501.08,2780.72
0.82,160.49,84.93,785.33,1455.8,2765.38
0.83,156.22,84.9,777.4,1429.09,2783.89
