time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,67.05,1700.16,2675.47,3763.27
0.04,0,65.42,1384.19,2755.65,3954.91
0.05,0,63.18,395.57,1960.66,2880.04
0.06,0,63.38,1677.68,2749.33,3963.96
0.07,0,61.46,2062.99,3021.99,4625.57
0.08,0,60.83,1881.27,3030.72,4247.66
0.09,0,62.41,1785.31,3093.42,4162.53
0.1,0,61.53,479.2,2064.53,3201.68
0.11,0,61.63,1347.36,2559.55,3739.17
0.12,0,65.08,2256.34,3309.02,4244.62
0.13,0,66.35,1951.48,3092.99,4035.43
0.14,0,64.06,1408.71,2123.56,3284.01
0.15,0,62.54,574.7,1813.33,3000.48
0.16,0,61.21,1384.71,2839.82,3930.9
0.17,0,60.19,890.59,1966.96,3415.1
0.18,0,64.01,561.93,2178.41,3383.59
0.19,0,64.79,485.38,2397.51,3612.43
0.2,0,64.62,404.19,2100.45,3725.52
0.21,135.31,65.86,304.57,771.42,2831.11
0.22,133.42,67.99,394.89,797.58,2812.33
0.23,135.31,70.12,398.33,835.96,2790.13
0.24,133.42,71.53,471.07,1051.62,2822.4
0.25,130.57,72.62,526.91,1138.92,2757.15
0.26,127.28,73.41,558.59,1145.47,2724.94
0.27,125.24,74.08,595.02,1161.85,2801.75
0.28,125.08,74.7,592.84,1228.63,2816.43
0.29,125.54,75.19,590.4,1232.01,2679.18
0.3,125.88,75.37,584.66,1212.16,2729.36
0.31,126.52,74.8,578.61,1177.23,2631.36
0.32,129.11,73.52,558.7,1092.39,2544.08
0.33,133.05,72.51,543.05,1075.94,2668.74
0.34,133.75,72.31,543.11,1027.38,2695.36
0.35,135.98,72.43,524.95,1008.76,2700.57
0.36,136.64,72.86,502.7,916.55,2711.96
0.37,137.17,72.91,488.61,940.67,2782.69
0.38,140.11,72.33,465.2,891.02,2733.78
0.39,144.55,72.44,458.52,857.26,2761.15
0.4,147.96,72.99,441.15,817.37,2772.62
0.41,151.64,73.17,454.58,864.32,2798.53
0.42,158.54,72.08,438.87,827.26,2844.25
0.43,168.52,70.57,441.63,807.84,2831.2
0.44,176.01,70.22,401.11,806.99,2835.71
0.45,181.69,70.23,397.08,794.22,2870.37
0.46,0,70.88,409.78,804.86,2826.95
0.47,0,70.09,394.79,870.61,2853.53
0.48,0,67.84,393.51,890.3,2886.63
0.49,0,65.66,414.64,872.78,2849.49
0.5,0,63.72,386.85,868.83,2684.34
0.51,0,63.18,410.51,865.27,2722.74
0.52,0,61.58,479.29,845.2,2744.65
0.53,0,61.03,392.59,840.91,2644.33
0.54,0,60.67,492.65,2025.6,2913.75
0.55,0,57.99,445.88,2461.18,3672.04
0.56,0,56.21,428.63,717.2,2558.34
0.57,0,59.43,313.72,907.96,2707.68
0.58,0,64.23,563.85,2634.77,3606.39
0.59,0,64.92,1018.72,2201.52,3590.33
0.6,0,63.66,347.42,1345.66,2585.93
0.61,440.82,63.57,447.09,1298.41,2593.61
0.62,0,62.91,273.61,1256.45,2597.4
0.63,0,62,394.97,1214.26,2534.19
0.64,0,64.4,574.42,1268.53,2535.87
0.65,139.84,68.57,662.85,1207.93,2450.87
0.66,138.73,69.91,635.37,1197.26,2506.93
0.67,134.53,68.97,603.9,1231.81,2539.42
0.68,133.94,68.01,593.11,1189.74,2517.27
0.69,128.87,67.48,471.94,1259.37,2580.8
0.7,124.04,67.22,878.59,1325.68,2615.48
0.71,120.3,65.84,323.71,1922.69,2820.12
0.72,122.64,63,540.09,1750.43,2909.59
0.73,0,60.78,1352.48,2471.66,3716.38
0.74,0,61.31,1614.57,2592.11,3467.28
0.75,0,61.14,1846.73,2711.55,4155.25
0.76,0,61.47,1846.26,2632.95,4215.98
0.77,0,63.61,1760.36,2581.71,3466.87
0.78,0,64.22,1839.74,2775.57,4026.4
0.79,0,61.68,1516.35,2215.55,2797.49
0.8,0,60.84,1859.72,2639.03,2922.25
0.81,0,62.19,1864.5,2506.35,3232.12
0.82,0,63.28,1886.77,2554.98,3445.58
0.83,0,63.03,1991.87,2508.62,3921.34
0.84,0,60.29,2144.6,2770.44,4009.03
0.85,0,56,645.99,2454.71,3235.28
