time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,185.7,2221.9,2659.33
0.04,0,55.37,191.94,2051.33,3403.86
0.05,0,57.28,777.54,2160.35,3305.79
0.06,0,63.14,1573.39,2610.89,3847.43
0.07,0,66.28,1810.13,2705.12,4188
0.08,0,64.74,1972.72,2659.55,4206.41
0.09,0,62.35,78.46,1704.43,2790.09
0.1,0,64.3,1014.95,2617.57,3881.72
0.11,0,62.54,162.67,1817.85,2765.13
0.12,0,59.26,216.3,1546.64,2766.05
0.13,371.28,61.55,1281.34,2231.75,3099.05
0.14,413.67,64.81,357.43,2401.45,2893.52
0.15,429.51,66.08,610.21,2441.54,2920.3
0.16,477.07,63.15,553.74,2293.95,2883.28
0.17,489.44,61.1,615.55,2366.14,2941.9
0.18,491.93,63.22,497.02,2332.96,2935.43
0.19,494.51,64.64,488.4,2318.63,2905.56
0.2,497.25,63.8,517.1,2219.36,2670.57
0.21,0,61.58,681.24,2251.67,2733.95
0.22,0,59.95,728.37,2148.29,2642.39
0.23,0,61.28,818.7,2075.62,2671.29
0.24,0,65.35,788.16,2061.65,2667.8
0.25,175.37,69.27,609.33,2145.2,2711.01
0.26,179.14,72.21,382.57,2032.37,2621.74
0.27,178.48,74.24,576.64,2013.65,2726.26
0.28,175.61,75.65,679.29,1952.97,2632.38
0.29,174.16,76.44,706.98,1922.72,2571.54
0.3,172.08,76.77,713.14,1896.64,2595.64
0.31,171.1,77.36,692.56,1877.64,2590.61
0.32,171.91,77.16,682.25,1907.04,2601.19
0.33,173.12,75.84,665.37,1924.63,2629.64
0.34,174.48,74.15,619.52,1963.6,2645.23
0.35,174.79,71.75,553.02,1965.34,2655.63
0.36,174.84,67.44,520.76,1941.27,2635.81
0.37,174.37,64.55,546.14,1936.8,2640.39
0.38,0,64.56,638.6,1934.25,2734.95
0.39,0,63.2,652.14,1903.46,2715.72
0.4,0,60.17,605.93,1926.85,2687.12
0.41,0,58.42,588.29,1903.32,2704.92
0.42,0,59.94,543.1,1970.61,2640.11
0.43,0,62.89,652.77,2063.37,2497.45
0.44,0,64.92,1408.55,2453.45,3355.55
0.45,0,67.03,2001.9,2677.96,3714.42
0.46,499.9,68.91,1329.77,2446.13,3485.5
0.47,469.88,69.62,1321.37,2316.25,3487.3
0.48,453.72,67.98,1897.97,2647.38,3954.18
0.49,447.11,66.63,1973.82,2704.29,4085.79
0.5,0,66.24,1967,2770.38,4150.99
0.51,0,64.88,1922.21,2894.5,4156.27
0.52,0,62.9,1854.03,2891.98,4134.9
0.53,0,62,1210.78,2407.35,3762.81
0.54,0,61.55,737.15,2024.15,3060.47
0.55,491.61,63.8,1176.14,2606.71,3991.09
0.56,495.08,65.07,1107.98,2587.6,3784.6
0.57,434.09,63.89,1970.76,2951.64,4359.22
0.58,469.67,61.64,1753.82,2707.96,4207.82
0.59,0,59.62,1244.78,2462.99,3622.35
0.6,0,58.4,1235.58,2501.4,3593.06
0.61,458.86,60.65,1875.18,2726.33,4097.67
0.62,458.96,61.38,2016.96,2794.52,4312.17
0.63,0,60.6,1920.21,2891.83,4262.82
0.64,0,61.79,1209.57,2383.63,3554.24
0.65,487.25,61.44,413.12,2044.56,2956.75
0.66,495.75,64.1,2011.43,3307.76,4643.85
0.67,468.03,65.36,183.21,1917.72,3104.73
0.68,0,65.31,1916.26,2707.75,4272.99
0.69,190.02,68.22,257.94,1742.54,2826.06
0.7,178.38,71.09,279.44,1675.52,2839.57
0.71,163.1,70.82,430.97,1722.99,2768.72
0.72,156.29,69.78,494.64,1663.65,2791.75
0.73,152.83,70.35,534.52,1664.18,2859.26
0.74,150.4,70.47,395.06,838.71,2007.79
0.75,151.96,71.18,325.47,1850.23,2294.23
0.76,153.06,72.58,345.62,2204.9,2436.26
0.77,152.94,73.11,360.89,2203.15,2485.67
0.78,152.14,72.35,355.34,2117.57,2692.75
0.79,150.68,71.16,386.68,2099.09,2726.17
0.8,150.13,71.06,363.45,2176.04,2853.73
0.81,149.6,70.65,342.36,1766.54,2458.04
0.82,148.18,70.56,383.45,1925.4,2681.68
0.83,147.73,71,424.95,2053.19,2542.76
