time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,58.1,1075.01,2422.33,3474.29
0.04,0,58.31,150.18,1957.59,2960.01
0.05,0,58.37,104.7,1938.81,2850.78
0.06,0,55.73,1962.77,3113.73,3725.72
0.07,0,54.59,1275.88,2545.31,3703.7
0.08,0,56.38,189.09,1758.77,2715.45
0.09,0,56.56,189.92,1986.25,3185.5
0.1,0,54.66,221.13,2111.47,3292.17
0.11,0,55.98,1110.11,2609.05,3727.07
0.12,0,58.23,1310.57,2729.92,3931.96
0.13,0,58.51,200.22,2011.84,3098.24
0.14,0,56.76,165.34,1726.44,3041.78
0.15,0,55.21,102.79,2153.89,3054.13
0.16,0,57.58,283.78,2291.52,3542.94
0.17,0,63.16,2025.1,3006.52,4440.35
0.18,0,66.34,398.01,1975.93,2855.48
0.19,0,65.56,410.44,1991.52,2831.1
0.2,0,64.95,342.78,1982.33,2810.04
0.21,0,68.25,459.7,1984.38,2804.55
0.22,0,69.92,571.63,1934.34,2808.86
0.23,0,71,633.13,1870.72,2808.39
0.24,0,72.01,681.25,1779.86,2549.16
0.25,0,72.56,670.89,1709,2549.57
0.26,129.04,72.83,680.94,1601.44,2440.62
0.27,129.88,72.67,650.09,1492.63,2592.62
0.28,131.7,72.42,647.44,1372.58,2584.52
0.29,133.05,72.18,654,1374.34,2320.94
0.3,133.39,72.11,629.09,1353.66,2087.85
0.31,133.05,71.45,595.08,1325.14,1969.35
0.32,132.05,70.94,517.83,1431.84,2031.7
0.33,130.62,71.16,530.07,1514.6,2891.47
0.34,128.57,71.43,616.85,1492.75,2775.22
0.35,126.76,72.11,327.04,1414.95,2673.71
0.36,125.51,72.49,228.01,1358.35,2603.93
0.37,123.82,71.57,219.91,1359.84,2686.85
0.38,123.96,69.3,200.69,1322.9,2579.03
0.39,0,66.58,306.59,1920.26,2625.61
0.4,0,65.27,393.59,1910.65,2903.26
0.41,0,67.18,307.75,1854.98,2848.12
0.42,130.08,70.12,371.84,1768.42,2816.09
0.43,129.87,71.68,413.54,1763.52,2815.44
0.44,128.77,71.95,396.04,1688.97,2784.93
0.45,126.8,69.91,373.38,1651.44,2789.01
0.46,125.38,66.9,276.45,1593.05,2953.77
0.47,125.25,65.2,293.43,1832.34,3282.36
0.48,126.8,63.89,284.83,1777.04,3163.46
0.49,130.33,64.48,304.64,1902.75,3092.95
0.5,132.05,68.21,312.77,1431.48,2570.89
0.51,130.47,71.69,392.85,1449.55,2700.81
0.52,128.52,73.24,408.57,1356.35,2713.22
0.53,127.69,73.2,395.75,1214.42,2769.73
0.54,127.25,73.14,384.65,902.41,2799.58
0.55,126.28,73.58,384.74,846.36,2825.19
0.56,124.41,73.17,371.27,830.98,2835.68
0.57,121.76,71.59,486.29,993.83,2873.58
0.58,118.95,69.73,456.95,1100.63,2954.12
0.59,119.9,68.64,540.16,1315.72,2969.48
0.6,122.7,69.51,430.83,1008.37,2822.84
0.61,122.37,70.43,364.1,638.87,2412.08
0.62,121.52,71.88,319.43,601.5,2803.7
0.63,122.58,72.63,325.27,534.86,2996.62
0.64,125.54,73.57,337.54,644.92,2982.23
0.65,128.61,74.71,364.9,689.9,2859.07
0.66,130.01,74.91,420.15,739.26,2845.78
0.67,130.64,74.57,492.84,789.32,2771.34
0.68,132.45,74.26,569.3,822.22,2704.89
0.69,135.4,74.02,621.53,964.26,2641.8
0.7,138.14,74.39,661.48,1108.94,2632.37
0.71,139.72,75.36,680.65,1213.59,2601.6
0.72,140.92,75.93,693.74,1259.48,2590.94
0.73,143.04,75.26,711.39,1325.93,2583.65
0.74,146.28,74.55,703.67,1341.75,2593.8
0.75,149.86,74.49,682.07,1425.12,2601.82
0.76,154.11,74.39,658.95,1522.59,2595.58
0.77,157.83,74.15,672.75,1562.6,2575.27
0.78,160.9,74.12,650.65,1823.95,2620.58
0.79,163.75,73.77,619.35,1875.86,2568.25
0.8,164.78,72.9,592.96,1978.93,2492.61
0.81,164.16,72.18,581.16,2077.67,2556.93
0.82,162.77,72.05,538.79,2046.13,2527.13
0.83,161.15,72.23,500.8,2072.08,2381.89
