time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1922.34,2655.79,4173
0.04,0,59.8,1866.56,2681.3,4012.89
0.05,0,61.44,1844.55,2728.98,4033.97
0.06,0,61.55,1883,2882.28,4398.19
0.07,0,59.76,1909.2,2951.29,4124.46
0.08,0,58.89,1902.04,2858.4,4141.25
0.09,0,58.07,2009.26,2866.23,4124.38
0.1,0,61.52,1975.17,2974.02,4154.33
0.11,0,64.38,2044.91,2679.55,4235.26
0.12,0,63.92,2019.58,2735.49,4184.19
0.13,0,63.88,1992.88,2992.98,4397.77
0.14,0,64.99,2023.78,2937.7,4156.64
0.15,0,63.4,775.67,2152.99,3156.04
0.16,0,66.05,414.31,1903.16,2715.97
0.17,166.53,73.44,418.31,2019.96,2698.73
0.18,163.01,77.19,509.38,1993.53,2687.29
0.19,158.3,78.09,530.94,2025.4,2704.22
0.2,155.62,77.87,548.17,2052.8,2727.03
0.21,154.59,77.76,554.95,2059.69,2717.97
0.22,154.86,78.15,544.58,2058.04,2729.41
0.23,155.5,78.55,537.29,2059.3,2623.58
0.24,155.99,78.62,547.44,2062.55,2597.64
0.25,156.81,78.88,555.83,2097.53,2441.01
0.26,158.21,79.19,565.9,2127.33,2623.68
0.27,159.76,79.3,568.17,2129.12,2638.52
0.28,161.51,79.02,571.88,2118.31,2585.62
0.29,163.8,79.15,579.15,2074.3,2507.37
0.3,165.68,80.22,577.42,2067.38,2546.41
0.31,167.41,81.37,556.37,2056.35,2546.05
0.32,169.42,81.58,559.01,2030.93,2504.65
0.33,171.3,81.58,576.01,2017.41,2455.04
0.34,173.12,82.01,591.54,2009.33,2416.78
0.35,175.01,82.47,590.41,1979.92,2380.88
0.36,177.24,82.51,598.56,1961.01,2397.83
0.37,179.29,82.39,620.58,1950.66,2392.09
0.38,180.72,82.49,622.78,1950.25,2339.14
0.39,181.87,82.76,607.75,1938.1,2301.54
0.4,183.28,82.77,619.23,1899.11,2225.4
0.41,184.83,82.82,591.9,1862.49,2201.76
0.42,186.41,82.75,572.97,1847.15,2209.56
0.43,188.72,82.61,553.69,1839.08,2183.66
0.44,192.32,82.69,554.1,1802.15,2122.29
0.45,195.88,83.16,568.38,1795.25,2078.54
0.46,198.85,83.36,569.1,1783.19,2047.13
0.47,201.13,83.39,554.76,1771.93,2038.92
0.48,203.2,82.73,558.65,1755.5,2044.54
0.49,205.48,81.25,546.25,1753.37,2061.76
0.5,207.55,80.21,533.58,1789.61,2090.42
0.51,209.7,79.47,535.85,1829.66,2157.01
0.52,212.01,79.19,569.37,1844.85,2238.85
0.53,213.92,79.12,537.04,1875.54,2371.06
0.54,214.91,79.06,482.37,1884.6,2453.08
0.55,215.03,78.76,409.81,1909.47,2729.13
0.56,212.98,77.09,371.01,1903.86,2772.84
0.57,210.1,75,377.39,1866.24,2781.09
0.58,213.26,76.28,338.35,1917.46,2502.22
0.59,215.22,78.27,304.51,1888.97,2460.77
0.6,212.93,78.91,272.54,1988.68,2381.5
0.61,209.51,78.7,257.68,1937.52,2496.04
0.62,205.22,77.04,275.46,1926.88,2741.14
0.63,201.64,73.66,334.02,1962.5,2636.52
0.64,200.37,72.42,311.08,1926.56,3810.81
0.65,201.74,72.29,267.46,1946.83,3392.93
0.66,205.99,69.56,254.69,1999.72,2970.56
0.67,0,64.8,321.3,1990.94,2796.63
0.68,0,61.9,1698.89,2751.25,4076.33
0.69,0,63.31,1705.28,2787.56,4058.36
0.7,0,64.5,1809.95,2891.49,4263.57
0.71,0,64.34,1730.49,2865.86,4328.98
0.72,0,63.81,1931.35,3327.57,4291.38
0.73,0,63.26,1402.57,2204.13,3915.29
0.74,0,63.09,1482.23,2130.26,3932.02
0.75,0,61.43,1310.42,2625.61,4126.69
0.76,0,60.19,1282.39,2726.55,4078.73
0.77,0,60.11,1297.41,2479.7,4000.26
0.78,0,58.01,1339.56,3385.58,4166.64
0.79,0,55.71,1299.74,2447.73,3893.65
0.8,0,61.15,724.7,1814.34,3959.79
0.81,0,64.5,794.37,2012.93,3434.43
0.82,0,64.52,867.92,2367.29,3915.83
0.83,0,65.12,798.73,2554.77,4121.71
