time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,136.46,2211.38,2427.49
0.04,0,60.12,1785.58,2620.41,3649.74
0.05,0,60.73,1516.76,2646.46,4024.07
0.06,0,58.06,1842.55,3123.36,4246.62
0.07,0,56.5,1133.82,2300.06,3580.28
0.08,0,60.15,798.13,2185.67,3262.31
0.09,0,61.11,1246.77,2254.29,3406.84
0.1,0,59.5,525.18,2022.21,3217.37
0.11,0,58.87,2018.02,3306.67,4429.65
0.12,331.16,60.5,204.43,1788.14,2911.4
0.13,329.67,65.57,712.03,2312.64,2966.08
0.14,330.24,67.67,517.74,2133.27,2882.09
0.15,0,66.72,501.81,2161.4,2869.59
0.16,179.54,69.33,346.27,2163.76,2923.06
0.17,172.75,74.09,392.89,2303.68,2915.29
0.18,165.4,76.68,475.1,2217.52,2639.48
0.19,161.77,78.3,497.37,2007.67,2618.02
0.2,158.12,77.83,538.78,2002.79,2613.06
0.21,156.19,77.2,610.91,1992.4,2587.82
0.22,156.58,78.11,632.51,1974.23,2593.53
0.23,158.07,79.14,634.7,1925.71,2639.44
0.24,160.42,79.54,650.86,1907.63,2619.05
0.25,162.86,79.4,666.49,1914.87,2661.88
0.26,166.35,79.38,674.99,1916.91,2650.24
0.27,169.64,79.51,665.73,1882.91,2643.2
0.28,170.89,78.23,667.05,1886.29,2688.53
0.29,0,75.34,648.74,1889.96,2696.74
0.3,0,73.09,590.92,1940.94,2738.63
0.31,0,71.35,540.34,1953.06,2754.74
0.32,0,68.36,557.28,1953.42,2773.28
0.33,0,65.53,633.33,1869.58,2766.72
0.34,0,66.34,635.67,1859.54,2799.26
0.35,0,65.62,681.53,1951.33,2712.65
0.36,0,65.94,660.35,1935.63,2845.28
0.37,0,68.58,578.07,1886.75,2804.72
0.38,0,69.39,611.3,2061.57,2764.07
0.39,0,67.54,611.56,1944.08,2769.57
0.4,0,65.31,490.34,1983.43,2873.29
0.41,374.04,64.03,1242.49,2192.64,3056.21
0.42,381.45,64.21,1478.64,2317.41,3139.99
0.43,0,63.18,554.12,1695.59,2791.26
0.44,0,61.58,356.09,1427.53,2621.56
0.45,0,59.95,377.14,1725.83,3072.32
0.46,0,59.31,280.04,1578.38,2878.27
0.47,0,57.79,386.24,1453.87,2642.54
0.48,0,58.32,348.54,1630.01,2556.31
0.49,0,60.45,1246.23,2371.59,3559.21
0.5,0,60.63,1248.56,2383.11,3696.9
0.51,0,61.09,310.46,1391.15,2720.08
0.52,0,66.69,633.93,1428.09,2826.55
0.53,0,69.24,623.92,1281.14,2379.17
0.54,0,67.71,590.23,1207.88,2707.34
0.55,0,66.01,602.81,1203.37,2685.3
0.56,142.7,67.33,489.13,1174.1,2668.94
0.57,146.71,71.66,722.9,1141.82,2819.8
0.58,148.82,73.86,493.03,917.27,2707.88
0.59,148.2,74.94,534.5,899.96,2787.11
0.6,146.41,76.08,539.63,879.21,2780.2
0.61,145.08,76.99,512.04,866.33,2755.35
0.62,143.95,77.37,507.7,857.23,2803.18
0.63,143.08,77.33,500.6,843.35,2816.93
0.64,142.39,77.2,496.7,818.61,2795.52
0.65,141.85,76.92,494.58,822.23,2836.24
0.66,141.45,76.58,496.77,830.89,2825.55
0.67,141.14,76.52,493.76,850.32,2837.45
0.68,140.72,76.41,493.93,850.68,2818.26
0.69,140.91,75.21,491.07,809.97,2862.32
0.7,141.43,73.55,511.77,765.46,2815.15
0.71,142.28,73.83,508.03,779.7,2845.84
0.72,143.12,75.49,495.86,803.83,2850.93
0.73,143.77,76.03,496.04,797.37,2904.55
0.74,143.99,76.08,479.69,806.85,2916.69
0.75,144.09,76.09,465.43,785.61,2915.35
0.76,145.66,75.52,469.87,796.46,3025.33
0.77,147.71,75.55,457.62,815.55,2878.74
0.78,148.26,75.34,433.22,852.35,2877.77
0.79,148.61,73.77,413.77,774.67,2690.06
0.8,147.22,71.42,447.63,749.05,2486.55
0.81,0,68.74,321.94,817.85,2592.04
0.82,499.9,67.96,407.09,811.34,2688.84
0.83,476.55,67.53,401.86,824.03,2847.45
0.84,463.43,66.22,496.34,1601.92,2912.91
