time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,108.57,1867.55,3418.76
0.04,0,63.53,318.7,1929.82,3325.14
0.05,0,65.37,1689.34,3089.41,3699.48
0.06,0,64.19,514.28,1863.69,2624.69
0.07,0,63.75,645.66,1706.45,2564.98
0.08,0,65.31,427.58,1365.73,2516.33
0.09,0,65.48,1501.48,2784.2,4269.04
0.1,0,62.69,838.7,1519.55,2779.88
0.11,0,61.33,692.22,1641.17,2741.74
0.12,0,63.69,594.82,1549.34,2689.31
0.13,0,62.79,546.13,1327.66,2739.24
0.14,0,63.14,638.23,1233.73,2732.41
0.15,182.72,70.27,421.07,864.64,2754.08
0.16,172.71,74.2,517.45,775.47,2787.7
0.17,166.81,75.5,582.77,895.33,2732.39
0.18,164.01,76.23,611.1,994.37,2660.28
0.19,163.91,76.79,619.46,1028.97,2107.62
0.2,163.5,76.97,602.97,1014.24,2447.72
0.21,162.5,76.81,593.52,1041.89,2509.28
0.22,162.53,76.48,573.16,1045.49,2508.16
0.23,162.28,76.04,558.7,1082.5,2787.36
0.24,161.93,75.44,558.31,1120,2972.07
0.25,161.72,75.03,556.02,1158.17,2422.75
0.26,161.74,74.68,556.87,1237.54,2545.68
0.27,161.21,74.42,577.38,1284.64,2316.53
0.28,160.19,74.3,613.46,1353.7,2898.64
0.29,158.97,73.84,630.72,1355.35,2873.9
0.3,157.84,73,660.26,1472.92,2890.69
0.31,157.72,72.69,654.45,1608.45,2896.61
0.32,157.22,72.69,642.68,1730.89,2900.12
0.33,155.95,72.35,593.49,1878.25,2907.67
0.34,155.54,71.93,548.78,2004.2,2870.74
0.35,155.13,71.83,495.98,2131.28,2837.95
0.36,154.95,71.63,447.49,2302.95,2833.13
0.37,155.52,70.69,470,2448.68,2624.9
0.38,156.14,70.07,453.62,2348.66,2590.63
0.39,158.42,70.65,468.18,1806.26,2606.86
0.4,160.06,71.16,489.31,1814.21,2524.95
0.41,161.44,70.73,531.74,1789.53,2555.17
0.42,163.19,69.77,558.54,1755.7,2566.06
0.43,165.39,68.85,510.87,1701.57,2527.53
0.44,165.5,68.66,474.4,1546.14,2519.25
0.45,165.21,69.31,490.99,972.53,1933.91
0.46,166.48,69.59,462.84,1722.97,2433.07
0.47,165.92,69.41,428.17,1743.94,2494.94
0.48,165.34,69.21,478.11,2217.95,3170.86
0.49,171.12,69.58,296.61,1939.96,2779.04
0.5,170.86,69.01,212.8,1368.17,2189.53
0.51,0,66.4,356.39,2050,2780.26
0.52,0,63.65,268.22,1674.44,2460.38
0.53,0,59.82,307.06,1622.21,2830.17
0.54,0,58.64,405.97,2126.93,3024.73
0.55,0,63.48,533.13,2038.64,2369.02
0.56,0,66.64,1363.85,2456.84,4075.13
0.57,0,67.28,1642.11,2544.18,4134.66
0.58,0,65.38,676.46,1937.19,2716.59
0.59,0,60.51,257.03,1475.04,2455.37
0.6,0,56.39,342.27,1532.04,2401.65
0.61,0,55.73,423.08,2106.95,2712.29
0.62,0,55.8,419.59,2249.07,2469.6
0.63,0,57.82,310.87,1894.35,2677.83
0.64,0,58.52,239.93,2000.44,2752.7
0.65,0,58.33,1544.14,2755.09,3969.69
0.66,0,60.8,276.95,2255.02,2886.35
0.67,206.4,67.34,261.25,2457.03,2621.75
0.68,202.14,72.3,351.75,2254.4,2652.04
0.69,191.08,73.4,368.53,2182.21,2408.62
0.7,181.47,72.88,382.58,2050.85,2184.09
0.71,167.07,72.22,466.08,1976.75,2164.28
0.72,164.63,73.36,488.52,1906.64,2105.17
0.73,163.04,74.98,488.52,1814.63,2106.57
0.74,161.64,75.38,498.93,1772.45,2109.01
0.75,160.8,74.64,508.47,1757.55,2106.51
0.76,160.2,73.54,515.43,1686.24,2224.84
0.77,157.46,72.09,498.9,1596.8,2377.91
0.78,151.47,71.4,468.35,1532.29,2523.39
0.79,151.94,72.16,447.56,1505.61,2593.75
0.8,150.42,71.63,442.27,1527.94,2719.67
0.81,149.27,71.37,456.58,1578.29,2759.51
0.82,148.51,71.45,438.76,1512.36,2702.3
0.83,146.46,70.83,441.22,1381.32,2537.13
