time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,131.32,1623.65,2683
0.04,0,59.13,172.61,1821.41,2677.73
0.05,0,57.92,407.81,2052.35,3135.2
0.06,0,61.03,1639.25,2705.01,4144.94
0.07,0,64.26,1926.03,2931.72,4183.27
0.08,0,64.7,2023.4,2962.13,4217.01
0.09,0,62.83,559.87,2155.11,3124.18
0.1,201.52,62.91,267.29,1961.98,2841.51
0.11,190.14,68.08,395.75,2090.64,2857.91
0.12,170.16,72.68,477,2077.79,2810.19
0.13,161.2,73.65,488.37,2106.03,2789.45
0.14,152.82,72.29,482.45,2157.57,2788.88
0.15,150.85,70.63,457.01,2226.4,2779.98
0.16,152.66,70.5,467.15,2305.48,2685.59
0.17,146.58,71.05,461.12,2314.22,2619.82
0.18,145.85,71.7,439.47,2452.65,2591.4
0.19,142.28,71.41,432.65,2268.5,2512.35
0.2,143.31,70.88,411.76,1998.69,2503.6
0.21,143.99,70.89,406.27,1898.01,2575.62
0.22,143.09,70.59,399.93,2044.41,2401.59
0.23,142.1,69.46,386.13,2358.99,2595.86
0.24,140.36,67,304.67,1822.6,2580.46
0.25,126.61,63.62,309.62,1849.25,2605.2
0.26,0,60.98,337.41,1729.35,2493.52
0.27,0,61.72,393.46,1905.07,2294.48
0.28,0,64.92,596.54,2091.65,2869.41
0.29,0,65.31,642.14,2093.5,2888.68
0.3,0,63.45,424.57,1996.44,2941.9
0.31,445.64,62.69,2135.86,2815.49,3831.96
0.32,444.92,62.12,1377.67,2707.76,3652.91
0.33,442.9,60.59,2666.12,3183.77,3668.13
0.34,434.83,61.07,606.76,2671.59,3491.55
0.35,0,66.75,560.17,2627.39,3437.99
0.36,176.57,70.68,337.54,2637.91,3770.43
0.37,169.85,71.63,448.49,2559.15,3018.28
0.38,168.66,71.15,457.6,2498.68,2877.54
0.39,169.12,70.43,470.67,2514.13,2847.64
0.4,170.46,70.47,471.37,2511.52,2867.36
0.41,173.11,71.06,466.82,2522.58,2841.36
0.42,174.79,71.43,460.19,2561.54,2747.37
0.43,175.5,71.11,481.07,2480.19,2648.8
0.44,175.63,70.49,511.7,2187.34,2653.51
0.45,175.66,69.88,529.91,1932.34,2525.3
0.46,176.17,69.59,409.38,1786.55,2405.32
0.47,176.79,69.1,394.39,1835.08,2414.22
0.48,176.28,68.74,528.96,1897.09,2498.15
0.49,175.94,67.84,464.72,1795.17,2440.49
0.5,173.59,67.02,439.59,1575.48,2394.04
0.51,0,66.79,470.49,1714.89,2388.51
0.52,0,65.99,431.46,1749.5,2439.12
0.53,0,64.68,401.94,1413.79,2429.34
0.54,0,63.37,390.89,1729.91,2620.34
0.55,0,61.57,399.29,2334.62,2602.31
0.56,0,61.74,348.47,2341.35,2639.34
0.57,0,61.38,484.96,2110.08,2762.58
0.58,0,61.26,566.36,2046.23,2761.67
0.59,0,64.51,420.98,2014.6,2887.86
0.6,0,66.12,1703.15,2833.22,4003.61
0.61,0,65.25,282.21,1892.07,2760.17
0.62,0,61.78,386.8,1813.07,2709.01
0.63,0,59.27,520.59,1767.74,2662.28
0.64,0,61.92,554.25,1784.68,2639.18
0.65,0,65.11,580.18,1807.37,2661.21
0.66,0,69.72,740.78,1691.16,2621.01
0.67,0,72.39,765.89,1660.2,2609.99
0.68,164.04,73.71,738.11,1621.12,2574.08
0.69,161.56,75.67,754.69,1577.31,2565.23
0.7,158.44,76.65,775.9,1522.99,2595.5
0.71,158,76.89,755.18,1437.5,2607.66
0.72,156.82,76.32,739.82,1395.75,2618.38
0.73,156.24,75.66,717.9,1346.22,2649.53
0.74,155.48,76.44,699.63,1279.85,2638.4
0.75,154.16,76.49,678.6,1256.97,2628.16
0.76,152.8,75.48,638.81,1255.13,2650.63
0.77,151.17,74.19,616.17,1235.86,2636.74
0.78,151.23,73.46,618.64,1217.62,2565.44
0.79,149.65,72.89,616.8,1228.17,2706.28
0.8,150.39,71.83,579.15,1212.73,2692.34
0.81,124.61,71.08,568.97,1213.09,2889.47
0.82,125.46,69.89,468.52,1138.49,2652.31
0.83,0,68.59,468.55,1155.36,2537.76
