time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,63.5,1797.87,2645.42,3848.32
0.04,0,62.16,1853.72,3097.08,4134.22
0.05,0,59.59,1796.38,2812.37,4067.33
0.06,0,60.31,845.93,2065.06,3316.54
0.07,0,63.17,1387.11,2081.4,3379.56
0.08,0,65.44,1443.81,2415.05,3674.94
0.09,0,64.37,1601.94,2773.19,4167.15
0.1,0,61.81,1294.03,2331.75,2919.01
0.11,0,63.07,1611.58,2866.7,4099.88
0.12,0,61.72,1661.7,2807.4,4165.78
0.13,0,62.45,645.12,1605.95,2784.72
0.14,0,68.53,794.91,1624.64,2769.94
0.15,0,73.93,786.54,1598.15,2705.71
0.16,0,76.41,740.62,1628.32,2722.55
0.17,179.57,76.86,678.9,1618.69,2660.46
0.18,181.85,75.25,550.02,1560.15,2645.8
0.19,178.62,71.32,497.66,1504.18,2674.76
0.2,0,67.16,481.72,1598.35,2796.17
0.21,0,65.92,656.53,1700.16,2594.76
0.22,0,64.73,630.97,1521.31,2701.41
0.23,0,63.38,535.42,1632.68,2688.27
0.24,0,61.72,757.18,1676.92,2737.85
0.25,0,62.86,730.22,1797.78,2834.42
0.26,0,66.52,891.71,1823.89,2880.31
0.27,0,66.8,776.53,2178.45,2760.96
0.28,230.03,71.32,240.15,2286.6,2835.87
0.29,233.62,77.82,288.02,2510.99,2986.09
0.3,237.59,80.57,342.04,2588.06,3137.38
0.31,239.03,80.77,364.12,2660.43,3362.3
0.32,233.38,79.65,366.21,2615.07,3255.78
0.33,233.12,78.68,360.43,2592.72,3038.35
0.34,234.33,78.96,351.15,2627.71,2995.58
0.35,235.56,78.64,360.1,2577.52,2936.79
0.36,228.47,76.35,313.99,2381.34,2936.6
0.37,230.11,71.35,263.09,2192.38,2758.97
0.38,233.17,66.3,287.59,2143.41,2936.44
0.39,229.45,65.26,322.39,2092.93,3026.07
0.4,229.36,65.95,254.34,2148.97,2928.08
0.41,237.02,65.65,237.13,2188.61,2917.7
0.42,248.67,63.46,249.76,2053.14,2859.26
0.43,0,61.03,1784.42,2229.8,3017.01
0.44,0,60.92,1949.9,2762.29,4068.13
0.45,0,65.26,1455.86,2703.13,3183.99
0.46,212.44,73.86,418.33,1899.26,2916.42
0.47,199.28,77.91,455.49,1938.7,2896.32
0.48,186.02,79.25,506.25,2015.14,2863.43
0.49,178.63,79.72,514.61,2141.6,2825.6
0.5,172.13,78.76,494.56,2219.78,2769.88
0.51,162.36,75.72,472.68,2300.46,2747.4
0.52,165.33,70.99,432.56,2174.85,2740.58
0.53,0,66.08,463,2079.04,2866.96
0.54,0,64.66,460.42,1981.48,2816.23
0.55,0,65.59,459.33,2083.31,2820.23
0.56,0,64.25,502.85,2003.86,2695.35
0.57,0,63.48,490.01,2059.44,2805.47
0.58,0,63.92,467.45,2512.27,2954.46
0.59,0,63.92,492.27,2574.22,3023.12
0.6,0,63.38,534.84,2668.18,3270.72
0.61,0,63.28,583.65,2636.93,3259.18
0.62,0,64.88,954.59,2589.21,3033.05
0.63,0,67.32,834.78,2545.91,2931.12
0.64,183.62,70.96,534.86,2567.93,3005.59
0.65,184.03,74.46,555.43,2504.03,3026.59
0.66,183.08,76.81,549.3,2516.99,3035.11
0.67,172.45,77.52,541.28,2527.42,2986.73
0.68,163.2,76.97,523.31,2481.05,2978.52
0.69,159.08,76.88,499.63,2484.73,2968.19
0.7,157.89,76.39,490.55,2509.66,2959.35
0.71,146.22,74.97,508.24,2562.46,2967.09
0.72,0,74.06,493.11,2618.39,3010.52
0.73,0,73.2,465.42,2595.03,2967.47
0.74,0,70.92,440.66,2636.92,3012.85
0.75,0,67.12,420.31,2663.29,2953.07
0.76,0,64.88,432.13,2591.26,2959.62
0.77,473.78,65.38,454.91,2606.48,2959.44
0.78,464.02,65.29,442.03,2532.83,3149.85
0.79,0,64.42,457.44,2506.73,2973.56
0.8,376.31,61.23,422.1,2501.9,3055.99
0.81,362.58,57.54,420.89,2517.92,3023.67
0.82,429.45,58.04,469.17,2558.89,3155.63
0.83,468.33,62.09,439.2,2548.7,3100.58
0.84,0,63.69,445.82,2542.73,3058.26
0.85,0,62.88,459.71,2532.01,3062.84
0.86,0,63.12,271.41,2232.62,2878.17
0.87,0,63.29,1459.45,2227.01,2831.18
0.88,464.77,64.39,1530.08,2316.43,3224.26
0.89,474.41,65.82,984.96,2321.31,2956.44
0.9,471.27,65.33,1593.05,2402.26,3021
0.91,0,66.72,1536.01,2224.72,3003.05
0.92,0,67.26,1294.82,2214.89,2851.09
0.93,0,66.05,1308.56,2183.91,2964.23
0.94,0,66.22,946.34,2162.42,2936.82
0.95,0,66.51,967.97,2226.99,2945.37
0.96,0,63.43,577.5,2170.28,3002.25
0.97,0,62.17,1810.25,2744.31,4122.1
0.98,0,65.15,2000.74,2873.93,4244.68
0.99,0,64.08,2001.83,2936.26,4220.93
1,0,60.03,394.74,2222.1,3120.64
1.01,0,59.66,1837.31,3191.33,4515.08
1.02,0,58.6,2038.66,2876.52,3421.11
1.03,0,56,793.49,2200.06,3145.49
1.04,0,55.34,266.84,2091.57,3152.92
1.05,0,59.76,435.79,2121.17,3175.13
1.06,0,62.13,123.28,2224.88,3204.87
1.07,0,0,0,0,0
1.08,0,0,0,0,0
1.09,0,0,0,0,0
