time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,167.08,1722.88,2971.72
0.04,0,61.46,1764.48,2853.97,4128.55
0.05,0,62.28,123.37,1786.83,2879.9
0.06,0,63.72,77.2,1888.68,2790.88
0.07,0,62.81,85.29,2029.03,3073.78
0.08,0,61.66,454.39,2244.94,3044.56
0.09,0,64.51,1612.7,2940.49,4172.63
0.1,0,65.83,2056.17,3079.72,4314.96
0.11,0,62.29,134.27,1860.29,3017.69
0.12,0,59.41,424.19,1954.97,3043.66
0.13,0,60.08,1940.6,2691.91,3664.77
0.14,450.45,64.85,327.82,1510.01,3128.94
0.15,460.7,68.81,462.89,1493.33,3095.72
0.16,0,72.01,397.41,1311.64,3129.51
0.17,192.36,74.63,402.04,903.74,3335.21
0.18,195.56,76.68,409.59,987.62,3331.43
0.19,199.39,77.86,415.08,1001.94,3323.14
0.2,202.7,78.5,460.5,1065.15,3382.92
0.21,202.64,80.1,562.83,1176.38,3309.37
0.22,202.24,82.02,589.79,1214.3,3309.26
0.23,201.92,83.02,596.76,1219.42,3239.49
0.24,200.78,83.29,598.17,1211.93,3161.11
0.25,198.93,83.15,593.63,1192.43,3118.36
0.26,197.04,82.88,584.48,1167.14,3068.79
0.27,194.96,82.89,579.12,1121.52,3025.19
0.28,193.17,83.13,573.75,1137.27,2977.31
0.29,191.1,82.86,573.21,1147.05,2983.98
0.3,187,81.44,570.01,1159.03,2959.18
0.31,182.46,79.98,585,1089.58,2912.75
0.32,178.63,79.01,622.2,1194.28,2902.59
0.33,175.11,77.21,664.53,1214.42,2890.32
0.34,172.57,76.21,644.03,1220.47,2875.23
0.35,170.74,76.52,610.22,1237.66,2809.24
0.36,167.47,76.05,610.73,1368.15,2775
0.37,166.11,75.12,592.97,1378.43,2765.06
0.38,166.02,74.05,512.73,1433.1,2771.46
0.39,166.55,73.44,503.9,1488.68,2765.6
0.4,166.41,72.39,506.93,1470.62,2727.09
0.41,167.23,69.72,450.59,1440.12,2806.28
0.42,169.55,66.79,442.27,1398.8,2840.02
0.43,168.05,64.96,560.86,1482.17,2948.38
0.44,168.28,65.01,505.97,1596.66,2860.89
0.45,167.73,65.34,459.31,1480.57,2886
0.46,0,63.67,452.27,1346.72,2931.92
0.47,335.98,63.72,467.5,1536.81,2881.93
0.48,344.18,64.49,560.01,1813.7,2951.03
0.49,343.98,64.2,466.74,1599.22,2866.06
0.5,331.38,62.14,1222.02,1373.65,2887.58
0.51,335.13,62.4,420.15,1699.43,2927.95
0.52,372.11,62.24,391.07,2012.54,2827.34
0.53,382.95,61,490.2,2207.56,2937.46
0.54,404.61,61.11,476.56,2142.26,2964.29
0.55,415.58,61.88,506.82,2166.95,2892.91
0.56,418.89,62.44,351.64,2554.91,3034.18
0.57,0,64.42,262.91,2636.23,3210.83
0.58,191.81,69.75,285.38,2655.51,3298.88
0.59,185.21,72.43,397.43,2657.49,3370.41
0.6,181.11,73.11,409.96,2978.99,3325.7
0.61,180.27,72.72,402.7,2787.58,3186.07
0.62,177.54,71.66,337.92,2740.61,3017.58
0.63,174.91,70.16,352.53,2755.38,2916.58
0.64,173.53,68.97,376.2,2657.93,2755.71
0.65,171.88,69.87,371.73,2479.15,2748.53
0.66,169.41,72.09,363.3,2374.63,2769.82
0.67,166.84,74.03,354.28,2300.14,2801.07
0.68,163.54,75.36,347.03,2225.25,2763.42
0.69,161.35,76.24,347.44,2093.59,2720.79
0.7,160.16,76.27,346.22,1978.19,2717.4
0.71,157.91,74.68,344.24,1871.83,2786.58
0.72,155.06,71.38,375.4,1809.02,2765.09
0.73,153.91,70.35,375.42,1697.16,2760.69
0.74,154.01,72.12,349.02,1634.11,2723.14
0.75,150.01,71.29,357.67,1610.9,2762.24
0.76,145.73,69.11,373.44,1594.75,2770.19
0.77,142.8,68.49,364.89,1566.37,2803
0.78,140.76,68.25,361.93,1571.7,2807.83
0.79,138.29,68.42,327.2,1541.06,2779.54
0.8,136.06,68.96,321.28,1582.28,2854.84
0.81,134.07,70.01,338.73,1602.62,2857
0.82,132.74,70.37,365.53,1601.34,2813.34
