time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,990.77,2772.46,3164.68
0.04,0,66.98,1364.04,2248.53,3070.32
0.05,0,66.98,1674.29,2694.49,3796.52
0.06,0,63.97,811.08,2458.92,3388.21
0.07,0,60.25,139.38,1930.63,3049.76
0.08,0,56.18,188.41,1838.98,2715.15
0.09,0,58.38,1682.2,2845.1,4166.17
0.1,0,60.79,1364.27,2708.13,3345.52
0.11,0,61.04,758.21,2427.16,3353.78
0.12,0,58.7,139.5,1909.81,2894.7
0.13,0,56.92,1091.79,2409.91,3565.46
0.14,0,60.89,279.19,2250.72,3531.41
0.15,0,63.98,455.3,2740.77,3922.79
0.16,0,66.91,428.01,2811.14,3800.95
0.17,0,70.83,425.55,2855.28,3777.95
0.18,200.21,73.93,400.9,2843.68,3786.6
0.19,207.68,75.95,399.77,2886.17,3698.45
0.2,211.07,76.85,362.67,2868.21,3606.49
0.21,213.26,77.16,351.61,2810.94,3461.94
0.22,216.3,78.52,333.36,2812.99,3353.61
0.23,219.26,80.27,324.88,2857.15,3360.11
0.24,220.22,80.82,325.31,2921.02,3371.58
0.25,216.57,79.71,313.53,2868.24,3253.85
0.26,212.96,76.26,345.96,2836.96,3184.26
0.27,195.1,72.3,481.05,2844.48,3333.08
0.28,198.66,73.28,281.17,2831.32,3351.5
0.29,203.21,73.34,260.25,2855.87,3269.2
0.3,202.12,70.27,1516.2,2797.07,3984.29
0.31,204.17,68.19,1542.41,2786.44,3039.92
0.32,206.64,69.09,629.4,2649.5,3029.17
0.33,226.16,72.43,365.02,2509.59,3039.94
0.34,230.06,76.71,422.38,2303.64,2765.83
0.35,230.8,79.4,443.64,2280.42,2673.96
0.36,231.23,80.86,457.87,2174.54,2527.84
0.37,230.85,81.5,463.26,2070.79,2396.9
0.38,229.37,81.28,462.94,1950.48,2295.52
0.39,227.8,80.8,456.9,1852.04,2262.76
0.4,227.07,80.44,457.14,1808.43,2249.52
0.41,226.74,80.01,457.37,1792.53,2231.37
0.42,226.86,79.48,448.43,1781.15,2159.35
0.43,228.63,79.12,447.11,1751.31,2089.83
0.44,230.45,79.35,449.34,1672.31,2075.96
0.45,229.93,78.85,442.21,1612.36,2050.07
0.46,226.76,76.41,420.62,1700.23,2049.53
0.47,212.29,73.99,348.71,1872.66,2164.14
0.48,214.98,72.84,394.43,1911.48,2464
0.49,212.14,72.5,402.53,1856.47,2293.04
0.5,205.9,72.83,307.85,1866.73,2308.12
0.51,205.48,70.71,351.21,1820.95,2189.9
0.52,216.6,67.88,400.34,1900.67,1985
0.53,225.57,67.31,405.66,1853.08,2304.84
0.54,0,66.64,372.43,1895.97,2022.88
0.55,0,65.58,379.32,1910.33,2737.07
0.56,0,67.35,325.49,1846.26,2852.81
0.57,0,69.18,1591.15,2186.04,3103.68
0.58,197.56,71.34,998.04,2385.91,3063.12
0.59,194.23,73.99,315.68,2731.09,3082.51
0.6,193.66,75.9,390.64,2726.67,3359.54
0.61,193.87,77.22,413.8,2757.07,3544.45
0.62,194.49,78.15,455.38,2754.73,3525.08
0.63,194.92,78.8,462.67,2744.43,3526.17
0.64,194.69,78.97,464.25,2756.07,3608.34
0.65,194.29,78.81,467.08,2777.26,3569.56
0.66,193.61,78.67,469.94,2770.94,3457.77
0.67,192.76,78.69,466.02,2763.84,3217.27
0.68,191.53,78.73,434.59,2746.26,3127.33
0.69,190.17,78.85,374.22,2727.52,2878.42
0.7,188.49,78.71,333.51,2417.22,2782.13
0.71,185.08,76.85,341.26,2208.9,2671.62
0.72,182.43,72.76,335.59,1731.89,2542.66
0.73,180.1,69.83,347.3,1637.21,2707.16
0.74,181.4,68.25,319.73,1734.46,2708.04
0.75,0,66.33,349.29,1729,2774
0.76,0,66.5,326.62,1720.75,2808.2
0.77,0,65.08,244.97,1742.79,2850.42
0.78,0,63.3,869.97,2101.42,3279.12
0.79,155.21,66.15,430.55,1590.77,2630.34
0.8,155.2,70.08,473.37,1535.26,2062.67
0.81,154.35,72.25,521.05,1563.39,1989.19
0.82,153.06,73.14,558.17,1580.64,1951.9
0.83,150.94,73.79,591.7,1602.72,1951.01
