time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,58.42,1223.32,1685.3,3182.39
0.04,0,59.08,1573.51,2735.12,3984.42
0.05,0,58.84,610.79,2143.68,3378.1
0.06,0,57.91,202.79,1620.27,2827.81
0.07,0,62.32,147.12,1748.01,2863.9
0.08,0,65.14,96.87,1834.63,2922.4
0.09,0,63.2,111.93,1734.22,2919.6
0.1,0,62.22,1694.98,2905.53,4181.63
0.11,0,64.7,2089.75,2898.11,4269.3
0.12,0,65.35,1863.41,2857.72,3475.31
0.13,0,66.94,718.6,2280.6,2994.06
0.14,0,75.07,533.15,2029.46,2793.14
0.15,200.06,79.58,572.99,2075.82,2801.76
0.16,200.31,81.55,591.42,2110.77,2830.81
0.17,199.68,82.17,593.69,2194.61,2863.92
0.18,198.75,82.27,586.23,2293.76,2881.25
0.19,197.72,82.08,577.95,2344.96,2881.93
0.2,197,81.67,573.38,2344.52,2837.39
0.21,196.59,81.23,571.2,2323.21,2766.34
0.22,196.79,80.98,572.05,2310.3,2681.66
0.23,197.7,80.89,580.57,2269.38,2612.49
0.24,198.43,80.97,588.93,2166.34,2540.09
0.25,199.14,81.11,595.08,2042.94,2470.47
0.26,200.63,81.35,599.82,1953.59,2419.06
0.27,202.55,81.65,605.63,1935.86,2327.92
0.28,204.27,81.49,611.64,1880.13,2192.2
0.29,206.66,80.65,615.86,1842.31,2199.76
0.3,208.66,79.42,624.19,1867.28,2210.91
0.31,210.56,77.83,634.33,1865.25,2206.54
0.32,211.5,76.38,633.01,1845.25,2211.96
0.33,206.97,76.24,619.17,1820.35,2175.11
0.34,193.71,76.43,583.33,1836.28,2179.17
0.35,179.84,75.48,547.14,1857.22,2258.96
0.36,0,74.18,537.84,1937.57,2319.2
0.37,0,72.58,556.11,2009.54,2379.3
0.38,0,71.31,572.09,2065.47,2444.26
0.39,0,71.3,620.77,2121.57,2559.98
0.4,0,72.02,614.66,2162.35,2668.79
0.41,0,72.66,605.24,2211.45,2755.27
0.42,0,72.36,585.45,2213.29,2797.23
0.43,183.81,71.1,556.51,2182.83,2820.26
0.44,187.32,70.65,531.44,2133.35,2937.84
0.45,188.42,71.92,442.68,2058.11,2987.18
0.46,188.38,73.06,395.6,2022.99,2963.08
0.47,187.74,73.7,355.64,2027.97,3073.49
0.48,187.79,74.24,339.05,1964.89,3037.43
0.49,186.78,74.67,315.5,1886.84,3015.4
0.5,186.02,75.09,314.64,2042.13,2945.35
0.51,187.18,75.46,365.81,2161.79,2954.02
0.52,185.86,75.19,351.52,1998.75,2933.85
0.53,185.11,74.59,357.53,1973.49,2866.13
0.54,185,74.29,333.14,1594.59,2756.94
0.55,185.8,73.92,319.71,1688.25,2832.29
0.56,190.05,72.04,291.84,1563.12,2720.88
0.57,189.71,68.92,287.22,1634.29,2805.99
0.58,188.07,66.76,269.22,1957.48,2872.5
0.59,190.57,65.42,239.57,1921.64,2863.16
0.6,194.02,63.97,211.25,1845.72,2860.26
0.61,0,64.4,153.6,1969.3,2944.85
0.62,0,63.33,245.91,1922.18,2943.29
0.63,0,62.3,319.33,1827.56,2822.2
0.64,424.75,64.1,284.2,1776.49,2833.46
0.65,394.26,62.75,278.12,1745.34,3044.57
0.66,0,60.36,578.04,2112.31,3327.29
0.67,0,61.33,1581.55,2551.21,3625.53
0.68,0,64.01,1488.67,2318.25,3335.67
0.69,0,63.54,1451.2,2422.94,2883.27
0.7,0,62.97,667.93,2200.21,3392.82
0.71,0,63.36,1598.63,2576.68,4018.9
0.72,0,62.9,630.63,1997.88,3173.21
0.73,0,63.16,823.89,1743.26,3280.12
0.74,0,64.48,920.76,1406.17,2946.98
0.75,0,65.67,767.57,1358.72,2851.84
0.76,175.93,70.16,438.93,1132.25,2528.07
0.77,174.59,73.58,494.47,1222,2573.57
0.78,171.14,74.64,514.52,1325.87,2522.38
0.79,164.66,74.29,513.3,1447.54,2508.44
0.8,158.38,74.04,544.1,1565.21,2475.47
0.81,154.03,74.52,590.63,1687.2,2440.55
0.82,149.11,75.34,606.02,1793.25,2451.3
0.83,0,74.69,613.87,1855.06,2448.97
