time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1573.61,2849.43,3971.66
0.04,0,61.37,297.62,1857.93,2709.11
0.05,0,64.56,2086.7,2492.36,3968.44
0.06,0,67.05,2233.92,2864.14,4347.85
0.07,0,66.64,477.18,2295.48,2902.75
0.08,0,64.17,1890.05,3011.61,3447.22
0.09,0,63.32,1760.74,3102.41,4398.77
0.1,315.13,63.95,1678.74,2843.7,3774.89
0.11,313.6,65.2,1444.86,2765.31,3081.78
0.12,0,68.39,1229.04,2670.46,3118.1
0.13,203.68,73.44,419.6,2371.1,3068.92
0.14,195.24,76.89,481.65,2296.21,3050.52
0.15,190.91,79.8,567.71,2192.33,2954.62
0.16,188.39,81.2,590.62,2069.54,2902.71
0.17,185.35,80.34,632.41,1973.23,2879.34
0.18,182.85,79.75,687.66,1957.6,2817.51
0.19,0,79.95,701.69,1984.08,2773.84
0.2,0,79.32,679.34,2035.94,2721.34
0.21,0,78.04,630.55,2102.98,2729.82
0.22,0,75.19,593.78,2121.19,2665.14
0.23,0,69.21,575.38,2063.82,2659.24
0.24,0,64.89,596.22,1998.31,2727.85
0.25,0,65.01,595.47,1931.86,2684.21
0.26,378.37,67.78,637.14,2045.86,2715.42
0.27,355.12,67.68,645.61,2079.84,2744.51
0.28,0,64.81,562.3,2001.23,2696.76
0.29,0,63.53,550.29,2092.14,2757.44
0.3,484.54,63.27,525.41,1994.92,2798.68
0.31,459.78,64.01,925.2,1437.52,2647.29
0.32,445.43,66.62,1338.09,1353.89,2877.85
0.33,419.59,66.36,852.48,1372.02,2798.23
0.34,409.21,64.72,842.67,1280.24,2675.25
0.35,407.44,64.51,801.51,1253.13,2676.73
0.36,414.17,65.26,732.15,1264.74,2794.16
0.37,345.17,64.05,759.65,1358.79,2709.2
0.38,312.58,62.82,602.94,1455.43,2869.89
0.39,240.33,66.42,347.16,1289.01,2864.94
0.4,202.36,71.7,436.67,944.45,3010.57
0.41,196.67,75.01,516.91,875.8,3098.9
0.42,193.33,76.79,532.65,863.85,3248.19
0.43,190.7,77.71,542.05,910.86,3267.33
0.44,188.18,78.08,538.54,948.52,3356.23
0.45,186.47,78.02,511.98,955.4,3322.5
0.46,185.77,77.83,486.86,959.93,3278.6
0.47,184.24,77.28,470.03,982.76,3321.39
0.48,182.53,75.51,434.76,1010.03,3261.01
0.49,183.67,71.44,468.53,868.79,3035.15
0.5,182.52,67.35,447.47,942.59,2847.8
0.51,181.9,66.45,420.97,973.12,2935.96
0.52,0,66.12,342.11,659.17,3076.18
0.53,0,65.45,437.75,1394.25,2833.66
0.54,0,67.9,445.76,1574.68,2761.09
0.55,0,68.29,560.93,1450.89,2869.13
0.56,0,65.06,1435.62,2914.48,4181.65
0.57,0,61.3,439.91,1563.18,2780.57
0.58,0,61.18,423.15,1586.09,2932.1
0.59,0,62.79,383.34,1568.52,2793.61
0.6,0,63.92,404.96,1968.44,2952.91
0.61,0,64.73,365.59,1718.36,2859.84
0.62,0,64.54,365.93,1747.3,2921.6
0.63,0,61.95,350.49,1615.23,2773.85
0.64,0,60.63,202.31,1653.18,2754.89
0.65,0,63.88,1740.13,2835.25,4070.97
0.66,0,64.72,1513.73,1857.17,2923.91
0.67,0,63.45,1841.97,2866.47,4260.63
0.68,0,62.51,1623.01,2832.69,3988.58
0.69,0,60.74,1488.41,2688.41,3822.03
0.7,0,59.56,1877.35,2772.14,4213.23
0.71,0,62.26,1998.05,2847.46,4037.23
0.72,0,64.4,2116.31,2950.76,4111.43
0.73,479.33,64.52,2104.11,2880.48,4217.82
0.74,0,68.33,435.85,2322.68,3035.85
0.75,185.16,72.31,324.93,2731.83,2961.06
0.76,177.85,73.03,352.38,2758.13,3017.74
0.77,170.89,72.04,335.99,2772.4,3218.32
0.78,167.27,71.44,358.93,2817.72,3341.68
0.79,163.75,72.33,346.68,2831.77,3335.65
0.8,160.96,73.6,332.43,2894.64,3361.2
0.81,158.71,74.02,332.62,2911.62,3334.8
0.82,152.87,72.7,324.11,2921.44,3365.23
0.83,146.56,70.92,333.51,2926.34,3340.34
0.84,144.48,71.48,323.56,2902.82,3311.49
0.85,139.78,71.17,327.08,2904.05,3328.37
0.86,0,70.55,322.6,2881.68,3322.37
0.87,0,68.9,349.74,2867.82,3247.87
0.88,306.44,66.87,343.02,2818.93,3152.72
0.89,293.95,66.19,304.37,2808.7,3112.77
0.9,284.9,67.22,312.33,2833.82,3142.25
0.91,0,64.73,287.69,2805.57,3086.34
0.92,0,62.31,303.98,2244.67,3003.99
0.93,0,61.4,313.13,2088.21,3069.39
0.94,0,59.45,227.38,1935.43,2935.57
0.95,0,59.42,215.21,1966.94,2870.6
0.96,0,59.48,1311.57,2682.83,4126.2
0.97,0,58.25,1166.55,2443.13,3227.37
0.98,0,58.5,1228.78,2168.3,3270.37
0.99,0,60.31,368.32,1928.6,3066.73
1,0,61.91,1721.03,2869.24,3992.99
1.01,0,63.76,1974.68,3037.89,4233.43
1.02,0,64.06,1843.87,2818.12,4129.37
1.03,0,64.12,241.51,2280.81,2916.92
1.04,0,64.3,1542.99,2796.15,3902.79
1.05,0,62.24,1482.96,2735.07,4023.92
1.06,0,59.69,270.35,1890.82,3285.2
1.07,0,57.74,182.26,1854.74,3091.15
1.08,0,56.92,246.7,1987.89,3029.69
1.09,0,61.48,117.93,1859.05,2885.77
1.1,0,0,1722.7,2997.07,4105.84
1.11,0,0,0,0,0
1.12,0,0,0,0,0
