time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,812.21,2343.89,3757.49
0.04,0,61.51,862.17,2234.57,3282.04
0.05,0,61.65,899.25,2095.54,3111.82
0.06,0,65.14,1772.41,2735.35,4004.34
0.07,0,65.07,1777.26,2852.8,3946.68
0.08,0,62.5,1510.8,2651.28,3765.51
0.09,0,63.62,1416,2705.88,3861.91
0.1,0,67.16,1683.71,2565.73,3916.27
0.11,449.36,68.68,1209.86,1696.39,2695.36
0.12,442.31,67.39,1254.48,1659.09,2855.56
0.13,456.48,65.29,758.27,1471.51,2969.87
0.14,339.7,64.38,836.79,1444.46,3005.87
0.15,314.04,63.17,609.79,1496.14,3005.62
0.16,0,60.84,634.22,1552.61,3090.18
0.17,0,59.85,661.37,1380.73,3148.15
0.18,0,59.77,748.7,1344.16,3195.57
0.19,242.33,65.54,491.44,1242.61,3178.28
0.2,226.95,73.29,496.73,1030.96,3232.35
0.21,221.61,76.64,600.59,960.6,3272.94
0.22,219.91,77.32,668.93,891.91,3304.66
0.23,217.05,77.26,659.15,874.41,3324.8
0.24,214.47,77.24,608.2,1186.46,3415.78
0.25,213.05,77.14,569.69,1126.6,3433.02
0.26,212.8,76.82,690.19,1131.92,3429.57
0.27,212.36,76.3,641.15,1125.45,3414.62
0.28,212.17,75.99,588.15,1200.38,3384.66
0.29,213.18,76.48,577.09,1305.61,3351
0.3,213.43,77.14,605.77,1381.21,3365.63
0.31,213.01,77.28,595.5,1510.5,3362.46
0.32,212.13,76.76,577.24,1637.21,3314.24
0.33,212.4,76.15,542.79,1819.55,3232.07
0.34,213.09,75.86,497.27,1939.99,3161.94
0.35,213.92,75.79,437.14,2175.28,3149.04
0.36,215.03,75.91,391.08,2040.98,3094.44
0.37,215.08,76.59,357.21,1712.49,2926.02
0.38,215.68,77.98,350.28,1790.67,2994.01
0.39,215.89,78.99,332.61,1651.69,2878.85
0.4,215.85,79.48,339.99,1895.34,2986.89
0.41,215.28,79.65,384.53,2040.18,3000.14
0.42,214.8,79.44,338.33,2016.43,2982.85
0.43,213.93,79.14,305.62,1919.88,2949.24
0.44,212.4,78.46,297.69,1915.78,2977.66
0.45,210.97,77.26,316.77,1837.97,2864.47
0.46,209.97,75.82,349.98,1733.2,2659.92
0.47,208.6,74.43,387.49,2169.78,2564.9
0.48,205.38,73.44,431.47,2075.51,2793.66
0.49,201.5,73.1,473.28,2302.66,2794.33
0.5,198.16,74.09,476.19,2158.29,2627.59
0.51,195.74,76.07,467.38,2126.33,2461.24
0.52,193.75,77.19,453.36,2025.08,2266.04
0.53,191.19,77.34,459.87,1896.15,2126.63
0.54,189.71,77.47,467.22,1878.95,2098.16
0.55,187.91,77.53,475.72,1848.77,2182.94
0.56,185.6,77.29,491.66,1795.95,2467.01
0.57,183.39,77.24,497.36,1659.45,2865.93
0.58,181.15,76.81,518.6,1603.59,3017.27
0.59,178.71,75.27,522.52,1540.55,3055.64
0.6,175.1,71.64,505.67,1648.64,2962.06
0.61,177.31,67.29,496.49,1820.03,3090.94
0.62,174.94,66.82,450.82,1824.96,2591.61
0.63,173.35,69.26,440.65,1864.24,2856.74
0.64,172.55,70.43,442.28,1829.71,1873.28
0.65,173.61,71.19,470.16,1639.13,2970.98
0.66,179.11,72.59,502.84,1547.73,3312.78
0.67,178.89,74.51,553.79,1325.34,3258.4
0.68,171.91,75.4,625.19,1475.35,3271.24
0.69,166.36,76.21,676.85,1550.07,3191.82
0.7,162.38,77.02,752.93,1623.52,3140.08
0.71,158.86,77.9,802.36,1675.06,3080.18
0.72,153.86,77.32,804.92,1722.18,2965.07
0.73,151.03,75.57,820.05,1765.81,2926.67
0.74,148.06,74.63,808.88,1805.24,2871.86
0.75,145,74.12,810.56,1831.33,2875.2
0.76,139.4,73.89,789,1871.02,2834.61
0.77,136.26,73.81,795.41,1907.62,2838.05
0.78,134.16,73.14,768.21,1914.57,2863.06
0.79,133.05,72.43,736.12,1982.38,2847.95
0.8,133.61,71.34,671.31,1978.69,2848.72
0.81,134.01,70.25,635.44,2002.8,2844.46
0.82,132.9,69.08,570.55,1985.92,2829.77
0.83,129.71,69.38,549.1,2102.62,2821.95
0.84,128.57,69.2,547.5,2173.71,2807.6
0.85,127.98,66.72,584.54,2074.79,2792.3
0.86,0,63.16,516.64,1926.26,2866.17
0.87,0,60.87,469.08,1969.52,2908.75
0.88,0,59.17,589.54,1905.05,2889.4
0.89,0,57.22,658.35,2038.57,2768.79
0.9,0,56.89,711.69,2072.26,2855.25
0.91,0,57.71,582.15,2069.11,2878.76
0.92,0,60.21,467.34,2089.17,2840.25
0.93,0,61.09,337.78,2113.95,2812.36
0.94,0,59.45,745,2075.8,2829.8
0.95,0,57.79,680.95,1924.26,2859.19
0.96,0,60.19,832.88,1886.77,2840.52
0.97,0,61.38,419.73,1870.05,2857.34
0.98,0,62.31,691.57,1970.69,2989.89
0.99,0,62.02,1862.64,2979.08,4393.5
1,0,61.37,765.18,2143.53,3427.86
1.01,0,59.16,696.96,2053.21,3346.5
1.02,0,58.26,749.17,2115.66,3389
1.03,0,60.45,1580.88,2460,3513.7
1.04,0,60.84,1081.05,2578.68,3664.71
1.05,0,60.22,1581.9,2862.65,3778.41
1.06,0,63.14,548.45,2038.14,3129.23
1.07,0,63.59,622.5,2392.26,3518.91
1.08,0,0,0,0,0
1.09,0,0,0,0,0
1.1,0,0,0,0,0
