time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1773.04,2705.68,3942.71
0.04,0,65.98,1830.12,2951.55,3904.73
0.05,0,65.84,1732.85,3017.97,4312.51
0.06,0,65.4,1773.92,3015.15,4279.45
0.07,0,63.71,1902.04,3045.61,4246.33
0.08,0,64.26,1588.32,2872.29,3798.99
0.09,0,65.64,1203.1,2603.28,3631.06
0.1,242.02,67.57,460.68,2185.2,2945.43
0.11,235.75,75.32,442.48,2241.16,2903.36
0.12,222.14,79.89,449.81,2333.95,2943.34
0.13,214.05,80.79,430.84,2398.74,2954.74
0.14,212.99,80.26,421.69,2483.23,2960.31
0.15,214.91,78.48,416,2610.27,2976.68
0.16,212.74,76.12,405.74,2675.09,2960.4
0.17,208.15,75.66,369.07,2604.8,2929.32
0.18,206.4,77.19,287.75,2249.22,2832.38
0.19,200.47,77.78,257.37,2143.29,2790.18
0.2,194.26,77.29,349.37,2627.88,2800.29
0.21,192.97,77.33,329.63,2467.46,2837.96
0.22,192.86,77.36,232.93,2392.78,2917.5
0.23,192.42,76,262.87,2527.57,3092
0.24,195.08,73.44,305.32,2549.76,3206.9
0.25,199.06,71.63,326.62,2470.45,3190.48
0.26,200.19,70.26,355.27,2792.67,3388.67
0.27,204.55,68.41,374.12,2726.27,3513.6
0.28,0,66.45,383.91,2791.61,3421.96
0.29,0,64.59,366.25,2774.43,3349.79
0.3,472.91,62.46,359.28,2796.74,3345.54
0.31,469.63,63.44,368.06,2860.97,3068.84
0.32,463.29,63.6,415.91,2681.48,3129.59
0.33,330.08,62.96,368.97,2932.01,3069.85
0.34,206.89,66.13,451.52,1882.37,3067.96
0.35,208.07,70.97,280.41,1539.69,3052.11
0.36,208.76,74.38,303.52,1523.41,2963.95
0.37,207.27,75.49,303.56,1618.9,3005.52
0.38,204.66,74.95,318.53,1704.21,3022.79
0.39,201.06,73.88,356.91,1738.35,2968.6
0.4,197.93,73.49,402.52,2232.3,2953.78
0.41,196.6,74.21,418.2,2594.67,3088.55
0.42,195.1,75.07,435.07,2429.69,3145.46
0.43,192.68,75.16,456.17,2130.31,3134.32
0.44,190.42,74.92,461.67,2004.11,3085
0.45,188.06,75.11,482.93,1889.47,2993.01
0.46,185.95,75.63,532.68,1799.79,2940.4
0.47,184.79,76.03,626.62,1717.55,2845.66
0.48,184.09,76.32,669.85,1651.32,2787.95
0.49,183.35,76.26,706.27,1605.85,2773.06
0.5,182.55,76.04,738.05,1569,2755.01
0.51,181.94,75.83,741.01,1530.76,2765.18
0.52,180.51,74.99,736.44,1478.44,2842.72
0.53,177.57,73.77,729.44,1373.89,2946.71
0.54,0,71.97,730.24,1357.44,3044.68
0.55,0,70,745.65,1435.81,3128.61
0.56,0,68.31,738.56,1523.46,3229.23
0.57,0,68.12,691.45,1474.68,3415.4
0.58,0,67.61,724.61,1527.82,3205.79
0.59,0,64.37,797.85,1578.32,3142.55
0.6,0,60.89,749.29,1585.23,3154.17
0.61,0,60.32,744.36,1520.26,3016.37
0.62,0,61.32,817.33,1797.67,2928.66
0.63,0,65.89,451.24,1488.15,3196.75
0.64,0,69.14,445.26,1253.26,3228.56
0.65,0,70.44,529.77,1291.33,3178.76
0.66,165.31,71.96,638.67,1410.1,3086.48
0.67,163.71,72.93,656.27,1481.6,3095.05
0.68,161.22,72.83,758.18,1541.09,3042.35
0.69,159.3,73.15,827.7,1582.25,2995.73
0.7,157.2,73.37,843.43,1578.47,2919.41
0.71,154.65,72.92,852.66,1565.81,2865.13
0.72,151.87,72.35,927.6,1586,2844.66
0.73,149.07,72.24,954.75,1578.27,2868.01
0.74,146.25,72.26,950.32,1581.78,2859.82
0.75,143.62,72.45,926.29,1563.2,2850.58
0.76,141.38,72.11,867.17,1537.04,2845.38
0.77,139.79,71.87,885.83,1512.18,2826.57
0.78,138.68,71.62,877.72,1494.05,2830.31
0.79,136.01,71,834.81,1475.45,2831.91
0.8,133.52,70.62,799.89,1497.85,2808.53
0.81,132.29,70.27,776.7,1509.23,2796.67
0.82,130.74,68.87,737.58,1555.8,2785.59
0.83,0,68.85,663.25,1570.51,2753.63
0.84,0,70.18,591.37,1594.62,2797.09
0.85,0,69.71,554.16,1635.03,2846
0.86,0,66.32,827.66,1675.92,2779.78
0.87,0,62.98,927.12,1536.77,2860.08
0.88,0,63.99,939.27,1525.33,2923.76
0.89,0,66.01,450.45,1729.56,2916.26
0.9,0,66.04,729.82,1927.87,2943.74
0.91,0,64.37,952.16,1907.04,2972.69
0.92,0,59.91,923.96,1779.22,2953.19
0.93,0,58.86,673.4,1662.71,2966.57
0.94,0,61.09,1508.46,2184.67,3298.48
0.95,0,63.06,1111.39,1646.43,3146.22
0.96,0,63.75,967.4,2392.48,3724.07
0.97,0,64.02,1030.66,1639.93,3100.06
0.98,0,64.34,1472.42,3003.86,4125.66
0.99,0,64.35,1517.32,2946.97,4071.8
1,0,65.8,1583.42,2892.64,4154.76
1.01,0,65.65,1608.38,2841.84,4208.72
1.02,0,61.31,980.02,2146.16,3198.11
1.03,0,54.67,579.94,1873.62,3079.96
1.04,0,52.39,1282.23,2883.39,3332.06
1.05,0,0,891.5,1973.49,3182.21
1.06,0,0,0,0,0
1.07,0,0,0,0,0
