time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,59.66,1092.6,2517.08,3822.47
0.04,0,57.99,912.87,2407.32,2745.42
0.05,0,59.29,988.47,2422.19,3717.03
0.06,0,61.09,812.36,2370.84,3337.84
0.07,0,59.55,949.66,1717.3,2734.74
0.08,0,58.88,806.09,2461.47,3076.51
0.09,0,59.93,931.6,2457.13,3344.02
0.1,0,60.5,1111.81,2518.59,3389.21
0.11,0,61.76,1076.19,2542.07,3361.83
0.12,0,64.75,304.15,1001.33,2926.27
0.13,105.34,67.89,328.25,2767.35,3451.25
0.14,107.35,69.13,407.58,2743.85,3589.38
0.15,110.77,69.63,557.6,2725.04,3565.72
0.16,114.27,71.05,530.5,2665.8,3567.3
0.17,117.37,72.99,644.78,2598.17,3600.28
0.18,118.6,74.61,633.33,807.32,2667.79
0.19,119.16,75.33,710.17,828.14,2701.17
0.2,120.2,75.61,710.39,773.19,2697.69
0.21,121.41,75.91,769.95,835.2,2722.63
0.22,122.33,76.22,519.82,988.12,2730.95
0.23,123.48,76.25,215.66,1004.63,2781.45
0.24,124.97,75.95,273.97,947.2,2667.42
0.25,126.35,76.53,767.88,2495.6,2809.39
0.26,127.11,77.23,689.1,756.28,2754.13
0.27,127.65,77.05,513.79,1013.27,2640.19
0.28,128.3,76.17,399.92,971.39,2646.79
0.29,128.87,75.54,975.73,2580.48,3487.75
0.3,129.06,75.22,992.99,2577.81,3301.47
0.31,128.82,75.52,523.34,1090.2,2588.17
0.32,128.78,76.19,551.01,1091.21,2556.62
0.33,129.28,76.65,545.77,1154.69,2567.69
0.34,129.85,76.81,528.64,1189.71,2549.96
0.35,130.12,76.47,547.08,1119.35,2521.56
0.36,129.99,75.59,528.93,1203.59,2501.41
0.37,129.28,74.15,473.82,1252.94,2494.62
0.38,128.11,72.72,401.27,1225.8,2466.33
0.39,128,70.81,391.11,1262.9,2510.61
0.4,0,68.66,528.81,2248.37,2282.47
0.41,0,67.22,539.33,2289,2636.33
0.42,0,65.13,525.36,1977.69,2735.42
0.43,0,63.22,540.71,1964.96,2852.86
0.44,0,62.51,603.51,2204.42,3367.21
0.45,266.92,62.09,546.74,2106.98,3263.19
0.46,267.8,63.42,536.87,1972.33,3117.95
0.47,268.2,64.69,478.33,2171.03,2800.6
0.48,268.41,62.84,1415.14,2289.98,3280.79
0.49,0,63.85,1411.1,2393.49,3215.35
0.5,121.51,69.35,262.03,2305.21,2900.99
0.51,121.31,72.24,269.86,2209.53,2829.39
0.52,121.04,73.13,215.94,2162.41,2832.69
0.53,120.63,73.66,233.35,2177.57,2845.13
0.54,120.13,74.08,220.11,2207.06,2840.11
0.55,117.37,74.27,239.18,2256.51,2839.53
0.56,115.94,74.3,272.39,2190.06,2818.26
0.57,113.87,74.15,289.1,2160.87,2639.73
0.58,110.64,73.94,308.69,2156.57,2707.27
0.59,108.13,73.93,309.25,2137.6,2621.85
0.6,107.01,73.66,316.58,2103.48,2524.91
0.61,104.01,72.78,317.69,2060.66,2567.86
0.62,99.71,71.09,316.65,2023.58,2363.57
0.63,97.21,70.87,304.88,1996.5,2460.36
0.64,95.14,72.19,258.36,1988.28,2441.44
0.65,94.03,71.35,277.47,1925.25,2592.57
0.66,93.48,69.42,288.55,2149.73,2472.29
0.67,93.4,68.64,294.83,2159.78,2297.59
0.68,89.92,67.32,311.1,2111.26,2315.26
0.69,88.15,66.02,307.89,2205.14,2352.1
0.7,87.65,66.53,348.28,2131.44,2413.87
0.71,87.31,65.96,347.11,2279.74,2650.68
0.72,0,65.42,326.35,1927,2488.27
0.73,0,65.62,273.96,1964.4,2469.55
0.74,0,64.67,1723.82,2452.46,3497.6
0.75,0,62.25,156.3,1748.37,2455.81
0.76,0,61.87,235.96,1753.67,2518.35
0.77,0,61.45,256.47,1775.77,2533.64
0.78,0,61.92,229.43,1859.17,2813.13
0.79,0,62.71,242.17,2066.44,3031.93
0.8,0,61.79,307.97,1985.69,3523.56
0.81,359.87,60.34,321.47,2249.13,3512.48
0.82,359.41,60.15,332.34,2329.63,3694.71
0.83,358.13,62.96,2132.61,3448.14,4246.83
