time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,63.93,1463.95,2429.13,3916.77
0.04,0,64.22,1984.95,2767.05,3996.77
0.05,0,63.31,2051.44,3108.27,4252.86
0.06,0,62.53,787.9,2653.75,3188.75
0.07,0,62.68,1616.91,2505.79,3512.67
0.08,0,64.76,1085.4,2328.89,2499.3
0.09,0,64.69,1774.33,2619.41,3012.59
0.1,0,63.11,1678.59,2373.98,3320.59
0.11,0,64.62,617.56,1878.79,2499.49
0.12,0,70.93,623.83,1774.12,2440.53
0.13,115.52,76.2,620.23,1765.12,2460.88
0.14,116.68,78.34,616.56,1756.3,2462.45
0.15,117.54,79.11,621.7,1786.68,2493.68
0.16,117.48,79.61,603.61,1782.53,2522.2
0.17,117.28,78.65,554.42,1757.01,2534.88
0.18,0,75,523.53,1919.06,2616.69
0.19,0,70,513.35,1751.59,2852.76
0.2,0,66.98,467.83,1707.67,2686.77
0.21,0,66.11,497.61,1740.67,2714.65
0.22,0,67.13,478.46,1811.32,2750.1
0.23,0,67.83,509.81,1914.43,2929.99
0.24,0,67.42,560.96,2139.12,3278.16
0.25,0,66.61,592.88,2276.16,3307.04
0.26,0,67.79,528.9,2394.7,3602.45
0.27,0,67.36,493.27,2486.72,3782.24
0.28,0,66.53,457.6,2139.72,3501.56
0.29,0,66.27,1282.25,2964.34,3926.02
0.3,0,65.15,1755.3,3655.36,4481.05
0.31,0,63.46,286.47,2023.38,3568.78
0.32,0,62.76,1862.78,3343.51,4444.25
0.33,0,63.45,853.69,2519.86,3697.62
0.34,0,62.51,1311.23,2794.64,4037.7
0.35,0,60.55,1632.22,2740.16,3975.12
0.36,0,63.5,1440.29,2454.1,3543.82
0.37,110.41,67.17,1135.65,2295.06,3405.34
0.38,108.67,69.66,658.4,1716.37,2810.16
0.39,106.44,70.52,154.2,1289.29,2542.97
0.4,104.28,69.7,1227.35,2562.57,3393.99
0.41,103.14,69.45,1196.99,2339.73,3662.42
0.42,103.15,69.54,1227.28,2304.6,3692.03
0.43,103.27,69.74,1260.17,2281.06,3600.24
0.44,103.56,69.83,1273.1,2280.46,3675.29
0.45,103.62,69.92,1311.83,2262.6,3657.52
0.46,103.11,69.47,519.05,1656.94,2771.06
0.47,102.47,69.18,202.26,1360.78,2251.03
0.48,101.84,69.56,239.71,1414.79,2325.93
0.49,101.02,70.69,225.02,1458.6,2375.54
0.5,100.23,71.42,219.48,1495.72,2336.9
0.51,99.58,71.83,213.59,1545.54,2390.66
0.52,98.56,71.94,220.84,1768.05,2647.55
0.53,97.08,71.63,200.86,1898.61,3426.89
0.54,96.29,70.93,225.57,1991.96,3478.79
0.55,0,69.47,206.11,2199.55,3695.21
0.56,0,68.5,155.83,2217.08,3720.18
0.57,0,66.52,1535.88,3112.15,4328.49
0.58,90.9,65,185.46,2218.1,3582.04
0.59,91.64,66.43,861.4,2492.08,2810.95
0.6,92.36,67.96,212.08,1942.44,2572.01
0.61,92.37,68.65,207.26,1934.74,2554.71
0.62,91.58,68.57,210.43,2045.16,2557.71
0.63,90.75,68.4,232.09,2141.33,2607.46
0.64,0,68.89,1484.71,2483.37,3163.3
0.65,0,68.4,211.07,2177.22,2657.84
0.66,0,67.62,278.73,2205.82,2659.78
0.67,0,66.93,320.06,2215.26,2681.36
0.68,86.48,65.88,347.91,2242.97,2681.31
0.69,86.46,66.4,320.4,2243.19,2674.69
0.7,86.57,66.2,308.06,2252.2,2687.22
0.71,0,63.9,312.44,2268.88,2687.26
0.72,0,62.81,337.26,2228.43,2653.45
0.73,0,64.45,242.48,2285.62,2650.16
0.74,0,65.98,257.19,2227.78,2607.49
0.75,0,65.73,290.11,2198.91,2564.43
0.76,0,64.16,310.27,2146.83,2528.24
0.77,84.77,63.95,305.89,2075.73,2514.88
0.78,85.02,63.7,328.91,2018.44,2540.33
0.79,0,63.92,314.96,1984.57,2528.36
0.8,0,64.21,321.92,1911.37,2520.68
0.81,0,63.22,314.03,1883.81,2504.16
0.82,0,63.98,252.82,1804.92,2516.29
0.83,0,64.38,235.32,1727.42,2509.64
0.84,0,63.29,255.56,1868.73,2729.23
