time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,63.37,2151.41,2875.74,4665.92
0.04,0,58.76,912.44,2456.51,3447.61
0.05,0,51.38,219.85,2225.2,2887.2
0.06,0,55.04,575.26,2006.41,2988.98
0.07,0,58.26,731.35,2410.54,3718.08
0.08,56.24,60.81,725.78,2439.4,3537.94
0.09,56.63,62.66,784.21,2404.49,3335.44
0.1,55.83,64.98,1382.9,2659.76,3337.72
0.11,0,66.72,1460.3,2504.04,3398.4
0.12,0,69.16,614.66,1951.73,2609.39
0.13,0,71.92,510.27,1812.35,2477.32
0.14,103.12,72.96,559.33,1789.87,2486.13
0.15,103.2,73.32,605.5,1728.46,2463.61
0.16,103.32,73.87,637.13,1683.18,2473.86
0.17,103.58,74,654.58,1659.65,2482
0.18,104.05,73.93,682.16,1632.84,2502.2
0.19,104.42,73.73,691.31,1553.02,2520.19
0.2,104.86,73.9,669.12,1464.81,2526.23
0.21,105.41,74.27,650.86,1407.06,2542.64
0.22,105.78,74.2,646.51,1384.4,2554.66
0.23,105.96,73.82,631.13,1378.92,2556.32
0.24,106.16,73.26,617.25,1381.73,2514.21
0.25,106.59,72.82,588.53,1374.07,2467.09
0.26,107.2,72.56,436.6,1398.31,2462.1
0.27,107.56,72.23,1417.77,2437.63,3030.42
0.28,107.27,70.76,1399.12,2437.08,3351.27
0.29,72.11,70.35,328.11,1617.33,2544.83
0.3,55.32,71.38,265.65,1527.01,2454.41
0.31,55,72.56,265.38,1632.46,2475.09
0.32,54.36,72.91,264.89,1410.1,2413.09
0.33,53.98,71.37,260.46,1414.93,2395.93
0.34,55.25,67.72,259.15,1393.67,2504.92
0.35,0,64.48,375.6,1391.13,2677.39
0.36,0,66.11,1217.62,2549.74,2985.65
0.37,0,67.03,1257,2680.39,3064.3
0.38,0,65.49,534.12,2465.15,3414.43
0.39,0,63.77,1382.06,2401.99,3302.7
0.4,0,68.08,488.17,1808.94,2629.33
0.41,107.8,70.92,413.49,1589.67,2435.61
0.42,107.55,72.1,413.89,1620.55,2429.37
0.43,0,71.35,404.96,1476.57,2407.76
0.44,0,68.75,289.81,1503.55,2567.93
0.45,0,67.61,262.51,1605.49,2639
0.46,0,67.26,245.85,1567.03,2755.75
0.47,0,67.1,235.43,1797.43,2921.84
0.48,0,66.65,225.12,1725.95,2860.54
0.49,0,67.12,1210.83,2467.68,3380.6
0.5,0,71.34,469.93,1333.53,2403.14
0.51,0,73.18,517.3,1322.61,2393.24
0.52,96.19,72.5,291.43,1035.11,2379.74
0.53,95.69,71.95,383.08,934,2389.58
0.54,93.98,72.08,191.18,817.92,2414.95
0.55,92.54,72.35,488.41,935.12,2468.73
0.56,0,72.81,535.71,625.24,2470.3
0.57,437.23,73.23,490.76,830.8,2485.96
0.58,430.07,72.35,519.83,643.57,2506.81
0.59,423.99,71.52,560.81,636.14,2489.71
0.6,433.27,71.17,526.79,744.7,2485.19
0.61,0,70.56,558.95,827.01,2492.96
0.62,0,70.35,703.68,796.28,2525.79
0.63,0,69.7,590.03,960.62,2516.19
0.64,0,69.59,625.9,1103.58,2497.75
0.65,0,70.94,647.42,1129.68,2496.8
0.66,0,70.65,660.58,1172.13,2500.13
0.67,0,72.4,704.88,1283.06,2437.88
0.68,0,71.75,683.38,1285.39,2421.56
0.69,0,71.05,715.1,1383.73,2412.05
0.7,0,72.88,713.95,1410.45,2350.64
0.71,0,69.57,694,1410.2,2360.48
0.72,0,65.82,795.58,1362.18,2394.03
0.73,0,66.97,679.8,1573.55,2346.44
0.74,314.65,70.66,690.5,1578.08,2317.71
0.75,312.72,71.08,644.92,1578.84,2266.68
0.76,313.75,67.93,685.02,1688.59,2173.62
0.77,316.66,67.17,660.28,1599.26,2168.33
0.78,316.48,69.11,656.96,1599.59,2194.24
0.79,315.75,66.93,629.56,1596.29,2271.79
0.8,0,65.35,498.98,1527.08,2130.15
0.81,0,66.72,656.28,1615.88,2143.02
0.82,0,65.47,619.39,1666.11,2076.62
0.83,0,64.14,602.45,1734.81,2012.7
0.84,0,65.74,585.9,1637.35,1993.82
0.85,0,64.55,615.98,1663.99,1993.34
0.86,0,61.78,551.41,1739.83,1884.3
0.87,0,62.29,1469.31,1817.84,3064.11
0.88,0,64.1,407.24,1540.71,2040.81
0.89,0,64.52,164.83,1617.22,1895.69
0.9,0,63.03,264.03,1580.44,1835.27
0.91,0,61.64,397.35,1530.15,1861.36
0.92,0,60.59,417.17,1590.48,1888.71
0.93,0,58.26,524.48,1625.36,2007.27
0.94,0,58.87,962.58,1706.79,3114.47
0.95,0,60.36,1555.02,1871.85,3651.95
0.96,0,57.82,471.65,1087.7,1874.49
0.97,0,55.33,770.45,1894.6,3224.33
0.98,0,57.46,1634.57,2051.57,3573.16
0.99,0,57.76,1658.14,2289.7,3620.48
1,0,57.65,362.35,1852.27,2935.24
1.01,0,58.45,120.88,1622.27,2459.46
1.02,0,57.21,196.61,1755.34,2710.66
1.03,0,0,96.81,1471.32,2254.62
1.04,0,0,0,0,0
1.05,0,0,0,0,0
