time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1898.13,2995.04,4553.72
0.04,0,63.93,1631.59,2524.13,3707.44
0.05,0,62.63,675.55,2231.41,3500.43
0.06,0,59.31,170.85,2025.86,3216.39
0.07,0,61.83,177.13,2214.51,3016.63
0.08,0,63.82,207.11,2295.55,3107.81
0.09,0,66.38,240.44,2345.43,3121.2
0.1,0,68.73,255.03,2335.38,3112.94
0.11,113.19,69.69,275.99,2344.62,3099.09
0.12,113.42,71,274.68,2355.19,3098.67
0.13,116.34,72.79,266.78,2383.75,3100.84
0.14,117.32,74.53,243.51,2393.6,3095.67
0.15,118.88,75.72,230.07,2389.89,3098.48
0.16,119.8,76.48,232.67,2396.42,3101.39
0.17,120.43,77.03,206.71,2404.46,3065.79
0.18,120.71,76.44,205.38,2415.89,2953.88
0.19,120.56,74.75,215.54,2439.32,2829.67
0.2,117.39,73.24,231.41,2404.11,2868.36
0.21,116.4,72.5,232.46,2335.67,2984.49
0.22,115.96,72.06,228.85,2292.75,2956.74
0.23,115.93,71.48,206.7,2309.98,2875.98
0.24,119.15,71.81,229.8,2170.83,2693.13
0.25,122.22,73.57,241.9,1983.68,2429.59
0.26,123.79,75.26,274.89,1943.57,2341.07
0.27,124.3,76.52,302.99,2013.46,2145.34
0.28,124.18,77.3,325.56,1885.81,2176.51
0.29,123.61,77.58,326.62,1853.97,2150.18
0.3,122.91,77.2,325.92,1821.86,2062.2
0.31,122.22,76.92,322.89,1854.35,1901.86
0.32,121.47,76.59,314.52,1783.98,1871.71
0.33,120.75,75.93,220.79,1688.03,1831.87
0.34,120.27,75.17,1339.68,1690.59,3481.6
0.35,119.8,74.92,231.4,1637.46,1848.72
0.36,119.16,75.09,311.74,1564.67,1889.27
0.37,118.35,75.29,280.37,1511.45,1782.12
0.38,117.39,75.53,266.45,1428.21,1692.13
0.39,116.04,75.39,291.12,1339.74,1746.58
0.4,113.72,74.27,309.37,1272.05,1911.31
0.41,110.53,72.06,292.37,1370.02,1837.41
0.42,0,70.09,294.5,1626.72,1782.18
0.43,0,69.18,276.21,1717.01,1780.81
0.44,0,69.33,249.81,1644.6,1927.52
0.45,0,68.94,209.75,1623.78,1987.88
0.46,0,66.76,215.45,1632.69,1998.8
0.47,0,64.44,258.11,1676.57,1898.15
0.48,0,65.06,227.73,1633.75,2590.28
0.49,111.87,68.06,814.83,2011.26,2944.53
0.5,108.43,70.56,306.14,2021.73,2350.72
0.51,106.99,71.34,304.36,2164,2660.9
0.52,106.75,71.32,288.39,2166.27,2903.99
0.53,106.78,71.51,308.28,2225.36,2962.87
0.54,106.78,71.8,307.65,2287.05,2966.54
0.55,106.64,71.99,305.54,2272.36,2952.77
0.56,106.31,72.42,308.59,2277.91,2955.9
0.57,105.46,72.52,312.87,2270.22,2913.4
0.58,104.78,72.26,316.28,2273.5,2789.05
0.59,103.81,71.88,325.81,2260.87,2678.97
0.6,102.99,71.08,332.71,2154.67,2594.98
0.61,101.78,69.96,327.8,2039.05,2503.29
0.62,0,69.45,267.43,1943.93,2597.69
0.63,0,69.82,199.51,2002.11,2468.59
0.64,0,68.79,253.75,2009.22,2680.57
0.65,0,66.94,269.98,2015.06,2816.4
0.66,356.21,66.08,220.05,1928.51,2719.04
0.67,349.65,65.36,995.48,2168.05,3108.73
0.68,366.13,64.72,1450.49,2419,3467.52
0.69,0,64.14,1487.63,2514.05,3506.28
0.7,0,64.88,1535.87,2469.95,3560.02
0.71,467.2,65.31,1574.88,2104.72,3450.69
0.72,466.41,65.62,433.68,1671.06,1816.66
0.73,467.69,67.03,357.36,1646.94,1842.14
0.74,467.04,66.88,450.87,1648.06,1903.57
0.75,463.42,65.83,470.37,1617.63,2002.67
0.76,468.13,66.34,460.43,1599.8,2152.25
0.77,485.18,66.06,469.83,1573.01,2088.16
0.78,496.92,65.62,527.21,1520.19,1949.16
0.79,0,65.99,330.63,1611.54,1732.1
0.8,0,66.53,517.76,1576.28,1881.55
0.81,0,66.47,530.89,1631.46,1805.23
0.82,0,67.82,387.16,1620.68,1767.46
0.83,0,67.31,523.63,1526.97,1816.36
0.84,0,64.32,522.08,1557.9,1748.9
0.85,0,60.43,469.79,1628.32,1820.04
0.86,0,60.44,446.77,1595.54,1854.13
0.87,0,61.72,1453.63,1783.47,3380.64
0.88,0,61.56,442.79,1675.41,1884.31
0.89,0,62.31,894.93,1694.87,3550.81
0.9,0,59.4,1106.69,1664.1,2897.16
0.91,0,58.03,290.56,1661.59,2025.39
0.92,0,60.33,116.35,1674.01,2242.4
0.93,0,61.84,1619.43,1704.43,3494.87
0.94,0,65.4,1614.77,2635.4,3729.55
0.95,0,66.12,1615.9,2661.39,3851.91
0.96,0,65.79,1635.17,2419.53,3675.65
0.97,0,65.07,1585.08,2535.69,3939.77
0.98,0,0,0,0,0
0.99,0,0,0,0,0
1,0,0,0,0,0
