time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1664.34,2488.58,3454.02
0.04,0,65.45,955.6,2225.17,3088.06
0.05,0,63.34,1708.66,2609.74,3570.87
0.06,0,62.92,1465.27,2181.23,3481.62
0.07,0,60.01,1762.06,3133.05,3566.31
0.08,0,58.5,1672.24,2701.83,3432.15
0.09,0,62.74,1942.67,3459.19,4279.85
0.1,0,65.23,1812.43,3499.89,4041.59
0.11,0,65.07,1606.17,3172.91,3909.81
0.12,0,62.17,1667.65,2975.94,3416.09
0.13,55.59,59.37,1571.82,2643.03,3598.34
0.14,55.47,59.53,1929.69,3032.38,3798.72
0.15,0,63.68,2049.88,3349.02,3922.63
0.16,143.73,71.34,376.88,1916.28,2780.04
0.17,140.61,76.85,433.63,1896.91,2413.51
0.18,137.37,78.85,426.56,1995.27,2444
0.19,136.7,79.22,410.45,2073.74,2451.71
0.2,136.17,78.76,415.36,2128.95,2480.47
0.21,135.64,76.78,400.86,2218.32,2563.47
0.22,135.36,74.93,364.61,2197.5,2340.33
0.23,132.16,74.36,347.5,1897.11,2300.57
0.24,129.76,74.08,353.14,1823.77,2240.25
0.25,129.14,73.5,268.9,2032.42,2417.58
0.26,128.12,72.61,268.78,2027.87,2530.46
0.27,129.14,70.48,326.89,2151.08,2370.31
0.28,0,67.69,370.37,1959.65,2293.04
0.29,0,65.41,376.86,2132.78,2636.97
0.3,0,65.01,561.34,2445.58,2579.05
0.31,0,63.82,503.25,2485.86,2820.55
0.32,136.27,64.57,370.54,2471.41,2727.17
0.33,136.17,70.47,353.08,2258.1,2603.14
0.34,135.93,75.15,413.74,2214.04,2540.35
0.35,131.93,75.75,416.97,2225.65,2546.64
0.36,128.52,74.62,409.89,2153.53,2549.15
0.37,127.92,74.26,396.6,2164.53,2535.86
0.38,126.37,73.74,391.46,2230.19,2522.71
0.39,123.96,73.4,370.55,2225.77,2594.64
0.4,122.15,73.27,301.42,2235.46,2625.67
0.41,121.26,72.8,1129.6,2240.19,2859.47
0.42,120.36,72.59,810.27,2207.36,2682
0.43,118.43,72.53,274.87,1550.44,2188.86
0.44,115.69,72.47,199.84,1417.03,2151.28
0.45,112.35,72.03,689.86,1694.84,2689.02
0.46,110.16,71.24,463.33,1825.17,2757.08
0.47,107.18,72.04,305.45,2166.1,2721.19
0.48,0,73.07,361.14,2175.25,2539.29
0.49,0,73.14,494.28,2062.34,2375.89
0.5,0,73.08,590.84,1935.95,2394.64
0.51,0,72.6,644.15,1859.32,2392.37
0.52,0,71.99,591.69,1822.28,2378.49
0.53,0,72.23,649.2,1785.32,2422.12
0.54,90.75,73.35,701,1741.6,2422.09
0.55,90.78,73.68,712.76,1719.88,2424.25
0.56,92.36,73.82,761.91,1700.71,2462.34
0.57,93.78,74.15,796.4,1703.76,2445.59
0.58,93.89,74.78,820.52,1629.83,2445.09
0.59,94,75.38,772.69,1535.56,2434.32
0.6,94.26,75.84,773.58,1479.12,2445.92
0.61,94.69,76.47,738.43,1435.45,2433.5
0.62,95.19,76.88,703.95,1356.24,2417.28
0.63,95.76,76.73,649.31,1273.95,2422.91
0.64,96.38,76.68,635.47,1257.78,2438.53
0.65,97.04,76.5,645.46,1233.8,2472.91
0.66,96.45,75.05,690.54,1082.63,2541.09
0.67,0,73.46,835.73,1832.21,2919.81
0.68,0,71.52,934.64,2595.36,3263.01
0.69,0,68.55,800.09,1784.86,3356.34
0.7,0,68.6,534.94,1204.31,2651.74
0.71,0,66.91,540.18,1230.33,2615.34
0.72,0,64.42,615.67,1294.85,2571.62
0.73,0,64.54,590.01,1362.57,2608.8
0.74,0,64.94,525.52,1306.18,2586.02
0.75,0,66.77,517,1056.27,2644.78
0.76,0,67.96,453.01,1144.15,2700.39
0.77,0,68.85,496.85,686.15,2657.55
0.78,0,68.74,597.38,839.95,2633.01
0.79,85.79,69.05,646.66,976.19,2645.12
0.8,85.66,71.12,594.92,1105.51,2625.5
0.81,85.47,72.2,642.83,1150.27,2643.75
0.82,84.69,72.88,663.61,1232.64,2669.86
0.83,83.93,73.49,681.65,1288.79,2667.54
