time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1387.58,2738.2,4097.75
0.04,0,59.72,632.27,1824.58,3058.99
0.05,0,59.73,653.83,1831.47,3069.16
0.06,0,61.4,1773.93,2586.56,3882.99
0.07,0,61.37,1841.35,2855.12,4288.22
0.08,0,61.24,521.89,2002.5,3244.44
0.09,0,63.43,1325.52,2647.26,3864.59
0.1,0,65.6,589.92,2137.03,3445.54
0.11,0,65.19,1744.89,3083.59,4250.06
0.12,0,63.45,1607.24,2839.7,4049.35
0.13,0,61.7,1720.11,2887.15,4398.73
0.14,0,60.94,534.1,2013.95,3075.1
0.15,0,59.9,1799.19,3137.1,4102.83
0.16,0,57.67,166.89,1644.23,2813.52
0.17,0,58.97,175.01,1579.62,2781.54
0.18,0,59.46,512.1,1937.26,3315.07
0.19,0,62.81,163.03,1579.02,2699.8
0.2,0,67.72,548.09,2263.32,3412.73
0.21,0,68.6,536.59,2149.35,3241.98
0.22,0,66.38,2072.31,2603.08,4075.74
0.23,0,65.06,1524.51,3287.64,4005.32
0.24,0,67.09,1974.73,3170.02,4255.04
0.25,0,66.92,1486.93,2929.12,3885.2
0.26,0,62.39,529.48,1867.18,3041.41
0.27,0,60.18,923.28,2452.77,3754.52
0.28,0,61.82,740.67,2243.92,3358.15
0.29,0,65.26,1717.83,2730.84,3766.3
0.3,0,68.23,1771.38,2471.48,3639.17
0.31,0,66.73,1695.19,2902.48,3979.83
0.32,0,66.98,1033.28,2424.86,3279.07
0.33,0,74.45,655.33,1174.3,2421.71
0.34,0,77.13,590.12,1326.11,2470.93
0.35,0,75.35,448.88,1360.96,2456.67
0.36,0,71.18,308.67,1174.63,2503.1
0.37,0,66.41,456.97,1226.36,2521.85
0.38,0,64.49,468.79,1236.55,2485.25
0.39,0,63.7,506.39,1292.47,2463.88
0.4,0,61.6,449.29,1224.28,2494.22
0.41,0,64.42,599.41,1815.03,2939.53
0.42,0,69.92,360.04,1820.98,3125.3
0.43,0,71.51,1508.94,2791.43,3305.2
0.44,0,68.35,1976.63,2060.16,3055.02
0.45,152.5,69.23,2137.78,2416.6,3024.52
0.46,152.73,76.28,253.39,2271.82,2901.28
0.47,153.84,79.87,287.19,2317.6,2943.2
0.48,157.42,81.54,313.69,2336.46,3134.63
0.49,160.43,83.07,320.9,2352.06,3125
0.5,165.52,83.56,324.99,2379.93,3160.98
0.51,166.6,82.61,331.15,2391.92,3138.64
0.52,165.79,81.41,332.17,2421.68,3072.53
0.53,164.18,80.32,329.43,2425.77,3055.9
0.54,162.45,78.73,319.88,2446.06,3148.69
0.55,160.96,75.99,311.88,2344.38,3137.29
0.56,160.9,74.6,251.56,2345.61,3053.38
0.57,0,75.74,329.81,2291.3,3184.42
0.58,0,75.55,348.48,2264.62,3269.15
0.59,0,74.89,329.57,2211.35,3382.02
0.6,0,74.76,332.03,2180.12,3221.71
0.61,0,73.82,318.33,2121.64,3459.16
0.62,0,72.77,1540.73,2943.95,4156.69
0.63,0,72.65,622.94,2243.2,3536.49
0.64,164.85,75.58,338.09,1852.93,3038
0.65,156.29,78.93,371.16,1798.79,2856.63
0.66,153.13,78.89,368.86,1810.09,2893.69
0.67,151.43,75.65,300.98,1841.12,2859.72
0.68,0,71.26,1838.91,2801.68,3958.1
0.69,0,68.2,691.18,2274.46,3386.02
0.7,0,67.32,1953.45,2731.26,3843.3
0.71,356.29,66.79,1752.9,2815.7,3371.06
0.72,352.61,65.92,1953.67,2248.89,3492.01
0.73,354.25,64.98,688.45,2032.13,2966.13
0.74,380.55,64.64,275.91,1816.16,2854.08
0.75,0,66.78,1529.84,2566.92,3117.41
0.76,0,69.15,882.65,2492.08,3160.33
0.77,0,69.59,1589.55,2937.12,3229.42
0.78,0,70.25,1876.07,3081.18,3382.27
0.79,0,70.29,2021.03,2963.97,3274.03
0.8,166.7,74.65,279.83,2341.15,3157.85
0.81,166.22,81.19,363.39,2221.8,3083.82
0.82,161.93,84.6,448.45,2297.99,3132.25
0.83,160.25,86.87,472.95,2250.08,3090.09
0.84,157.17,88.37,474.56,2249.64,3025.54
