time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,413.3,2018.64,3014.38
0.04,0,61.92,677.84,2421.54,3590.9
0.05,0,61.52,1803.35,2878.62,3950.4
0.06,0,58.23,504.66,2206.5,2942.19
0.07,0,58.25,134.15,2086.43,3173.16
0.08,0,61.16,1776.18,2845.49,4163.67
0.09,0,61.57,114.77,1880.35,2894.12
0.1,0,59.23,271.9,2150.39,3501.93
0.11,0,58.82,143.23,2062.71,3281.6
0.12,470.57,62.01,1674.28,2839.29,4202.15
0.13,465.18,64.27,1774.56,3015.47,3093.69
0.14,458.2,66.08,1454.59,2589.47,3140.67
0.15,456.44,65.44,675.35,2035.68,3101.6
0.16,459.51,65.49,1692.79,2749.85,3606.23
0.17,0,66.67,1819.3,2778.78,3337.92
0.18,194.01,70.52,710.57,1919.11,2666.6
0.19,195.36,76.95,493.32,1876.49,2673.87
0.2,199.01,80.09,570.36,1778.37,2582.67
0.21,204.84,81.54,700.17,1772.54,2872.04
0.22,208.6,82.96,795.62,1719.56,2624.35
0.23,209.94,84.42,878.34,1674.51,2590.45
0.24,210.03,85.52,896.23,1658.38,2660.6
0.25,208.98,86.14,900.01,1644.9,2695.97
0.26,206.69,86.54,904.05,1617.88,2674.91
0.27,202.88,87.14,877.54,1606.86,2714.46
0.28,197.76,88.02,825.79,1603.93,2768.35
0.29,191.5,88.69,788.68,1597.72,2729.45
0.3,0,88.76,780.11,1620.2,2727.27
0.31,0,88.29,780.82,1599.28,2674.27
0.32,0,86.93,822.57,1604.66,2729.47
0.33,0,84.79,818.92,1639.62,2685.75
0.34,0,83.98,770.14,1699.84,2680.86
0.35,0,81.71,760.27,1670.56,2783.3
0.36,0,77.73,770.26,1703.08,2753.64
0.37,0,74.35,740.02,1703.5,2872.25
0.38,0,71.87,762.52,1618.98,2803.74
0.39,0,70.65,775.72,1578.35,2693.11
0.4,0,69.54,847.62,1587.08,2761.33
0.41,0,68.15,826.73,1608.67,2696.77
0.42,0,67.61,858.8,1668.19,2737.11
0.43,0,68.24,912.4,2338.93,3205.47
0.44,0,69.92,953.94,2070.09,3126.74
0.45,0,70.36,910.82,2363.8,3098.23
0.46,0,68.2,1002.6,2385.88,2941.82
0.47,0,67.06,962.75,1979.01,2915.22
0.48,0,67.61,1115.21,1999.5,2797.83
0.49,0,70.14,1131.82,2555.58,3016.13
0.5,0,72.59,1109.41,2524.53,2912.44
0.51,0,72.21,912.94,2975.03,3295.66
0.52,0,68.54,1139.07,3188.48,3886.73
0.53,0,66.1,1039.5,2201.32,3326.94
0.54,0,67.22,1242.18,2986,4265.83
0.55,0,68.63,1496.09,3006.68,4343.79
0.56,0,68.78,1567.47,2949.16,4237.63
0.57,0,68.84,1807.21,3747.2,4294.38
0.58,0,69.41,1655.69,3059.17,4241.43
0.59,0,69.88,1663.06,3309.25,4479.72
0.6,0,70.13,1765.23,3332.62,4656.19
0.61,0,70.14,1690.82,2842.04,4283.52
0.62,164.01,73.86,642.34,1942.45,3084.58
0.63,163.68,79.28,465.28,1512.41,2930.24
0.64,162.85,81.58,502.9,1544.44,2957.24
0.65,161.31,82.19,509.77,1545.94,2880.92
0.66,159.56,81.13,516.71,1450.55,2657.26
0.67,158.76,78.67,293.06,1201.82,2396.47
0.68,159.28,77.98,933.8,2415.57,3585.46
0.69,159.91,78.83,377.18,1710.32,2538.85
0.7,160.41,79.33,359.41,1713.51,2599.06
0.71,160.89,79.43,376.15,1803.75,2597.25
0.72,161.24,79.56,405.51,2235.4,2740.11
0.73,161.66,79.48,437.07,2241.63,2996.39
0.74,161.93,79.15,414.26,2210.1,2975.63
0.75,161.06,78.58,396.78,1782.38,2965.9
0.76,158.74,76.89,373.64,1697.8,2892.64
0.77,155.84,73.79,307.97,1710.51,2970.93
0.78,0,70.21,386.87,1773.11,3383.03
0.79,0,68.24,420.62,1927.48,3539.92
0.8,0,67.89,449.26,2012.15,3679.09
0.81,0,68.62,377.95,1947.2,3529.92
0.82,0,69.14,1555.88,2971.68,4114.96
0.83,159.47,70.26,319.14,1942.22,3080.49
0.84,160.15,73.45,332.82,2006.63,2968.63
