time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,59.3,148.87,1862.1,2937.03
0.04,0,57.67,150.94,2062.11,2907.98
0.05,0,56.1,130.1,1915.52,2646.89
0.06,0,59.34,847.04,2070.97,3220.01
0.07,0,60.98,1792.54,2808.11,3745.33
0.08,0,59.67,1817.78,3044.75,4143.63
0.09,0,59.91,1726.62,2652.06,3485.6
0.1,0,60.52,1608.76,2776.66,3408.87
0.11,0,61.57,1787.02,2766.6,3531.15
0.12,0,60.31,1923.89,2929.15,4110.22
0.13,0,57.04,1893.06,2935.93,4064.69
0.14,0,59.57,1796.68,2916.62,4275.08
0.15,0,63.09,1784.4,2934,3377.93
0.16,0,62.39,1807.62,2996.72,4027.55
0.17,0,59.96,1827.35,2860.84,3858.46
0.18,0,59.31,1788.59,2537.55,3139.29
0.19,0,59.12,1780.65,2903.05,3356.56
0.2,0,61.34,1072.7,2454.69,3567.76
0.21,175.67,73.38,490.82,1763.11,2996.06
0.22,175.94,82.17,520.61,1735.71,2554
0.23,176.06,86.5,557.21,1760.22,2644.84
0.24,175.47,87.85,605.83,1786.94,2715.01
0.25,174.88,87.71,668.11,1834.57,2688.76
0.26,175.23,87.93,658.81,1882.4,2773.87
0.27,176.57,88.28,671.07,1903.1,2813.86
0.28,178.07,88.4,691.39,1909.36,2801.15
0.29,179.11,88.41,705.76,1916.26,2802.92
0.3,179.43,88.22,702.9,1919.87,2798.71
0.31,178.91,88.08,693.37,1913.77,2789.33
0.32,177.77,88.19,688.26,1907.61,2768.55
0.33,176.22,88.37,680.08,1893.67,2753.43
0.34,173.96,88.49,663.9,1877.16,2719.55
0.35,171.17,88.68,661.36,1845.6,2722.38
0.36,168.59,88.87,674.42,1809.09,2639.38
0.37,166.47,89.21,648.34,1779.64,2464.89
0.38,164.29,89.16,633.16,1752.27,2354.45
0.39,161.18,88.78,629.35,1733.1,2382.56
0.4,157.5,88.47,634.12,1682.47,2290.93
0.41,153.97,88,697.55,1707.2,2080.57
0.42,150.95,88.16,684.32,1736.57,2401.17
0.43,0,88.01,645.67,1699.98,2077.94
0.44,0,87.34,613.67,1632.4,1858.41
0.45,0,86.66,573.61,1669.63,1826.21
0.46,0,86.25,555.9,1701.35,1819.34
0.47,0,85.78,552.39,1631.13,1908.07
0.48,0,84.48,585.49,1677.64,2006.31
0.49,0,82.77,573.93,1671.25,2112.8
0.5,0,80.44,598.03,1747.02,2237.74
0.51,85.15,78.53,587.03,1758.08,2549.1
0.52,85.11,77.64,534.06,1744.91,3011.41
0.53,84.97,75.83,536.25,1737.19,2657.41
0.54,84.96,73.42,513.61,1722.67,2747.24
0.55,85.6,72.55,475.04,1641.27,2798.35
0.56,81.83,72.47,530.78,1571.24,2736.66
0.57,77.76,72.46,491.66,1611.92,2851.4
0.58,0,72.33,417.8,1630.15,2762.67
0.59,0,71,407.64,1612.53,2698.61
0.6,0,71.8,307.85,1544.33,2574.46
0.61,0,72.16,345.88,1696.48,3183.53
0.62,0,69.79,467.97,1742.76,3394.09
0.63,0,68.19,551.39,1879.99,3210.63
0.64,0,68.22,1090.87,2695.19,3995.22
0.65,0,68.65,1820.49,3617.27,4574.12
0.66,0,71.26,1781.58,3473.06,4354.14
0.67,0,72.99,1791.13,3414.6,4275.02
0.68,0,71.06,1805.63,3283.4,4140.18
0.69,0,66.95,1103.57,2463.73,3674.29
0.7,0,63.85,391.52,1731.64,3262.52
0.71,0,65.72,241.87,1691.54,3416.13
0.72,0,67.99,1760.25,3795.88,4060.03
0.73,0,67.33,1209.14,2664.38,4274.64
0.74,0,65.98,744.18,1549.92,3259.98
0.75,0,70.2,666.1,950.97,2986.17
0.76,0,75.49,511.47,655.54,2499.48
0.77,0,76.16,505.35,817.58,2512.05
0.78,0,73.6,539.55,1568.95,3313.5
0.79,0,72.87,637.02,2588.9,3608.66
0.8,0,72.72,625.47,1665.8,3088.78
0.81,0,71.69,624.36,1223.8,2928.32
0.82,0,70.11,621.61,1234.72,2566.71
0.83,0,70.03,622.19,1536.66,2368.75
0.84,0,71.56,655.6,1600.55,2396.18
0.85,0,69.32,592.44,1608.23,2460.33
