time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,59.24,430.58,2121.02,3405.61
0.04,0,57.91,580.83,2027.89,3376.98
0.05,0,59.13,735,2041.59,2901.39
0.06,0,60.27,2019.39,3028.93,4218.87
0.07,0,59.14,1722.92,3035.69,4053.07
0.08,0,55.84,216.91,1802.07,2453.08
0.09,0,55.44,200.67,1881.43,2918.33
0.1,0,58.87,172.17,1792.68,3087.61
0.11,0,62.9,81.76,1756.25,3027.15
0.12,0,66.08,1747.93,3131.7,4153.17
0.13,0,67.62,1797.95,2810.66,4179.96
0.14,0,66.77,505.83,2016.83,3270.54
0.15,0,63.14,1502.31,2845.09,4226.04
0.16,0,59.94,1774.56,3103.45,4027.4
0.17,0,63.19,870.03,2158.91,3274.61
0.18,0,67.76,605.65,1991.43,3185.85
0.19,0,76.47,394.51,2191.58,3225.71
0.2,135.68,83.36,414.8,2210.95,3111.35
0.21,139.88,86.28,479.3,2172.6,3022.06
0.22,140.48,87.9,566.29,2110.01,2888.57
0.23,139.67,89.56,605.28,2036.22,2941.68
0.24,140.07,90.43,656.85,1955.54,2852.31
0.25,141.31,90.85,692.49,1930.64,2878.25
0.26,143.25,91.18,708.41,1925.58,2952.66
0.27,144.91,91.23,706.31,1905.28,2951.35
0.28,145.57,90.57,687.41,1888.83,2967.81
0.29,145.33,88.28,657.63,1884.85,2983.39
0.3,144.44,83,641.46,1872.97,2651.56
0.31,143.83,75.42,600.93,1841.2,2671.67
0.32,143.67,70.89,639.3,1857.8,2640.83
0.33,143.93,70.85,643.67,1928.92,2575.93
0.34,144.3,72.69,594.69,1996.99,2823.37
0.35,144.71,72.55,636.51,1953.83,2925.2
0.36,145.07,71.18,684.71,1988.89,2812.85
0.37,145.32,69.11,652.11,1900.97,2665.66
0.38,0,67.14,628.83,1807.45,2556.97
0.39,0,66.37,557.89,1901.44,2770.38
0.4,0,65.86,652.04,1887.76,2884.72
0.41,0,64.29,684.38,1905.91,2797.12
0.42,0,63.5,684.25,1924.18,2847.19
0.43,0,65.6,747.69,1780.89,2751.95
0.44,0,68.28,772.86,1717.89,2790.11
0.45,0,68.91,658.63,1718.93,2908.01
0.46,0,66.97,1186.84,1749.9,3300.23
0.47,0,64.04,1045.23,1739.3,2633.16
0.48,0,68.92,872.14,1704.8,2592.68
0.49,142.45,78.04,578.34,1056.41,2362.51
0.5,138.55,83.03,538.35,928.94,2622.78
0.51,132.96,85.18,685.36,803.58,2802.77
0.52,128.38,86.43,324.84,701.97,2874.95
0.53,125.89,87.7,522.94,622.39,2939.81
0.54,124.55,88.05,607.98,704.64,2976.19
0.55,123.48,87.99,567.3,1008.2,2961.4
0.56,122.91,88.01,540.96,1252.7,2975.87
0.57,122.71,87.82,558.19,1166.17,2979.11
0.58,122.39,86.78,587.66,964.65,3022.59
0.59,121.69,85.46,591.23,656.63,3091.11
0.6,120.69,84.55,580.5,2771.17,3429.61
0.61,119.87,83.42,611.53,3060.37,3366.19
0.62,119.45,81.62,601.31,3043.82,3429.63
0.63,109.02,79.25,511.99,997.16,3095.98
0.64,102.41,76.11,387.43,678.84,3072.85
0.65,100.79,73.66,446.03,786.12,3028.86
0.66,0,71.57,585.93,1672.01,3261.64
0.67,0,69.99,604.45,1780.84,3339.95
0.68,0,70.81,505.34,1699.4,3440.08
0.69,0,71.41,420.96,1853.8,3499.46
0.7,0,69.71,454.16,1850.78,3539.23
0.71,0,67.74,554.81,1811.24,3409.64
0.72,0,66.81,548.72,1749.85,3317.94
0.73,0,65.16,619.44,1898.89,3157.09
0.74,0,65.26,1632.55,2977.55,4148.4
0.75,449.46,65.35,645.54,2101.88,3265.4
0.76,449.45,63.94,412.52,1897.94,3061.59
0.77,450.88,62.37,454.15,1979.13,3003.1
0.78,0,60.96,467.37,1926.33,3037.86
0.79,0,59.58,343.25,1858.14,3014.18
0.8,0,59.04,221.67,1934.14,3025.68
0.81,0,59.1,1882.79,3093.28,4504.43
0.82,0,61.43,1946.87,2799.2,3123.69
0.83,0,71.72,2046.08,3008.92,3915.15
0.84,155.08,79.21,309.49,2204.37,2757.6
