time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1814.3,2745.65,4040.78
0.04,0,56.65,494.63,1830.25,3095.2
0.05,0,51.72,1479.7,3087.64,3779.25
0.06,0,55.12,316.26,1704.79,2970.44
0.07,0,58.5,1186.35,2434,3736.48
0.08,0,60.79,621.21,2083.83,3296.84
0.09,0,64.17,1209.31,2414.88,3738.62
0.1,0,65.01,1742.03,3047.89,4068.69
0.11,0,67.71,949.5,2174.18,3357.58
0.12,0,73.59,453.96,1770.09,2808.66
0.13,0,73.61,484.65,1647.65,2723.05
0.14,0,70.27,698.87,1480.45,2750.2
0.15,0,67.86,791.36,1398.36,2843.61
0.16,0,67.72,980.74,1255.56,2880.53
0.17,0,68.95,288.38,1098.94,2953.71
0.18,0,70.21,876.11,984.91,2984.38
0.19,217.9,77.06,893.62,2236.91,3551.36
0.2,218.57,83.72,384.68,967.53,3082.96
0.21,220.44,86.67,432.22,1005.82,3114.9
0.22,221.45,88.31,476.55,987.36,3123.64
0.23,220.95,89.45,479.63,1318.91,3065.1
0.24,219.49,89.54,446.18,1350.96,3062.3
0.25,218.03,89.02,435.51,1162.86,3082.84
0.26,217.46,88.36,444.77,1107.49,3158.8
0.27,218.26,87.84,478.12,1529.17,3187.8
0.28,220.82,87.96,460.39,1044.12,3182.35
0.29,224.65,88.51,448.37,1389,3135.31
0.3,226.92,89.49,468.14,1430.25,3076.57
0.31,226.82,90.55,485.4,1635.81,3096.7
0.32,226.05,90.86,470.26,1652.4,3045.76
0.33,225.07,90.14,465.25,1634.55,3022.72
0.34,222.92,88.8,445.33,1752.61,3006.04
0.35,220.75,88.09,421.51,1877.1,2942.74
0.36,218.99,88.02,415.33,2044.68,2900.32
0.37,216.95,87.5,409.91,2013.02,2795.05
0.38,214.45,86.42,355.74,1825.24,2767.01
0.39,212.16,85.13,402.5,2254.84,2688.11
0.4,209.64,82.94,590.49,2149.96,2682.95
0.41,205.84,81.08,570.99,2380.88,2847.95
0.42,202.07,81.32,462.08,1644.43,2581.04
0.43,199.76,83.48,420.48,892.96,2357.98
0.44,198.3,85.48,385.96,1633.83,2791.75
0.45,196.06,86.22,389.23,2376.12,2971.39
0.46,192.78,86.01,420.73,2349.35,2951.05
0.47,190.39,86.08,380.62,2346.52,3086.66
0.48,189.33,86.48,330.42,2374.6,3260.54
0.49,187.87,85.62,331.12,2360.38,3283.6
0.5,178.9,83.59,368.49,2297.75,3240.9
0.51,176.03,81.62,428.15,2211.25,3060.92
0.52,175.03,80.65,505.22,2047.27,2992.31
0.53,172.9,81.5,556.37,1914.06,2922.35
0.54,170,83.47,550.82,1817.94,2626.86
0.55,167.69,85.02,523.64,1729.06,2350.07
0.56,166.35,85.86,524.09,1701.32,2074.22
0.57,165.91,86.54,525.21,1674.72,2127.29
0.58,165.78,86.95,506.44,1666.99,2195.16
0.59,165.46,87.17,505.27,1682.76,2275.89
0.6,164.99,87.35,502.49,1641.88,2339.04
0.61,164.25,87.4,488.24,1598.69,2612.61
0.62,162.55,86.82,469.88,1578.09,3141.06
0.63,160.2,85.53,474.7,1526.85,3074.96
0.64,158.49,84.06,475.42,1490.3,3068.2
0.65,157.96,81.95,479.12,1455.17,3015.13
0.66,133.24,80.4,448.03,1482.7,3001.39
0.67,126.88,79.74,421.38,1449.3,3004.55
0.68,126.3,79.47,400.03,1406.9,3066.03
0.69,125.77,79.62,408.09,1313.51,3096.9
0.7,126.36,81.32,405.37,1276.89,3125.73
0.71,126.43,83.75,495.33,1142.19,3121.07
0.72,123.56,86.31,523.93,1248.45,3113.65
0.73,121.68,88.04,547.77,1327.22,3105.53
0.74,119.2,88.8,578.54,1416.39,3097.24
0.75,117.53,89.02,599.71,1474.73,3063.17
0.76,115.37,88.91,613.03,1537.55,3042.83
0.77,112.34,88.2,630.19,1569.16,2993.34
0.78,109.79,87.25,646.92,1605.85,2989.34
0.79,0,86.68,644.5,1653.03,3003.22
0.8,0,85.63,669.96,1689.63,3124.88
0.81,0,84.11,654.38,1726.34,3015.88
0.82,0,82.71,640.27,1772.04,2965.15
0.83,0,81.8,641.16,1810.64,2988.9
