time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1524.57,2841.9,3825.24
0.04,0,58.71,1689.29,3073.62,3589.84
0.05,0,55.99,173.6,1777.32,2892.63
0.06,0,57.75,136.26,1806.76,2753.95
0.07,0,59.77,1890.13,2801.33,4055.28
0.08,0,59.9,159.81,2042.13,2710.52
0.09,0,60.41,1576.24,2461.69,3633.11
0.1,0,59.34,2105.07,3249.07,4089.1
0.11,0,59.31,2101.18,3163.07,4465.2
0.12,0,61.93,579.6,2322.56,3611.08
0.13,0,63.13,126.4,1832.97,2970.09
0.14,0,63.51,107.48,1865.49,3040.9
0.15,0,63.72,807.56,2467.48,3586.23
0.16,482.99,63.04,1069.63,2357.93,3085.27
0.17,481.85,65.35,1080.84,2472.36,2983.56
0.18,481.25,67.89,639.36,2358.99,2659.76
0.19,0,69.48,574.31,2402.4,2685.47
0.2,0,68.22,545.91,2388.8,2849.6
0.21,0,66.43,402.08,2309.32,2792.71
0.22,0,67.36,509.84,2305.32,2670.94
0.23,0,69.21,589.26,2015.95,2611.44
0.24,0,74.66,761.88,2146.96,2652.04
0.25,0,82.19,632.14,1742.27,2377.28
0.26,167.8,85.87,649.39,1725.14,2340.16
0.27,167.86,86.23,629.94,1656.18,2295.65
0.28,168.36,84.99,602.04,1642.23,2305.67
0.29,168.15,83.47,556.44,1670.42,2372.86
0.3,166.43,81.03,520.18,1738.09,2469.18
0.31,165.74,75.83,538.17,1633.22,2474.99
0.32,167.7,70.82,555.29,1802.13,2168.48
0.33,168.2,68.53,548.42,1750.3,2262.35
0.34,0,68.24,511.79,1650.95,2424.25
0.35,364.27,69.64,449.12,1612.29,2468.53
0.36,396.83,69.83,442.95,1703.29,2799.03
0.37,402.49,68.62,506.97,1910.72,2980.61
0.38,0,68.43,530,2402.53,3351.69
0.39,0,68.28,582.2,2239.1,3365.58
0.4,0,68.62,430.34,2114.58,3180.6
0.41,0,70.23,666.52,2432.8,3624.16
0.42,0,70.23,712.68,2874.9,3809.68
0.43,483.77,69.25,741.53,2494.15,3669.07
0.44,485.31,68.87,533.33,2130.66,3596.29
0.45,487.07,67.26,534.06,2026.94,3386.75
0.46,487.35,64.61,541.36,2080.31,3285.12
0.47,483.23,64.28,459.79,2163.95,3539.49
0.48,481.54,63.72,521.99,1950.8,3055.78
0.49,484.04,62.4,187.65,1818.84,2920.33
0.5,484.99,61.85,750.43,2180.91,3562.1
0.51,0,66.11,534.38,2085.4,2915.77
0.52,159.73,75.21,451.86,1323.98,2834.78
0.53,157.47,79.58,572.12,1391.58,2752.24
0.54,153.6,80.44,634.21,1333.57,2521.67
0.55,149.28,80.27,638.36,1318.15,2587.51
0.56,145.62,79.11,611.05,1244.04,2623.58
0.57,143.44,77.13,592.76,1170.93,2342.83
0.58,141.47,76.03,415.87,1293.83,2479.68
0.59,138.02,76.24,344.86,1331.86,2503.4
0.6,136.04,76.58,269.18,1017.26,2508.04
0.61,134.41,76.72,316.24,1344.41,2507.21
0.62,132.53,76.74,342.9,1252.27,2567.01
0.63,130.13,76.76,358.4,1300.81,2582.77
0.64,128.09,76.46,462.42,1866.21,2566.35
0.65,126.07,76.36,593.51,1935.73,2561.89
0.66,123.69,76.91,238.42,1414.72,2587.12
0.67,121.19,77.45,241.84,1172.97,2560.63
0.68,118.33,77.56,247.8,1324.13,2435.8
0.69,114.81,76.65,260.63,1328.69,2403.98
0.7,111.57,74.7,298.59,1413.69,2460.5
0.71,109.66,72.58,326.26,1495.06,2502.78
0.72,108.9,71.4,304.95,1646,2583.02
0.73,110.42,71.17,278.79,1586.95,2644.37
0.74,111.64,69.72,258.96,1758.33,2744.1
0.75,113.74,67.18,295.3,1886.63,2833.43
0.76,0,66.84,321.33,1908.53,2713.19
0.77,0,68.22,300.35,2183.17,2523.51
0.78,0,68.03,253.64,2098.84,3298.92
0.79,115.98,69.64,275.51,1922.95,2978.42
0.8,118.17,72.48,325.18,1882.35,2664.64
0.81,118.57,75.39,335.23,1912.04,2545.01
0.82,118.89,78,343.31,1947.36,2500.65
0.83,119.57,79.55,338.04,2003.52,2512.66
