time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1747.4,3069.42,3886
0.04,0,66.91,1053.51,2781.15,3194.88
0.05,0,66.76,1776.18,2940.24,4141.74
0.06,0,63.1,140.69,1939.37,2857.29
0.07,0,61.02,150.28,1859.58,2947.1
0.08,0,62.15,1705.4,2886.68,4203.18
0.09,0,60.37,1791.06,2898.06,4019.88
0.1,0,61.72,1817.29,3166.86,3568.19
0.11,0,60.96,99.06,1884.7,3006.86
0.12,0,60.55,2002.65,2562.25,4488.24
0.13,0,62.3,534.14,1936.01,2956.4
0.14,0,70.02,349.12,1915.01,2913.53
0.15,0,78.21,433.92,1867.59,2639.9
0.16,143.97,81.88,466.47,1818.84,2533.8
0.17,143.07,83.03,530.59,1828.84,2347.69
0.18,141.72,84.5,564.83,1780.59,2439.1
0.19,141.21,85.77,590.51,1711.34,2338.32
0.2,141.7,85.99,637.46,1685.49,2307.07
0.21,142.68,86.3,674.89,1648.44,2278.77
0.22,144.2,86.18,691.41,1586.29,2276.93
0.23,145.29,85.52,699.6,1464.65,2291.92
0.24,146.21,84.76,703.98,1378.67,2405.56
0.25,148.02,83.92,692.72,1324.66,2435.59
0.26,151.27,83.63,684.52,1266.47,2453.65
0.27,154.44,83.77,681.73,1159.13,2346.01
0.28,156.73,84.14,704.2,1048.67,2371.24
0.29,158.46,83.93,673.01,1032.59,2287.91
0.3,159.73,82.57,648.09,1091.37,2431.64
0.31,160.25,79.97,590.9,1249.69,2435.32
0.32,160.7,79.02,402.32,1038.13,2506.57
0.33,160.78,78.66,439.29,1246.43,2514.29
0.34,159.68,77.62,451.62,1110,2466.19
0.35,158.18,76.66,351.68,1015.24,2475.41
0.36,155.27,74.89,686.2,1125.65,2483.89
0.37,151.23,73.57,180.48,1196.35,2618.35
0.38,151.28,73.46,915.77,2313.97,3041.81
0.39,154.85,75.51,1046.26,2329.78,3085.94
0.4,156.1,80.3,434.36,1519.28,2567.69
0.41,155.94,82.79,455.98,1397.16,2620.66
0.42,155.14,82.49,452.76,1365.17,2582.49
0.43,153.1,79.64,448.1,1367.52,2705.26
0.44,148.66,75.67,385.1,1345.58,2670.41
0.45,144.77,73.91,388.64,1384.47,2737.04
0.46,143.5,73.41,399.28,1369.33,2627.72
0.47,145.36,73.64,377.42,1379.9,2711.07
0.48,148.59,77.67,410.59,1350.38,2656.47
0.49,150.32,82.22,444.26,1308.04,2665.86
0.5,150.09,84.55,464.48,1313.13,2631.77
0.51,148.25,84.35,475.29,1282.1,2601.71
0.52,145.39,83.45,473.81,1136.49,2428.53
0.53,142.25,82.85,462.05,1076.77,2499.27
0.54,138.41,81.9,443.56,978.86,2514.16
0.55,134.51,81.56,418.03,901.07,2525.28
0.56,131.86,82.35,407.87,864.33,2670.63
0.57,129.95,82.75,404.87,891.28,2754.08
0.58,127.24,81.15,421.99,937.82,2760.49
0.59,123.47,79.07,402.49,866.14,2727.73
0.6,121.41,79.45,405.31,598.02,2720.75
0.61,120.8,80.2,385.98,649,2758.61
0.62,121.41,80.97,391.74,643.57,2759.92
0.63,122.01,82.12,419.23,610.26,2774.35
0.64,122.07,83.28,488.82,627.57,2774.41
0.65,121.78,84.56,516.27,730.98,2780.43
0.66,121.39,85.66,542.16,813.27,2742.01
0.67,120.87,85.97,568.82,852.73,2721.39
0.68,120.13,85.44,585.48,841.44,2703.94
0.69,119.5,85.03,621.62,877.73,2696.89
0.7,119.25,84.96,636.78,967.64,2653.53
0.71,119.16,84.97,662.69,983.96,2579.68
0.72,118.92,84.82,696.29,972.22,2538.25
0.73,118.4,84.76,742.01,955.06,2446.84
0.74,117.73,84.66,729.76,1130.63,2350.73
0.75,116.96,84.75,748.64,1238.26,2319.23
0.76,116.02,84.59,754.53,1304.42,2296.32
0.77,115.29,83.81,727.97,1406.07,2246.63
0.78,115.01,82.98,674.03,1524.06,2204.58
0.79,114.9,82.61,615.29,1628.1,2253.63
0.8,114.55,82.23,594.34,1655.12,2249.43
0.81,114.15,81.41,559.66,1639.73,2281.42
0.82,114.11,80.65,558.76,1685.57,2328.02
0.83,113.75,79.75,545.59,1671.36,2317.42
