time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,65.09,1769.78,2835.97,3962.83
0.04,0,62.77,388.67,2040.12,3149.39
0.05,0,59.92,1519.95,2632,3867.6
0.06,0,59.92,430.21,1977.42,3186.56
0.07,0,61.44,1623.92,2894.98,3501.8
0.08,0,62.54,897,1980.4,3317.45
0.09,0,61.02,1601.39,2912.94,4110.5
0.1,0,58.62,1831.51,2754.77,4301.34
0.11,0,61.19,2252.6,3210.55,4508.26
0.12,0,61.94,2319.14,2833.26,4133.55
0.13,0,60.99,2171.54,2777.02,4307.7
0.14,0,59.66,1780.46,3068.39,3805.97
0.15,0,54.83,289.69,1706.95,2879.78
0.16,0,54.98,202.36,1767.99,2767.01
0.17,0,59.49,1624.94,2736.2,3751.19
0.18,0,62.09,1949.55,2755.04,4027.9
0.19,0,63.73,452.16,2276.45,2949.51
0.2,0,69.92,325.93,2390.87,2900.41
0.21,0,78.19,346.6,2124.05,2743.84
0.22,151.81,82.79,419.68,1974.29,2581.58
0.23,151.96,84.89,476.68,1951.9,2523.86
0.24,152.45,85.14,546.07,1878.41,2437.16
0.25,154.05,84.84,601.07,1810.39,2419.23
0.26,157.04,83.84,625.51,1764.62,2395.87
0.27,160.63,81.22,635.67,1745.78,2421.48
0.28,0,76.42,598.04,1716.85,2416.79
0.29,0,72.62,583.5,1764.27,2486.45
0.3,0,70.74,598.98,1911.73,2589.2
0.31,0,68.58,592.17,1838.13,2487.94
0.32,0,68.95,586.09,1788.71,2397.2
0.33,0,68.3,563.15,1849.97,2357.25
0.34,0,66.11,489.11,1708.29,2336.73
0.35,0,63.92,489.86,1682.62,2368.93
0.36,0,62.32,552.62,1905.14,2822.98
0.37,0,62.67,953.12,2213.35,3677.97
0.38,341.46,64.94,534.67,1891.3,3029.63
0.39,346.89,68.59,585.1,1773.56,2452.26
0.4,349.81,69.12,580.23,1793.64,2285.47
0.41,347.41,67.59,518.79,1802.54,2330.87
0.42,339.39,65.64,559.8,1804,2756.05
0.43,0,65.86,497.12,1900.64,3001.09
0.44,0,65.02,412.37,1885.71,2427.55
0.45,0,63.99,497.98,1926.63,2618.31
0.46,0,66.3,1047.88,1975.27,3701.29
0.47,0,68.33,801.99,1229.68,2630.34
0.48,0,67.08,765.29,1184.56,2494.08
0.49,0,63.99,947.22,2222.11,2425.22
0.5,0,61.31,809.68,1583.18,2595.04
0.51,0,59,767.74,1564.63,2681.35
0.52,0,60.95,812.9,1112.94,2733.72
0.53,0,70.89,611.85,1097.97,2814.22
0.54,0,78.02,493.38,692.21,2804.66
0.55,141.35,80.27,443.42,715.54,2713.65
0.56,138.82,79.97,428.98,692.66,2825.99
0.57,134.72,79.23,423.31,661.22,2908.27
0.58,131.94,79.57,424.38,651.64,2958.02
0.59,130.67,79.93,436.02,606.42,2907.47
0.6,130.34,79.27,413.54,632.72,2901.59
0.61,131.07,79.23,408.37,663.72,2980.28
0.62,131.64,80.52,404.52,694.08,2872.98
0.63,130.9,81.03,395.7,728.19,2876.67
0.64,129.11,79.81,399.28,732.94,2973.95
0.65,126.59,76.48,460.52,2631.21,3587.99
0.66,122.26,73.89,562.12,3104.34,3287.29
0.67,120.18,72.35,324.17,658.57,3214.45
0.68,121.59,70.5,387.68,532.65,3031.13
0.69,0,67.51,503.53,2272.73,2947.74
0.7,0,66.15,473.1,2177.03,2975.3
0.71,405.28,65.8,407.93,1835.54,3231.69
0.72,405.75,65.98,402.76,1871.54,2934.14
0.73,406.84,65.59,406.75,2007.73,2813.08
0.74,416.84,65.19,383.86,2050.63,2646.1
0.75,419.13,65.3,381.05,2088.72,2815.04
0.76,414.18,64.66,359.52,1975.9,2895.86
0.77,433.53,65.1,377.17,2124.65,2765.88
0.78,473.4,64.97,337.09,1951.66,2671.04
0.79,0,63.18,295.59,2077.78,2418.18
0.8,0,61.84,562.7,2130.74,3082.03
0.81,0,65.42,118.86,1970.01,2920.45
0.82,0,67.49,113.32,2165.4,2761.98
0.83,0,67.44,1288.82,2260.72,3603.78
0.84,0,65.79,2024.13,2750.85,4434.57
0.85,156.11,70.56,572.63,2125.03,3058.24
