time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1133.62,2479.55,3731.47
0.04,0,60.74,1596.01,2875.02,3969.01
0.05,0,62.85,1921.62,2290.7,3450.52
0.06,0,62.97,533.41,1955.97,3338.49
0.07,0,61.3,1812.12,3015.82,3767.87
0.08,0,60.82,1411.9,2487.5,3629.54
0.09,0,62.16,802.37,2240.16,3319.95
0.1,0,64.08,1495.45,2873.52,4008.64
0.11,0,65.03,1476.1,2830.18,4076.23
0.12,0,63.43,1681.92,2859.76,3852.52
0.13,0,58.77,1650.36,2626.09,3757.36
0.14,0,57.23,1009.41,2508.74,3692.95
0.15,0,60.29,796.09,2159.83,3460.73
0.16,0,60.15,119.91,1974.92,2556.53
0.17,155.47,59.5,826.22,2036.48,3278.92
0.18,152.89,66.95,145.67,1840.52,2584.44
0.19,148.18,72.58,198.08,1402.79,2393.17
0.2,143.06,74.41,234.08,988.65,2432.92
0.21,139.34,75.47,247.04,1465.3,2425.51
0.22,137.25,76.23,254.3,1591.76,2374.46
0.23,136.04,76.79,256.02,1508.17,2379.6
0.24,138.37,77.4,267.68,1461.98,2395
0.25,144.23,78.87,394.65,1348.76,2441.13
0.26,144.72,81.28,599.33,1369.51,2603.29
0.27,144.33,83.1,668.33,1275.04,2629.02
0.28,144.71,84.57,685.31,1174.85,2686.45
0.29,145.3,85.77,679.69,1111.91,2764.8
0.3,146.06,86.05,668.94,995.92,2860.78
0.31,146.94,85.56,631.63,901.44,2845.74
0.32,148.05,84.83,585.77,933.25,2844.51
0.33,149.15,84.12,564.74,883.49,2812.03
0.34,149.65,83.26,531,854.06,2851.55
0.35,149.9,82.56,483.66,953.79,2918.01
0.36,150.23,82.51,473.4,875.71,2773.3
0.37,151.67,82.77,484.6,835.71,2927.39
0.38,153.72,83.52,548.54,861.3,2974.6
0.39,153.91,84.72,596.56,885.5,2950.61
0.4,152.35,85.45,624.71,923.91,2941.26
0.41,149.83,85.24,615.15,919.71,2855.86
0.42,147,84.51,603.2,904.86,2794.29
0.43,144.64,84.2,583.25,901.33,2733.14
0.44,142.5,83.3,610.28,785.46,2754.46
0.45,139.38,81.09,575.86,834.4,2714.1
0.46,135.62,80.13,559.42,777.75,2650.95
0.47,132.81,80.84,480.82,884.36,2636.34
0.48,130.32,81.93,484.46,895.61,2559.29
0.49,127.61,82.43,540.81,902.73,2538.07
0.5,124.38,83.15,593.94,1063.83,2458.16
0.51,120.7,83.55,614.44,1178.47,2419.7
0.52,116.4,83.04,679.66,1309.44,2408.55
0.53,113.8,83.53,753.08,1388.73,2387.15
0.54,112.72,84.41,769.16,1442.46,2324.72
0.55,112.1,84.36,773.31,1506.07,2338.23
0.56,111.46,83.47,769.45,1505.1,2310.94
0.57,110.72,82.38,764.79,1495.17,2304.18
0.58,110.12,81.36,757.77,1456.95,2286.11
0.59,109.55,80.24,761.69,1464.25,2293.97
0.6,108.25,78.62,760.45,1435.38,2345.32
0.61,106.84,77.4,781.75,1457.7,2418.13
0.62,105.96,77.63,803.86,1377.63,2409.01
0.63,105.36,77.17,819.19,1352.35,2459.57
0.64,105.23,75.49,803.09,1261.19,2515.4
0.65,106.58,74.09,735.73,1218.22,2579.7
0.66,108.46,73.28,732.05,1254.05,2614.21
0.67,0,71.64,697.88,1371.14,2347.25
0.68,0,68.82,683.59,1467.84,2714.93
0.69,0,65.18,744.07,1332.39,2389.49
0.7,0,63.76,775.8,1286.67,2452.33
0.71,0,64.18,790.56,1081.63,2303.68
0.72,56.29,64.17,747.35,1432.48,2316.46
0.73,57.06,63.74,637.11,1325.81,2326.27
0.74,57.05,62.9,764.93,1655.96,2919.15
0.75,54.32,61.64,791.02,1557.46,2813.41
0.76,53.23,62.48,808.06,1779.36,2743.24
0.77,0,62.32,796.54,2071.28,2696.67
0.78,0,60.53,786.84,1404.72,2799.74
0.79,0,62.3,560.63,1641.53,2669.85
0.8,0,65.43,920.43,2239.93,3020.16
0.81,0,65.35,956.11,2341.31,2831.26
0.82,0,61.22,851.36,2339.94,3656.75
0.83,0,60.56,842.3,2250.72,3073.6
0.84,0,63.59,709.06,2051.68,2650.09
0.85,0,63.37,676.84,2047.64,3087.93
0.86,457.22,61.33,601.01,1837.53,3201.98
0.87,0,58.24,641.09,1830.35,2901.74
0.88,0,59.47,495.5,1827.6,2808.42
0.89,0,60.02,571.54,1768.33,2723.11
0.9,0,60.37,456.84,1729.68,2854.21
0.91,0,61.05,441.36,1778.01,3064.41
0.92,0,61.31,340.05,1831.41,2620.41
0.93,0,61.62,462.12,1914.95,2565
0.94,0,61.62,331.42,1720.02,3204.98
0.95,0,60.21,1648.21,3093.18,3234.37
0.96,0,59.1,1565.96,2693.22,3533.45
0.97,0,60.66,862.25,2012.29,3172.32
0.98,0,61.39,876.23,1937.51,3235.9
0.99,0,59.65,747.96,2439.03,3066.41
1,0,58.88,620.8,2172.23,3283.95
1.01,0,59.91,861.21,2196.92,3101.94
1.02,0,0,0,0,0
1.03,0,0,0,0,0
1.04,0,0,0,0,0
