time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,60.83,1072.67,2435.99,3667.96
0.04,0,60.15,863.73,2161.35,3189.68
0.05,0,61.66,692.78,2227.17,3220.37
0.06,0,61.81,1661.32,2767.59,3823.82
0.07,0,61.06,812.78,2426.07,3527.49
0.08,0,59.83,1992.58,2951.82,4109.05
0.09,0,59.3,211.61,2084.72,3064.23
0.1,0,60.8,767.31,2301.78,3244.19
0.11,0,60.23,1137.48,2162.65,3187.54
0.12,0,56.73,1004.6,2418.16,3435.2
0.13,0,55.32,1018.62,2412.3,3405.39
0.14,0,60.59,990.12,2340.5,3749.28
0.15,154.89,71.91,352.74,1839.66,2037
0.16,153.75,78.52,449.23,1765.4,2162.42
0.17,152.83,80.56,523.27,1874.8,2349.54
0.18,152.87,80.74,532.37,1947.68,2348.2
0.19,156.81,80.3,488.23,1990.55,2330.18
0.2,159.83,78.58,469.78,2085.28,2179.15
0.21,157.46,76.61,432.51,2000.45,2165.82
0.22,153.99,74.78,427.04,2113.08,2420.5
0.23,151.17,71.67,595.98,1710.42,2744.7
0.24,0,69.11,506.1,1603.44,2506.59
0.25,0,68.42,502.1,1800.15,2118.74
0.26,481.06,66.73,530.11,1967.68,2302.01
0.27,476.92,65.98,498.88,1981.56,2721.48
0.28,472.49,67.84,526.35,2005.97,2819.03
0.29,0,68.2,574.99,2204.84,2766.87
0.3,0,67.39,646.63,2187.33,2714.16
0.31,187.53,71.87,438.21,2353.04,2684.53
0.32,181.16,77.39,357.77,2198.04,2636.03
0.33,174.59,78.62,402.85,2187.7,2686.71
0.34,171.46,77.29,440.53,2230.9,2803.74
0.35,167.82,76.1,495.89,2266.86,2820.34
0.36,164.21,76.75,478.54,2319.31,2559.69
0.37,162.2,77.91,494.87,2228.27,2606.96
0.38,156.02,78.48,530.19,2188.74,2571.08
0.39,150.64,79.77,578.88,2129.68,2447.9
0.4,149.71,81.26,595.52,2077.33,2419.55
0.41,145.17,81.86,624.75,2000.3,2387.95
0.42,138.85,82.34,660.79,1901.39,2323.5
0.43,135.16,82.68,691.41,1779.95,2282.9
0.44,132.82,82.65,721.99,1618.67,2245.96
0.45,130.99,82.78,754.36,1502.14,2285.79
0.46,129.41,83.34,758.63,1396.36,2287.34
0.47,127.9,83.25,753.44,1329.44,2331.42
0.48,126.35,82.08,731.65,1239.12,2391.01
0.49,124.81,79.92,715.13,1179.5,2413.19
0.5,124.65,78.07,700.94,1175.26,2430.38
0.51,0,76.94,729.1,1312.96,2392.17
0.52,0,75.48,714.02,1528.08,2398.63
0.53,0,72.73,589.32,1613.1,2335.99
0.54,0,70.05,737.83,1962.46,2501.15
0.55,0,70.01,655.53,1763.13,2473.07
0.56,0,71.17,649.89,1040.42,2173.79
0.57,0,71.66,551.09,808.85,2186.79
0.58,0,71.34,663.57,1719.97,2835.4
0.59,128.56,70.72,566.4,1390.94,2418.88
0.6,126.27,70.76,393.95,1180.39,2225.1
0.61,122.9,72.04,372.49,1222.53,2340.15
0.62,121.33,73.95,353.23,1397.33,2223.79
0.63,120.95,75.44,372.34,1332.19,2505.27
0.64,119.86,76.36,449.42,1176.44,2537.44
0.65,118.23,77.93,598.81,1238.78,2760.36
0.66,117,79.27,667.43,1338.38,2652.03
0.67,116.13,79.64,687.33,1364.35,2688.79
0.68,115.54,80.23,725.07,1419.19,2576.03
0.69,115.3,80.23,745.77,1467.5,2777.93
0.7,115.27,79.21,746.04,1475.9,2771.25
0.71,115.28,78.9,762.69,1457.12,2602.73
0.72,114.93,79.38,760.01,1487.81,2692.69
0.73,114.12,79.43,770.75,1486.95,2453.02
0.74,113.36,79.15,772.06,1502.89,2444.12
0.75,112.73,77.45,757.69,1540.28,2548.56
0.76,110.44,77.14,734.34,1495.07,2541.78
0.77,108.41,78.21,726.5,1473.5,2581.71
0.78,107.89,77.6,732.38,1410.98,2692.83
0.79,107.35,76.66,732.37,1392.33,2647.86
0.8,106.34,74.99,715.06,1373.23,2597.81
0.81,105.05,74.02,710.46,1305.04,2635.77
0.82,104.06,74.45,687.12,1266.5,2701.53
0.83,103.46,74.77,685.12,1220.88,2629.68
