time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,125.27,2358.56,2594.16
0.04,0,59.64,249.26,1852.49,3196.28
0.05,0,60.17,1977.84,2891.18,4280.93
0.06,0,60.36,236.89,1957.49,3051.07
0.07,0,56.27,527.9,1999.1,3092.98
0.08,0,53.92,592.62,2159.59,3315.64
0.09,0,58.49,513.35,2257.51,3441.59
0.1,0,60.84,2130.73,3098.97,4037.34
0.11,0,60.72,713.45,2212.04,3830.65
0.12,0,59.03,418.17,2553.18,2831.38
0.13,0,59.75,1502.83,2214.28,3833.19
0.14,0,58.81,816.97,2311.14,3407.83
0.15,0,58.97,1901.02,2758.28,3901.27
0.16,0,60.66,1577.38,2655.37,3942.82
0.17,0,58.85,523.09,2059.99,2990.93
0.18,0,59.29,1924.06,3501.31,4041.49
0.19,0,61.49,215.37,2030.12,3236.66
0.2,0,65.79,306.96,1781.35,2970.89
0.21,0,68.54,465.54,1794.53,2930.78
0.22,0,65.87,512.58,1554.2,2685.78
0.23,456.74,62.63,856.79,1590.7,2739.61
0.24,464.38,65.05,799.89,1623.28,2754.41
0.25,0,70.65,593.13,1428.68,2854.8
0.26,153.24,78.8,502.06,1193.57,3056.87
0.27,140.46,83.04,447.41,970.05,2968.1
0.28,134.78,84.34,510.96,910.47,2994.27
0.29,129.7,85.13,594.76,795.28,3013.08
0.3,125.15,86.26,532.48,851.35,3030.14
0.31,122.15,86.38,530.49,804.57,2979.83
0.32,121.17,85.98,525.13,884.37,2981.75
0.33,121.38,86.05,492.96,1068.17,2966.38
0.34,122.58,86.39,498.49,1188.57,2963.74
0.35,122.68,86.47,495.71,1267.99,2970.39
0.36,121.94,86.33,498.98,1374.61,2947.6
0.37,121.94,86.22,491.65,1498.73,2914.73
0.38,122.77,86.11,486.11,1607.02,2940.4
0.39,123.35,85.65,481.4,1749.87,2892.61
0.4,123.64,84.87,468.28,1857.28,2787.46
0.41,123.75,84.11,443.33,2009.9,2767.35
0.42,123.86,83.52,428.26,1829.11,2529.37
0.43,125.23,83,407.29,1843.64,2486.2
0.44,126.45,82.55,382.34,1996.6,2385.99
0.45,126.75,82.14,373.98,2171.31,2386.81
0.46,126.19,82,398.98,2198.72,2396.8
0.47,125.37,82.08,395.08,2275.37,2385.45
0.48,124,82.12,379.81,2278.98,2380.41
0.49,122.87,82.1,365.15,2275.06,2348.33
0.5,121.7,82.08,373.59,2305.48,3326.27
0.51,121.54,82.23,378.85,2235.16,3300.79
0.52,118.81,82.55,404.19,2114.94,3190.76
0.53,118.05,83.12,439.55,1999.15,3041.84
0.54,117.56,83.82,473.68,1892.28,2918.42
0.55,117.18,84.26,474.6,1828.43,2895.02
0.56,117.64,84.48,534.17,1806.72,3361.77
0.57,118.02,84.75,548.55,1743.25,3316.43
0.58,118.07,84.91,492.71,1661.35,3235.05
0.59,118.24,84.79,478.75,1574.06,3128.62
0.6,117.92,84.12,479.53,1432.99,3073.73
0.61,114.59,82.62,463.74,1304.66,3040.15
0.62,110.8,81.69,399.39,1313,3031.49
0.63,111.76,81.68,371.41,1248.89,3064.94
0.64,114.8,81.84,385.14,1330.36,3051.67
0.65,119.88,83.17,471.35,1178.45,3095.71
0.66,124.24,86.2,513.66,1187.09,3100.33
0.67,123.81,88.52,529.19,1299.89,3099.62
0.68,121.63,89.43,568.4,1367.56,3084.91
0.69,121.47,89.74,605.32,1511.54,3034.13
0.7,121.47,89.99,628.47,1582.71,2992.51
0.71,121.63,90.13,648.49,1642.85,2913.66
0.72,121.32,90.06,659.83,1629.47,2903.76
0.73,120.8,89.88,668.44,1657.06,2902.1
0.74,119.76,89.48,675.97,1691.8,2932.49
0.75,117.5,89.04,688.26,1741.98,2967.8
0.76,114.3,88.74,669.64,1764.2,3020.4
0.77,111.81,88.28,655.52,1789.85,2966.78
0.78,109.58,87.47,659.43,1811.71,2925.28
0.79,105.23,86.47,638.14,1840.89,2923.2
0.8,102.75,85.27,632.65,1871.41,2875.28
0.81,100.05,84.67,600.62,1892.1,2853.85
0.82,97.93,84.47,580.84,1945.1,2839.03
0.83,97.07,83.36,546.99,1991.77,2924.73
