time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1736.11,2448.35,3540.72
0.04,0,58.58,1461.35,2846.19,3179.3
0.05,0,58.84,1597.81,2777,4101.79
0.06,0,57.96,1778.95,2443.3,3692.73
0.07,0,56.47,1814.73,2733.64,3565.45
0.08,0,61.05,1774.56,2426.58,3683.49
0.09,0,66.64,1745.97,2576.82,3652.87
0.1,0,66.48,1714.28,2281.01,3712.16
0.11,0,61.52,1791.14,1835.03,3424.14
0.12,0,58.33,659.84,1795.39,2940.04
0.13,0,57.13,1805.05,2878.15,3325.28
0.14,0,61.22,1755.02,2061.46,3205.22
0.15,0,63.83,1386.73,2057.92,3346.04
0.16,0,61.7,1726.29,2825.19,3986.88
0.17,0,59.72,937.41,1789.98,3046.99
0.18,0,61.62,1652.86,2776.36,3195.99
0.19,449.52,62.79,1418.33,2097.73,3234.12
0.2,452.68,62.36,866.92,1749.17,3148.32
0.21,0,57.35,754.85,1683.23,2691.62
0.22,0,56.03,462.47,1691.58,2668.59
0.23,0,56.94,1016.81,1699.38,3191.17
0.24,0,55.06,1189.77,1798.4,3252.45
0.25,0,51.39,1686.71,2458.5,3450.35
0.26,0,53.93,517.8,1925.06,2924
0.27,0,58.56,119.78,1535.2,2747.92
0.28,0,59.32,1495.07,2728.15,3892.78
0.29,0,60.67,1523.96,2614.7,3741.13
0.3,0,72.13,869.6,1590.23,2584.27
0.31,129.39,79.34,653.57,1460.68,2600.67
0.32,128.73,81.74,624.96,1472.84,2525.36
0.33,125.9,81.39,537.52,1511.83,2406.17
0.34,121.43,78.44,460.57,1329.02,2334.73
0.35,0,73.39,493.67,1256.83,2436.23
0.36,0,68.83,513.16,1350.17,2450.67
0.37,0,65.97,551.25,1377.19,2537.15
0.38,0,63.3,508.85,1352.77,2550.06
0.39,0,61.63,508.77,1301.64,2490.33
0.4,0,63.51,522.15,1301.55,2546.12
0.41,0,69.88,471.42,1692.39,3076.11
0.42,0,75.33,356.73,1770.24,2946.91
0.43,134.92,80.59,311.98,2079.17,2697.38
0.44,130.58,83.51,321.67,2253.46,2536.83
0.45,126.66,84.42,307.33,2301.32,2614.56
0.46,121.91,84.65,299.99,2304.5,3012.77
0.47,117.32,84.56,279.66,2333.52,3065.01
0.48,116.4,83.61,262.68,2346.75,2994.79
0.49,110.9,81.26,266.97,2312.81,2993.68
0.5,108.34,77.79,295.59,2298.9,3167.86
0.51,0,73.81,266.4,2308.87,3153.02
0.52,0,72.21,1776.35,2887.94,4110.08
0.53,0,72.18,729,2484,3511.92
0.54,0,71.04,2177.17,3114.76,4499.08
0.55,0,71.1,131.64,2127.65,3091.76
0.56,0,74.15,706.43,2355.59,3426.87
0.57,140.17,77.61,327.23,2018.9,3136.28
0.58,141.27,80.53,353.93,1887.44,2807.22
0.59,140.73,82.22,392.76,1868.74,2744.52
0.6,138.56,81.97,391.9,1835.47,2620.96
0.61,129.15,79.73,359.47,1803.43,2601.69
0.62,0,76.62,374.2,1862.93,2897.58
0.63,0,72.9,396.03,1914.3,3105.03
0.64,0,68.82,1778.75,2956.47,3730.72
0.65,0,67.24,372.6,1907.16,2924.51
0.66,0,66.14,186.88,1827.85,2833.74
0.67,432.56,64.17,422.37,1805.03,2862.27
0.68,405.76,63.22,401.67,1805.89,2778.21
0.69,0,64.79,404.34,1926.57,2933.68
0.7,0,70.19,446.86,1979.16,2991
0.71,0,71.27,830.91,1941.39,3103.53
0.72,0,66.81,684,2167.38,3062.78
0.73,0,65.77,426.57,2167.48,2957.95
0.74,220.94,75.8,379.02,2208.27,2987.61
0.75,212.84,82.56,375,2243.31,2974.46
0.76,208.23,84.68,417.16,2232.5,2918.17
0.77,208.91,84.46,486.8,2278.89,2948.55
0.78,209.22,83.88,525.83,2178.92,2908.14
0.79,207.13,84.36,562.75,2213.92,2923.92
0.8,203.46,84.94,585.68,2252.99,2900.9
0.81,199.41,84.88,544.49,2303.03,2947.93
0.82,189.48,84.61,476.58,2329.3,2921.84
0.83,175.75,84.2,481.41,2367.44,3044.98
0.84,165.52,84.26,461.94,2424.8,3030
0.85,0,84.5,423.22,2521.78,3050.51
