time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1427.69,2690.85,3677.47
0.04,0,66.39,1676.44,2389.47,3757.57
0.05,0,63.45,122.1,2118.16,3433.64
0.06,0,63.21,636.52,2425.9,3980.43
0.07,0,63.51,363.25,2100.36,3474.11
0.08,0,63.11,518.65,2205.05,3280.77
0.09,0,65.48,1432.51,2825.14,4014.12
0.1,0,65.67,115.59,1913.62,3139.1
0.11,0,62.9,150.12,1857.89,2871.45
0.12,0,59.64,136.59,2138.46,3412.99
0.13,0,60.35,1558.06,2674.61,3939.04
0.14,0,62.13,403.14,1920.06,2954.85
0.15,0,61.44,484.23,2149.47,3270.2
0.16,0,59.29,166.56,1906.45,2962.55
0.17,0,57.28,142.01,1570.9,2758.72
0.18,0,62.79,1458.43,2995.39,3532.65
0.19,0,71.29,1471,2904.83,3639.11
0.2,121.15,78.81,891.22,2265.94,3280.14
0.21,123.43,84.65,479.87,1832.4,2741.88
0.22,124.38,87.54,530.06,1846.28,2838.74
0.23,119.68,88.09,591.26,1848.56,2851.66
0.24,117.22,88.07,668.57,1827.07,2769.35
0.25,111.23,87.05,730.67,1798.49,2675.81
0.26,107.19,84.61,751.76,1736.37,2607.57
0.27,108.06,82.16,754.63,1675.24,2594.43
0.28,108.75,81.65,745.58,1606.02,2555.08
0.29,108.61,81.28,765.7,1530.01,2553.51
0.3,108.27,80.82,782.73,1472.74,2578.71
0.31,107.98,80.57,763.35,1419.95,2622.36
0.32,107.52,80.2,780.67,1384.88,2682.07
0.33,107.39,80.13,769.89,1354.52,2698.49
0.34,106.26,80.05,778.42,1339.09,2767.43
0.35,102.6,79.57,748.74,1307.86,2830.95
0.36,100,79.5,715.19,1288.67,2708.9
0.37,99.95,79.53,636.74,1275.6,2610.08
0.38,99.98,79.75,532.1,1267.46,2453.53
0.39,102.64,80.04,390.61,1302.93,2656.19
0.4,106,79.99,368.67,1364.14,2632.87
0.41,107.23,78.94,322.43,1430.11,2699.84
0.42,107.35,77.52,269.24,1279.38,2770.79
0.43,0,75.18,233.57,1286.42,2573.93
0.44,0,72.6,410.31,1757.34,2896.97
0.45,0,72.32,354.77,1898.48,3022.64
0.46,0,73.52,166.44,1790.09,2970.87
0.47,130.6,76.79,291.8,1742.8,3140.91
0.48,131.72,79.84,374.7,1653.32,3083.97
0.49,135.19,81.81,388.16,1660.18,2865.96
0.5,138.41,82.88,398,1628.57,2877.21
0.51,138.74,82.61,398.97,1598,2877.69
0.52,137.08,80.98,347.94,1584.79,2813.11
0.53,140.06,81.54,362.79,1475.89,2803.41
0.54,145.85,84.15,416.21,1467.91,2824.15
0.55,149.55,86.51,442.97,1391.88,2889.12
0.56,152.06,87.3,448.91,1257.61,2931.15
0.57,154.22,86.96,452.5,1236.37,2928.08
0.58,155.3,86.56,453.33,1092.16,2715.06
0.59,155.02,85.8,481.77,1064.58,2896.48
0.6,154.35,83.81,491.33,947.69,2871.95
0.61,153.91,81.62,522.17,1230.15,3100.43
0.62,153.98,79.32,488.6,1225.73,3127.69
0.63,154.84,77.19,443.16,983.34,2890.38
0.64,157.51,75.81,419.81,964.07,2808.17
0.65,162.02,75.82,376.51,1127.3,2720.62
0.66,166.39,76.73,363.55,990.93,2701.2
0.67,178.18,76.71,451.54,632.59,2906.58
0.68,190.7,78.63,434.36,703.68,2927.61
0.69,198.64,81.67,466.06,670.2,2686.35
0.7,204.96,82.99,546,677.33,2735.06
0.71,210.72,82.97,485.25,730.93,2626.15
0.72,215.36,82.61,668.68,1353.28,2777.33
0.73,218.31,82.63,758.76,1641.43,2937.08
0.74,220.89,83.42,710.88,993.11,2720.37
0.75,224.08,84.16,625.37,1064.52,2640.32
0.76,227.44,84.92,632.79,1129.71,2612.91
0.77,230.08,85.94,667.64,1169.08,2588.79
0.78,232.36,86.54,685.53,1208.06,2594.37
0.79,233.27,86.73,705.91,1279.49,2509.3
0.8,231.49,87.02,714.42,1415.18,2468.93
0.81,227.42,86.62,700.86,1543,2484.24
0.82,221.81,86.08,673.23,1637.52,2489.31
0.83,216.29,86.08,664.6,1717.52,2502.74
