time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,68.2,374.84,2155.17,3102.3
0.04,0,67.29,536.59,2229.05,3147.52
0.05,0,65.55,1793.96,2653.74,4272.37
0.06,0,64.41,922.65,2200.14,3281.75
0.07,0,63.06,472.97,2204.38,3100.77
0.08,0,60.19,1327.37,2635.59,3795.38
0.09,0,60.49,302.48,1896.18,3106.57
0.1,0,64,1710.77,2962.75,3989.75
0.11,0,64.65,2195.59,3453.98,4102.08
0.12,0,62.69,2215.5,3452.29,4179.36
0.13,0,63.33,1005.84,2513.59,3316.89
0.14,0,64.31,1360.03,2669.55,3741.04
0.15,0,64.46,370.22,2384.65,3527.81
0.16,0,62.7,432.2,2107.66,3049.23
0.17,0,59.21,135.29,2140.8,3037.04
0.18,0,56.13,186.84,2117.41,3208.56
0.19,0,56.12,1116.45,2771.64,3600.98
0.2,0,56.43,415.56,2226.45,3233.72
0.21,0,60.41,544.4,2203.62,3326.75
0.22,0,66.99,165.6,2762.06,3554.78
0.23,0,73.28,299.75,2751.31,3164.56
0.24,180.01,77.4,324.17,2723.45,3617.61
0.25,179.18,80.07,342.14,2672.62,3327.12
0.26,187.12,82.39,314.81,2653.61,3425.1
0.27,199.6,84.46,302.5,2699.07,3497.67
0.28,204.52,85.3,276.12,2651.33,3517.87
0.29,207.26,85,285.54,2694.56,3514.31
0.3,210.37,83.62,299.51,2695.16,3406.77
0.31,213.15,82.47,299.57,2730.09,3252.49
0.32,214.26,83.03,298.28,2795.02,3233.43
0.33,213.07,83.02,286.03,2781.51,3138.93
0.34,208.2,80.9,276.5,2654.45,3117.67
0.35,195.1,80.66,333.79,2689.98,3239.58
0.36,192.6,83.1,250.73,2703.39,3489.06
0.37,188.71,82.31,233.77,2637.08,3482.34
0.38,172.44,77.97,428.64,2610.38,3429.2
0.39,164.18,76.26,373.53,2579.68,3243.42
0.4,159.15,77.67,273.15,1828.63,2652.96
0.41,146.33,78.22,257.86,1814.7,2351.03
0.42,141.62,81.82,311.78,1740.68,2294.5
0.43,135.37,84.56,307.93,1712.68,2198.33
0.44,133.78,85.73,319.52,1680.84,2122.87
0.45,132.65,86.59,377.08,1682.64,2015.53
0.46,128.37,87.38,403.82,1694.26,1938.9
0.47,124.09,87.47,406.58,1666.95,1839.98
0.48,120.96,86.82,420.37,1603.8,1804.08
0.49,119.62,86.34,416.23,1600.85,1780.29
0.5,118.89,85.44,408.58,1558.42,1773.26
0.51,118.15,84.3,413.25,1501.2,1717.56
0.52,117.66,84.37,412.92,1493.02,1700.99
0.53,117.73,84.96,378.36,1449.04,1685.81
0.54,117.89,84.8,376.26,1428.47,1667.08
0.55,118.16,84.36,391.09,1449.28,1627.36
0.56,117.74,83.83,371.81,1431.46,1465.87
0.57,110.98,82.28,347.12,1375.38,1536.11
0.58,110.78,80.8,298.45,1483.41,1603.79
0.59,115.2,80.03,303.25,1490.27,1632.96
0.6,115.66,79.11,269.68,1429.21,1786.22
0.61,111.44,77.19,267.2,1434.3,1777.46
0.62,112.62,74.88,319.85,1412.27,1688.57
0.63,113.87,72.87,344.48,1431.58,1696.49
0.64,0,71.64,335.52,1521.2,1656.89
0.65,0,70.62,305.85,1477.81,1771.73
0.66,0,70.6,386.63,1588.79,3053.55
0.67,0,75.92,1043.42,2495.89,3505.32
0.68,0,80.13,319.3,2096.33,2596.03
0.69,148.92,83.22,313.54,2249.05,2669.32
0.7,150.33,84.4,306.83,2380.3,2924.54
0.71,153.44,83.93,311.37,2409.91,3073.37
0.72,156.3,84.04,314.36,2470.22,3178.97
0.73,157.36,84.57,317.7,2504.66,3225.02
0.74,156.52,84.12,316.32,2519.23,3214.89
0.75,154.47,82.69,312.62,2514.01,3205.21
0.76,152.31,81.71,310,2494.05,3173.66
0.77,149.76,81.19,301.11,2465.08,3136.23
0.78,146.17,80.52,293.51,2473.02,3011.69
0.79,142.57,80.63,300.18,2353.57,2882
0.8,138.01,79.49,309.03,2178.93,2600.27
0.81,123.98,76.82,298.39,2015.19,2840.29
0.82,110.37,75.7,289.26,2193.06,2728.1
0.83,103.3,74.55,284.51,2155.93,2562.66
