time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1491.12,2647.98,3731.27
0.04,0,65.15,854.46,2331.94,3412.17
0.05,0,65.85,2009.45,3105.71,4270.71
0.06,0,62.46,1788.69,2822.43,4122.39
0.07,0,56.8,1655.6,2897.38,4239.52
0.08,0,57.91,1634.35,3004.84,4241.67
0.09,0,62.01,1624.3,3081.31,3916.37
0.1,0,63.69,1597.93,2984.01,4348.51
0.11,0,61.72,1540.3,3027.85,4297.24
0.12,0,61.43,1549,3084.11,4423.11
0.13,0,67.09,817.09,1879.14,3451.27
0.14,0,73.46,663.56,1414.14,3019.96
0.15,0,77.82,688.65,1434.18,2950.09
0.16,0,79.84,681.78,1440.1,2944.19
0.17,160.05,80.87,643.28,1435.87,2923.62
0.18,160.06,80.34,610.7,1436.52,2921.53
0.19,160.48,77.34,544.13,1424.48,2959.29
0.2,0,71.58,572.39,1399.15,2833.18
0.21,0,67.02,645.09,1441.39,2905.53
0.22,0,66.21,656.94,1420.38,2968.58
0.23,0,63.58,614.11,1380.37,2967.76
0.24,0,60.65,544.76,1368.72,2976.63
0.25,0,59.96,609.62,1403.5,2986.08
0.26,0,62.16,702.89,1505.33,3009.58
0.27,0,62.71,580.57,1424.86,3032.93
0.28,0,60.37,461.92,1355.64,3006.67
0.29,0,58.88,569.6,1309.71,3055.59
0.3,0,58.64,510.66,1316.35,2882.43
0.31,0,63.31,1456.92,2254.45,3202.14
0.32,440.89,69.24,1953.1,2184.61,3243.11
0.33,441.94,70.78,2206.54,2596.32,3325.39
0.34,0,69.34,655.07,2329.56,2887.6
0.35,219.04,74.16,261.23,2510.74,2996.76
0.36,217.72,80.27,277.67,2544.27,2918.22
0.37,217.85,81.9,336.37,2595.3,3073.45
0.38,218.81,81.6,353.77,2608.26,3107.91
0.39,218.66,82.02,336.26,2619.74,3152.52
0.4,216.96,82.85,321.69,2610.44,3131.31
0.41,214.42,83.16,321.69,2624.81,3058.57
0.42,211.82,82.65,321.76,2664.82,3068.33
0.43,205.17,80.89,295.88,2615.95,3107.93
0.44,190.43,78.22,310.62,2483.93,3150.48
0.45,190.8,76.88,235.63,2272.26,3040.57
0.46,196.37,76.24,196.27,2309.8,3068.61
0.47,0,74.92,2265.58,3113.31,4349.07
0.48,0,73.42,2183.7,3207.82,4245.1
0.49,0,72.65,596.33,2181.91,3362.71
0.5,0,70.19,2116.2,3281.8,4406.48
0.51,0,67.04,804.62,2487.77,3666.53
0.52,0,66.55,2013.11,2788.72,3912.74
0.53,0,66.73,684.12,2447.6,3401.99
0.54,226.96,72.59,853.25,2176.88,3356.05
0.55,222.12,79.78,420.18,1806.57,2910.65
0.56,211.5,82.51,435.39,1788.37,2923.91
0.57,200.12,82.16,442.46,1756.8,2923.2
0.58,191.77,81.66,464.64,1703.28,2879.03
0.59,186.02,81.44,444.21,1655.69,2872
0.6,180.89,79.38,386.03,1542.42,2821.79
0.61,182.95,74.32,342.67,1633.12,2826.69
0.62,187.29,68.39,381.65,1746.15,2835.35
0.63,0,66.7,427.37,1788.06,2847.49
0.64,0,67.2,430.48,1634.1,2732.87
0.65,0,66.91,555.65,1719.92,2820.52
0.66,0,66.44,481.85,1622.1,2706.6
0.67,0,67.23,1485.78,2418.45,3263.82
0.68,0,66.84,1456.39,2346.07,3141.22
0.69,0,64.75,1389.9,2152.05,3127.36
0.7,0,61.04,1521.75,2022.32,3045.37
0.71,0,59.46,387.99,1658.82,2631.97
0.72,0,61.03,220.35,1637.38,2719.55
0.73,0,63.25,339.9,1720.94,2525.4
0.74,0,63.68,356.16,1704.9,2733.78
0.75,0,62.45,360.7,1735.68,2904.48
0.76,0,63.55,1225.81,2432.64,3203.13
0.77,0,67,1485.23,2594.09,3245.94
0.78,0,67.83,1243.78,2641.71,3223.13
0.79,0,67.69,2589.65,3118.5,3563.68
0.8,0,67.08,573.84,2692.4,2845.08
0.81,0,65.45,575.99,2479.13,2784.35
0.82,0,65.97,558.24,2430.9,2977.15
0.83,222.09,72.83,435.34,2409.43,2991.13
0.84,212.94,79.04,418.06,2347.85,2856.58
