time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,57.53,181.94,2046.67,3268.57
0.04,0,60.02,159.1,1660.61,2786.35
0.05,0,63.19,671.84,2147.04,3248.14
0.06,0,62.27,106.09,1670.19,2814.12
0.07,0,59.41,153.64,1484.91,2698.54
0.08,0,58.09,181.99,1607.61,2598.72
0.09,0,59.51,177.43,1741.99,2721.86
0.1,0,60.9,229.51,2234.81,2815.55
0.11,0,57.86,220.93,1632.84,3097.02
0.12,0,55.23,1040.11,2233.95,3488.51
0.13,0,57.26,111.69,1900.86,2452.01
0.14,0,56.12,1528.86,2966.96,3946.63
0.15,0,54.17,500.85,2035.46,3130.26
0.16,0,57.28,320.33,1908.94,3046.09
0.17,0,58.66,671.51,2165.84,3357.19
0.18,0,57.77,192.13,1837.19,2986.51
0.19,0,60.13,1206.78,2691.16,3843.37
0.2,0,61.91,120.08,1890.06,3037.34
0.21,0,65.03,1833.44,2642.57,3691.19
0.22,178.45,69.95,1549.56,2870.45,4213.6
0.23,180.62,75.08,365.32,1569.73,3192.4
0.24,183.98,78.68,378.25,1434.99,3461.89
0.25,187.38,81.23,381.46,1311.27,3485.01
0.26,190.87,83.04,377.52,965.29,3463.45
0.27,195.46,84.4,389.34,996.68,3470.67
0.28,200.7,85.61,443.34,1046.81,3426.1
0.29,203.71,86.26,485.52,1010.43,3369.47
0.3,206.18,86.51,528.29,1036.3,3322.64
0.31,209.62,86.34,583.28,1054.06,3291.77
0.32,213.59,85.93,587.27,1070.71,3279.61
0.33,218.84,85.7,568.89,1089.36,3269.56
0.34,224.18,85.82,529.34,1096.81,3251.79
0.35,228.26,85.99,534.89,1058.93,3212.67
0.36,230.74,86.8,527.86,1015.91,3239.32
0.37,231.54,88.27,498.01,970.01,3249.48
0.38,231.46,89.33,537.68,839.04,3301.1
0.39,232.83,89.65,645.04,1213.11,3269.62
0.4,238.35,89.2,494.07,1120.97,3270.53
0.41,242.53,88.73,504.54,1278.48,3254.17
0.42,241.39,88.94,493.9,1616.52,2817.78
0.43,238.09,89.56,491.47,1574.28,3006.31
0.44,234.06,90.12,490.6,1419.91,3160.94
0.45,228.83,89.6,567.23,1058.58,3131.72
0.46,221.8,87.88,505.18,1027.65,3083.22
0.47,216.57,87.06,509.61,1090.7,3051.79
0.48,211.97,87.15,558.03,1116.9,3039.63
0.49,206.8,87.58,577.53,1202.27,3027.51
0.5,202.7,87.96,604.35,1253.11,2975.18
0.51,199.3,88.21,599.91,1317.56,2920.79
0.52,196.28,87.89,574.07,1359.51,2939.55
0.53,192.66,86.35,550.17,1305.63,2803.46
0.54,186.51,83.34,471.25,1264.27,3031.36
0.55,189.43,78.57,340.17,1321.08,2945.7
0.56,204.06,74.44,891.29,1859.37,3066.23
0.57,212.72,72.81,1168.9,2290.45,3344.57
0.58,0,73,521.27,1732.36,2722.88
0.59,0,71.92,671.56,1756.3,2871.32
0.6,0,70.18,608.11,1899.79,2868.99
0.61,0,69.23,732.96,2011.57,2936.08
0.62,0,69.16,674.98,2017.11,2888.14
0.63,0,67.9,633.41,2019.92,2877.87
0.64,0,66.88,510.09,1961.81,2819.37
0.65,0,67.01,537.86,2016.12,2937.7
0.66,0,66.41,650.91,2036.22,2825.77
0.67,0,65.76,632.24,2162.07,2976.56
0.68,0,66.98,2048.16,2558.58,3615.21
0.69,0,68.45,1108.3,2184.32,3157.45
0.7,0,69.18,1647.96,2705.59,3868.98
0.71,0,69.96,1104.6,2606.43,3455.86
0.72,230.75,75.51,207.83,2316.59,3042.06
0.73,224.59,81.23,251.14,2467.37,3021.65
0.74,218.7,83.41,266.98,2572.92,3048.36
0.75,217.32,84.27,286.17,2562.51,3066.79
0.76,215.63,85.16,298.1,2564.48,3044.52
0.77,213.49,85.82,310.68,2551.73,2982.74
0.78,211.32,85.9,330.75,2510.91,2890.61
0.79,209.38,85.38,353.1,2406.28,2799.95
0.8,207.28,84.6,374.95,2294.87,2780.58
0.81,204.12,84.27,394.57,2210.28,2782.17
0.82,201.03,85.14,398.71,2058.21,2789.15
0.83,198.98,86.67,393.39,1959.61,2773.15
