time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,135.1,1991.59,3005.87
0.04,0,56.86,117.87,2172.52,2637.41
0.05,0,56.45,1018.43,2254.81,3451.52
0.06,0,57.79,1834.33,3229.56,4053.27
0.07,0,58.54,121.28,1690.53,2880.04
0.08,0,63.28,1922.66,3001.02,4439.35
0.09,0,65.3,1973.66,2770.88,3688.05
0.1,0,62.28,1601.73,2582.42,3783.92
0.11,0,62.03,377.31,2357.76,2964.54
0.12,0,64.38,1506.3,2549.07,2924.33
0.13,0,68.59,1726.94,2610.92,3113.09
0.14,0,68.97,1569.3,2539.38,3261.79
0.15,0,66.86,1171.1,2439.83,2916.63
0.16,0,67.61,670.65,2390.73,2867.82
0.17,0,70.49,638.85,2477.12,2912.05
0.18,204.9,74.77,548.45,2204.79,2785.27
0.19,207.5,79.51,579.31,2093.95,2702.47
0.2,203.31,82.48,680.87,1968.32,2803.28
0.21,201.37,83.97,751.63,1949.82,2726.82
0.22,200.47,84.83,790.45,1941.98,2783.08
0.23,200.99,85.71,796.71,1871.33,2773.55
0.24,202.08,86.38,802.47,1841.62,2732.26
0.25,203.42,86.58,807.81,1844.75,2752.5
0.26,204.63,86.38,812.24,1840.78,2726.78
0.27,206.52,85.62,800.43,1848.6,2772.83
0.28,208.52,84.39,750.28,1865.43,2728.72
0.29,210.24,83.77,680,1887.64,2742.3
0.3,211.61,83.13,640.77,1944.38,2750.56
0.31,209.7,79.52,633.68,2025.29,2844.25
0.32,205.25,72.81,766.07,1968.9,2907.47
0.33,206.41,70.16,801.19,1894.77,2830.95
0.34,207.75,69.83,859.57,1903.52,2851.43
0.35,207.08,69.43,875.09,1872.34,2876.16
0.36,0,69.24,499.58,1884.77,2852.05
0.37,0,68.63,625.39,2174.08,2976.39
0.38,0,69.73,674.98,2580.07,3127.54
0.39,0,72.41,1007.74,2367.36,2935.7
0.4,0,72.62,1427.13,2827.85,3434.24
0.41,0,72.38,910.33,2866.68,3345.01
0.42,0,73.07,2219.8,3050.46,3743.33
0.43,0,73.28,1941.74,2979.3,3735
0.44,0,73.28,1956.95,2957.71,3783.1
0.45,0,73.06,1865.75,3009.58,3696.83
0.46,0,73.34,1793.09,3056.34,3895.31
0.47,0,74.23,1839.54,3073.08,3772.25
0.48,0,74.09,1571.56,3131.2,3942.65
0.49,0,73.37,1920.22,3181.35,3910.79
0.5,0,72.37,1829.08,3135.81,3934.98
0.51,0,71.87,1708.7,3109.08,4117.76
0.52,0,71.85,1570.18,3151.82,4208.14
0.53,0,69.69,1688.68,3064.58,4193.86
0.54,0,68.29,616.48,2147.61,3398.16
0.55,239.01,75.03,399.28,1689.12,3076.47
0.56,223.93,79.45,467.85,1640.52,3111.49
0.57,213.67,80.47,516.08,1598.51,3065.43
0.58,207.13,80.9,558.46,1551.07,3029.89
0.59,200.88,80.7,574.72,1554.37,3025.75
0.6,195.77,80.11,529.52,1527.01,2830.54
0.61,191.47,80.59,415.41,1485.99,2680.79
0.62,188.95,81.71,315.43,1489.99,2725.47
0.63,187.06,82.39,316.46,1460.57,2768.57
0.64,185.93,82.6,318,1477.28,2766.29
0.65,184.23,82.49,316.05,1445.97,2736.72
0.66,182.35,81.63,326.33,1483.32,2752.11
0.67,179.06,79.88,337.33,1458.22,2859.33
0.68,174.16,77.45,327.69,1569.76,3024.87
0.69,170.87,75.98,317.89,1613.73,2871.52
0.7,168.54,75.62,339.49,1664.95,2923.6
0.71,161.64,74.08,333.83,1673.06,3068.51
0.72,160.06,72.73,330.86,1759.66,3322.26
0.73,158.52,72.16,215.17,1776.23,3262.47
0.74,152.71,70.82,217.42,1963.99,3564.12
0.75,158.16,70.92,209.97,2132.9,3406.54
0.76,159.24,71.54,791.06,2465.99,3746.88
0.77,159.31,71.56,1504.35,2958.46,4001.42
0.78,164.04,72.83,295.35,1982.31,3365.08
0.79,169.03,75.02,311.49,1944.26,3191.45
0.8,172.58,77.5,350.75,1996.84,3071.98
0.81,177.87,79.93,363.29,2104.26,2965.33
0.82,180.39,82.1,357.65,2191.01,2946.44
0.83,182.37,83.77,354.12,2290.96,2910.25
