time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1822.53,2923.78,3834.63
0.04,0,59.3,1950.81,2912.85,3993.08
0.05,0,61.86,1909.9,3239.88,4205.7
0.06,0,63.45,1229.1,1913.64,3139.23
0.07,0,64.51,1849.88,2488.28,3350.18
0.08,0,64.25,523.18,1930.35,3158.91
0.09,0,63.63,1813.12,3177.46,4271.07
0.1,0,64.62,641.22,2035.81,3227.28
0.11,0,65.64,646.13,2040.81,3279.76
0.12,0,65.77,1475.23,2026.95,3799.71
0.13,0,65.12,1760.04,2818.15,3908.26
0.14,0,66.47,2005.36,3078.21,4217.9
0.15,0,68.14,530.07,2120.16,3079.7
0.16,0,68.05,348.86,1941.68,2963.13
0.17,0,65.52,219.11,2010.67,3026.59
0.18,0,61.46,1812.33,2842.5,3987.46
0.19,0,64.43,1345.18,2379.48,3570.21
0.2,0,71.87,1138.38,2168.59,3366.35
0.21,187.04,77.02,431.11,2123.88,3005.27
0.22,190.01,81.25,496.84,2126.5,2950.46
0.23,195.48,84.66,561.93,2112.18,2908.33
0.24,200.56,87.1,607.5,2037.67,2828.11
0.25,204.87,87.79,636.26,1947.76,2779.88
0.26,208.58,87.14,664.95,1861.52,2713.86
0.27,215.11,86.98,696.18,1765.7,2686.41
0.28,222.06,87.5,721.47,1720.91,2670.31
0.29,231.99,88.1,734.82,1640.16,2743.18
0.3,242.96,88.95,757.19,1548.72,2810.12
0.31,251.17,89.76,772.25,1505.13,2846.56
0.32,259.24,90.3,791.03,1516.01,2896.2
0.33,265.39,90.4,807.47,1488.66,2866.32
0.34,269.78,89.86,805.92,1381.97,2973.95
0.35,274.01,88.74,799.46,1394.29,2911.23
0.36,277.19,87.43,766.6,1345.11,2626.88
0.37,278.94,86.56,689.1,1338.24,2518.36
0.38,279.36,86.46,684.26,1349.81,2483.46
0.39,279.44,86.44,664.93,1364.07,2377.77
0.4,278.8,86.43,613.32,1390.78,2215.63
0.41,277.71,86.35,523.35,1405.04,2030.64
0.42,276.47,86.28,508.32,1412.23,2063.2
0.43,275.39,86.91,581.31,1410.71,2395.82
0.44,273.82,87.13,595.86,1362.56,2484.14
0.45,271.62,86.85,631.87,1490.15,3181.01
0.46,269.13,86.19,592.3,1523.49,3274.12
0.47,266.19,84.39,556.69,1491.53,3240.44
0.48,262.79,81.6,587.76,1466.42,3231.29
0.49,257.5,80.85,510.57,1440.98,1827.44
0.5,250.41,81.73,440.9,1691.2,3277.25
0.51,241.32,80.95,347.48,1374.08,2193.93
0.52,230.82,78.75,334.97,1369.89,2875.52
0.53,237.36,78.62,359.72,1295.96,2892.4
0.54,246.33,82.47,478.32,1480.47,2950.93
0.55,246.99,86.41,500.27,1473.47,3171.58
0.56,244.17,88.13,500.35,1467.23,3167.9
0.57,240.12,88.19,494.12,1432.89,3136.97
0.58,234.66,86.91,496.75,1370.5,3110.99
0.59,227.58,84.89,508.39,1309.63,3020.08
0.6,223.41,84.44,477.1,1304.81,3105.39
0.61,219.12,84.43,447.69,1414.01,3174.31
0.62,214.32,84.26,468.24,1443.77,3237.16
0.63,210.07,84.09,474.78,1229.51,3189.47
0.64,204.56,82.64,553.99,1453.27,3255.3
0.65,200.26,81.44,705.18,1778.11,3298.81
0.66,198.45,82.1,361.76,636.89,1754.42
0.67,197.13,82.79,670.15,1667.66,3519.99
0.68,196.46,83.59,714.87,1841.88,3416.53
0.69,197.12,84.86,455.83,768.78,2809.15
0.7,198.35,86.14,484,824.11,3215.38
0.71,199.7,87.16,683.26,772.65,3150.03
0.72,201,88.16,713.3,960.66,2437.6
0.73,201.71,88.82,818.72,918.95,2613.49
0.74,201.72,88.7,733.59,1004.9,2902.94
0.75,201.25,88.1,694.88,1087.92,3159.92
0.76,200.88,87.92,740.67,1151.29,3087.56
0.77,200.85,88.22,793.37,1226.97,2969.47
0.78,200.78,88.52,783.96,1247.92,2998
0.79,200.35,88.71,786.62,1349.59,2984.19
0.8,199.36,88.89,774.83,1400.08,2874.87
0.81,198.05,88.98,766.85,1411.44,2830.69
0.82,196.01,88.88,765.67,1449.33,2752.97
