time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1844,2164.16,3320.94
0.04,0,62.15,1845.51,2781.76,3414.4
0.05,0,61.62,1876.43,2561.06,3405.73
0.06,0,61.18,2046.54,2696.46,3767.91
0.07,0,61.31,1037.66,2409.64,3317.35
0.08,458.16,62.52,1758.25,2632.87,3655.93
0.09,458.76,63.21,1691.86,2490.88,3466.19
0.1,458.64,64.12,1664.44,2547.2,3236.04
0.11,457.72,65.45,1554,2447.95,3234.32
0.12,456.74,64.27,1651.42,2774.02,3300.18
0.13,426.76,63.27,1808.97,3128.2,3175.6
0.14,419.81,63.24,1224.89,2440.51,3397.74
0.15,0,63.08,712.94,1894.42,2845.21
0.16,0,65.13,1857.17,2804.67,3829.01
0.17,222.64,73.68,1110,2285.52,3312.26
0.18,219.86,80.09,437.78,1793.86,2813.51
0.19,216.8,82.97,515.94,1875.32,2773.67
0.2,215.46,84.09,566.6,1930.33,2766.97
0.21,215.29,84.82,583.75,1973.13,2794.09
0.22,215.77,85.53,590.56,2009.45,2816.18
0.23,216.75,86.07,591.29,2031.61,2813.59
0.24,218.35,86.23,590.77,2057.3,2843.21
0.25,220.11,86.15,591.6,2080.78,2873.83
0.26,222.11,85.92,591.74,2054.91,2832.14
0.27,224.07,85.92,615.81,2043.67,2760.39
0.28,225.59,86.5,646.89,2012.52,2714.43
0.29,227.35,87.08,653.49,1981.14,2717.46
0.3,229.36,87.23,650.68,1920.95,2673.08
0.31,230.62,87.41,657.25,1857.35,2662.35
0.32,231.54,87.76,660.74,1844.44,2602.08
0.33,232.65,87.66,655.47,1840.09,2551.43
0.34,234.33,86.88,656.65,1829.33,2490.52
0.35,235.5,86.29,641.89,1763.8,2402.45
0.36,235.58,86.21,625.02,1680.31,2374.07
0.37,235.47,86.16,618.03,1649.59,2370.35
0.38,235.03,86.01,618.51,1642.89,2369.14
0.39,234.21,85.77,629.09,1650.04,2351.05
0.4,233.53,85.47,626.42,1681.53,2342.89
0.41,232.39,85.21,621.03,1759.84,2356.24
0.42,231.18,84.94,613.06,1838.84,2481.25
0.43,230.07,84.65,592.94,1836.5,2712.47
0.44,228.6,84.2,529.19,1834.79,3051.72
0.45,225.99,83.28,450.89,1825.62,3097.61
0.46,222.4,82.6,396.21,1796.7,3017.7
0.47,221.65,83.32,361.91,1787.31,2977.87
0.48,220.63,84.22,339.74,1759.78,2958.5
0.49,218.8,84.86,346.8,1802.71,2947.2
0.5,217.03,85.45,352.04,1862.04,2911.78
0.51,214.63,85.44,324.72,1967.43,2852.36
0.52,212.36,84.2,328.83,1868.72,2789.17
0.53,210.45,80.7,306.6,1811.95,2916.32
0.54,206.71,76.49,309.34,1818.17,3004.89
0.55,204.99,76.04,239.5,2029.15,2758.02
0.56,209.28,74.71,321.78,1989.48,2954.3
0.57,211.39,71.3,413.92,1855.52,2948.85
0.58,0,69.32,1108.17,2503.35,3828.86
0.59,0,70.79,1949.54,3107.32,4416.96
0.6,0,71.16,1916.47,3009.65,4401.42
0.61,0,70.33,1185.09,2515.75,3786.46
0.62,0,70.08,1007.01,2265.58,3640.45
0.63,0,71.17,1698.46,2716.38,4459.12
0.64,0,72.91,1706.53,2669.37,4447.37
0.65,0,73.23,1741.41,2498.21,4362.81
0.66,0,73.35,1672.31,2370.54,4229.24
0.67,0,72.4,1620.55,2329.62,4028.23
0.68,0,69.69,947.48,2001.59,3294.57
0.69,0,65.36,1413.54,2441.79,3851.02
0.7,0,61.58,1467.82,2567.85,4136.19
0.71,0,63.86,1418.54,2180.98,4191.43
0.72,0,66.28,1396.1,2477.15,4234.39
0.73,0,67.13,782.82,1275.37,2693.55
0.74,0,70.34,890.65,1351.58,2928.17
0.75,0,71.47,762.61,1321.8,2980.76
0.76,0,73.93,538.93,1177.51,2844.3
0.77,217.2,79.83,412.73,1143.6,2952.63
0.78,217.42,83.68,428.35,1089.89,2810.77
0.79,216.48,85.39,442.19,1062.59,2774.96
0.8,214.59,85.94,451.4,1080.05,2735.49
0.81,213.66,85.95,480.34,1117.9,2708.56
0.82,212.44,85.57,518.74,1254.24,2694.61
