time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,56.46,1451.34,2881.35,4203.99
0.04,0,57.74,2220.52,3035.12,4391.43
0.05,0,60.38,1007.13,2131.6,3146.53
0.06,0,62.2,1893.06,2422.46,3491.78
0.07,0,62.58,2147.66,2748.85,3919.54
0.08,0,61.3,1231.9,2672.8,3749.15
0.09,0,59.56,1393.54,2608.37,3821.82
0.1,0,59.16,1628.78,2776.87,3720.49
0.11,0,65.49,1691.17,2902.57,3344.55
0.12,0,71.24,1548.39,2937.13,3263.18
0.13,213.47,78.3,828.83,2686.98,3131.1
0.14,216.17,84.76,411.78,2483.61,2996.75
0.15,216.86,87.79,453.78,2361.71,2897.03
0.16,216.9,87.53,488.69,2297.63,2826.7
0.17,225.86,86.86,560.01,2192.68,2859
0.18,234.45,87.7,643.68,2132.32,2891.01
0.19,241.96,88.55,655.39,2104.58,2929.41
0.2,249.8,88.63,685.6,2054.51,2897.53
0.21,257.02,88.43,698.77,2047.27,2951.28
0.22,262.53,87.78,737.37,2078.51,2992.48
0.23,264.89,86.64,717.06,2058.29,3006.52
0.24,262.35,85.22,700.01,1970.28,3059.2
0.25,0,84.75,672.34,1983.43,2988.75
0.26,287.68,85.15,590.72,1978.9,2942.47
0.27,279.75,82.39,564.34,1932.58,2966.75
0.28,268.45,75.12,686.56,1913.61,3025.07
0.29,260.52,69.3,717.08,2043.54,3065.84
0.3,258.6,68.67,724.29,2083.21,3026.43
0.31,263.21,69.04,699.35,2093.45,3102.43
0.32,0,68.33,659.86,2000.14,3097.88
0.33,0,66.88,614.6,1844.16,3024.72
0.34,0,65.06,591.49,1948.57,2987.53
0.35,0,64.14,651.25,2006.54,3056.78
0.36,0,64.11,637.58,1915.24,3071.52
0.37,0,63.02,576.91,1998.32,2982.94
0.38,0,61.05,588.43,2062.05,2965.26
0.39,0,60.26,597.9,2129.95,2994
0.4,0,61.47,581.29,2041.72,3030.81
0.41,0,61.96,579.71,2036.54,3021.07
0.42,0,61.63,617.65,2073.5,3059.18
0.43,0,64.13,1129.38,1628.08,3236.67
0.44,0,66.15,1189.14,1683.02,2749.65
0.45,0,66.83,1115.27,1469.68,2779.91
0.46,0,70.38,781.52,1229.26,2427.01
0.47,0,72.26,890.61,1173.12,2623.87
0.48,0,71.53,1015.65,1181.77,2844.63
0.49,0,69.26,1255.48,1582.2,2872.25
0.5,0,69.77,952.99,1853.02,3032.61
0.51,224.34,76.83,619.4,1381.17,3185.76
0.52,221.7,81.95,444.22,951.47,3282.51
0.53,216.62,83.69,516.98,954.14,3295.96
0.54,213.74,84.33,537.24,964.26,3244.29
0.55,212.18,84.9,535.25,907.39,3183.75
0.56,211.9,85.09,537.6,902.23,3233.99
0.57,212.1,84.9,539.4,899.13,3270.6
0.58,212.89,84.87,536.78,886.42,3314.11
0.59,213.59,85.28,526.87,875.8,3443.36
0.6,214.33,85.81,509.39,876.02,3469.7
0.61,214.84,86.27,499.67,879.53,3461.37
0.62,215.23,86.68,489.61,889.06,3462.85
0.63,215.18,87,474.15,891.93,3475.92
0.64,214.96,87.22,467.57,891.53,3493.76
0.65,214.82,87.41,465.47,892.78,3512.28
0.66,214.46,87.49,469.28,894.99,3528.39
0.67,213.8,87.33,472.49,895.55,3487.39
0.68,212.48,86.65,479.84,907.71,3617.74
0.69,210.22,84.98,472.65,978.97,3584.59
0.7,205.88,82.62,432.28,1126.44,3506.9
0.71,203.5,81.62,427.74,1036.93,3386.93
0.72,201.92,81.04,409.12,1010.59,3162.03
0.73,195.52,79.08,359.01,990.35,2875.92
0.74,184.14,76.95,528.14,1913.41,3232.62
0.75,199.92,73.21,827.96,2146.41,2730.2
0.76,206.28,69.96,970.24,2374.99,2859.5
0.77,211.16,70.51,647.69,1968.72,2732.68
0.78,212.74,70.76,534.64,1957.62,3292.69
0.79,212.6,71.14,517.71,1896.11,3324.44
0.8,212.35,70.43,542.53,1812.75,3154.68
0.81,211.4,69.9,525.69,1772.4,3063.13
0.82,0,69.26,729.51,1837.12,3026
0.83,0,67.54,886.36,1807.77,2990.82
0.84,0,66.89,665.39,1755.87,3001.74
