time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,64.46,420.81,2084.94,3112.73
0.04,0,60.01,444.67,1874.14,3080.12
0.05,0,57.83,837.98,2295.18,3118.57
0.06,0,59.91,660.21,2202.97,3114.13
0.07,0,61.99,437.66,2249.15,3152.72
0.08,0,61.96,635.89,1991.75,3048.72
0.09,0,60.59,330.38,1923.12,3077.67
0.1,0,60.87,336.38,1958.84,3052.33
0.11,0,63.42,381.43,1922.12,3021.17
0.12,0,67.59,682.32,2225.93,3074.11
0.13,0,69.07,809.75,2381.62,3035.73
0.14,0,68.07,924.48,2534.99,2992.91
0.15,0,66.58,290.13,1828.96,2963.66
0.16,0,69.8,244.49,1916.9,3030.32
0.17,0,73.2,252.27,1513.81,2638.4
0.18,163.88,73.03,303.9,1558.98,2759.33
0.19,163.45,72.79,318.69,1581.56,2785.36
0.2,165.74,74.06,316.81,1629.3,2750.26
0.21,168.35,75.27,311.51,1614.09,2716.73
0.22,168.09,75.99,321.67,1598.09,2737.98
0.23,168.63,76.3,321.84,1666.25,2684.35
0.24,172.92,76.44,328.33,1521.12,2671.08
0.25,177.73,77.31,311.08,1500.74,2654.61
0.26,185.68,79.09,366.69,1587.21,2745.12
0.27,182.99,81.31,541.19,1667.94,2689.47
0.28,181.57,82.64,639.65,1702.27,2764.26
0.29,182.92,83.75,699.24,1672.72,2775.04
0.3,183.79,85.18,714.43,1637.41,2900.02
0.31,185.86,86.14,733.28,1624.14,2984.59
0.32,188.64,86.67,733.81,1538.33,3047.69
0.33,190.18,87.08,720.69,1479.13,3099.51
0.34,191.37,87.02,699.17,1389.73,3134.73
0.35,193.18,86.71,663.78,1341.53,3278.56
0.36,194.68,86.68,623.95,1286.56,3315.16
0.37,195.57,86.89,585.28,1257.68,3334.2
0.38,197.6,86.22,565.43,1184.11,3300.52
0.39,198.65,85.22,527.87,1111.68,3372
0.4,198.62,84.81,511.14,1129.88,3368.15
0.41,198.73,84.74,487.04,1059.1,3337.85
0.42,199.89,85.06,482.8,1059.94,3303.5
0.43,201.32,85.77,551.83,1108.46,3302.03
0.44,201.22,86.47,591.67,1158.98,3223.15
0.45,199.96,87.04,600.14,1196.02,3235.44
0.46,198.91,87.33,597.81,1191.54,3127.53
0.47,198.26,87.24,581.7,1159.78,3154.24
0.48,197.45,86.9,579.12,1138.22,3147.94
0.49,195.95,86.69,554.1,1060.47,3132.76
0.5,194.71,86.6,538.43,983.67,3101.53
0.51,192.92,86.36,550.62,944.43,3020.46
0.52,191.49,85.81,489.67,918.76,3076.55
0.53,190.35,85.31,459.11,840.91,3141.06
0.54,189.44,85.27,461.12,865.45,3179.42
0.55,189.05,85.31,451.78,823.81,3163.51
0.56,188.03,85.15,432.27,830.8,3150.41
0.57,188.59,85.58,473.47,883.5,3154.73
0.58,190.14,86.52,593.4,992.22,2920.87
0.59,190.85,87.62,610.42,1279.03,2998.46
0.6,191.08,88.45,584.48,1228.92,2958.33
0.61,190.17,88.15,596.75,1225.73,2956.68
0.62,188.74,87.46,632.89,1312.17,2945.93
0.63,187.76,87.64,671.24,1341.32,2920.18
0.64,186.19,88.03,703.86,1396.96,2887.64
0.65,184.25,88.25,709.85,1440.87,2834.23
0.66,182.5,88.21,717.83,1456.57,2816.23
0.67,179.96,87.72,735.09,1467.57,2803.82
0.68,177.21,86.87,746.47,1479.36,2815.1
0.69,173.49,86.01,781.22,1506.5,2820.98
0.7,170.23,85.61,769.38,1489.11,2804.53
0.71,166.42,85.23,774.39,1463.49,2796.16
0.72,161.5,85.07,771.15,1424.88,2780.72
0.73,157.61,85.29,766.65,1407.7,2779.35
0.74,153.34,84.16,754.91,1370.88,2783.39
0.75,147.74,82.2,724.16,1335.46,2788.39
0.76,144.23,80.57,685.88,1304.03,2767.01
0.77,141.96,79.36,667.35,1285.63,2801.73
0.78,139.88,77.74,629.12,1228.16,2806.53
0.79,138.61,76.35,587.8,1158.88,2794.27
0.8,135.63,75.07,596.48,1150.63,2689.41
0.81,130.33,73.34,596.09,1165.23,2839.95
0.82,122.13,71.11,560.07,1172.23,2825.38
