time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1228.02,2772.69,3543.02
0.04,0,66.24,1103.49,2383.87,3503.91
0.05,0,67.74,482.17,1959.63,3068.47
0.06,0,66.66,1889.23,2877.43,3974.88
0.07,0,64.47,1666.25,2685.24,3816.25
0.08,0,65.39,1393.79,2514.27,3692.65
0.09,0,66.6,672.24,1456.21,2625.95
0.1,0,64.07,1356.32,1983.88,3190.09
0.11,0,66.23,1304.14,2296.07,3297.91
0.12,0,71.77,1083.48,1890.03,3116.58
0.13,0,73.51,983.56,1332.96,3111.16
0.14,245.24,77.16,528.79,1198.8,3155.12
0.15,230.65,82.12,610.24,1940.85,3720.89
0.16,213.71,83.73,486.87,891.02,3227.21
0.17,209.85,83.92,538.25,891.35,3271.22
0.18,208.78,84.2,563.93,857.31,3301.9
0.19,208.08,84.18,569.75,847.15,3339.46
0.2,207.94,84.12,563.65,839.45,3373.08
0.21,208.04,84.33,534.12,836.12,3525.68
0.22,208.22,84.66,496.14,839.07,3561.53
0.23,208.68,84.98,455.99,850.5,3572.92
0.24,209.15,85.08,431.07,864.98,3576.06
0.25,210.23,84.65,424.27,921.11,3587.84
0.26,212.44,84.02,423.48,944.87,3547.51
0.27,214.47,83.72,430.75,907.44,3579.94
0.28,214.72,84.03,431.94,996.58,3516.97
0.29,214.06,84.61,427.21,1067.55,3420.3
0.3,214.55,85.18,438.67,1100.4,3356.86
0.31,215.65,85.38,470.52,1222.1,3347.05
0.32,216.28,85.13,497.38,1374.77,3248.15
0.33,216.76,84.72,504.38,1530.44,3223.42
0.34,217.1,83.87,507.05,1665.61,3208.31
0.35,216.93,82.85,489.04,1810.16,3133.91
0.36,216.46,82.2,471.88,2015.8,3106.33
0.37,215.94,82.05,461.58,2268.99,3127.89
0.38,215.32,82.01,499.64,2551.01,3085.37
0.39,214.54,81.67,509.57,2690.06,3042.15
0.4,213.64,81.17,504,2806.29,2997.92
0.41,211.87,80.46,403.89,2830.25,2992.21
0.42,209.94,79.58,500,2714.64,2995.12
0.43,208.82,79.05,497.32,2851.53,2879.04
0.44,207.93,78.95,393.59,2629.86,2851.68
0.45,207.4,79.16,399.47,1807.27,2853.26
0.46,207.04,79.32,401.76,2440.53,3064.7
0.47,206.37,79.52,388.9,2849.98,3194.26
0.48,205.85,79.77,383.86,2866.62,3775.53
0.49,205.31,80.25,387.44,2828.76,3343.38
0.5,204.53,81.03,389.83,2628.46,3079.05
0.51,203.54,81.94,403.49,2405.06,2906.86
0.52,202.45,82.61,411.86,2226.54,2775.51
0.53,201.05,82.96,421.41,2007.07,2666.57
0.54,199.01,83.29,433.23,1839,2587.14
0.55,196.93,83.76,448.83,1712.26,2520.48
0.56,195.18,84.29,463.45,1604.42,2412.4
0.57,193.8,84.88,463.34,1542.03,2354.8
0.58,192.67,85.12,467.35,1526.65,2332.67
0.59,190.92,84.93,485.9,1502.65,2438.95
0.6,188.32,84.86,479.45,1392.9,2520.46
0.61,185.99,84.84,462.89,1309.43,2723.65
0.62,184.15,84.63,475.08,1287.17,3053.64
0.63,181.38,84,463.04,1252.03,3171.99
0.64,178.15,82.41,427.19,1177.73,3111.17
0.65,175.36,80.3,441.71,1098.53,2929.36
0.66,173.28,79.25,460.65,1025.23,3318.37
0.67,172.55,80.09,470.36,1047.31,3479.48
0.68,171.57,79.97,474.25,994.32,3708.52
0.69,170.35,79.12,514.67,940.97,3460.34
0.7,171.13,79.44,469.17,952.72,3212.68
0.71,173.27,80.15,468.36,969.03,3349.29
0.72,176.46,81.17,477.89,1035.64,3474.52
0.73,180.72,83.21,523.37,1129.49,3403
0.74,183.12,85.37,560.87,1257.11,3391.59
0.75,183.07,86.12,589.07,1325.42,3303.99
0.76,183.05,86.08,645.98,1442.87,3235.19
0.77,183.06,86.65,688.77,1517.17,3180.32
0.78,182.42,87.31,711.96,1606.09,3163.25
0.79,181.38,87.59,715.4,1636.1,3096.6
0.8,179.83,87.56,715.77,1679.4,3064.9
0.81,177.56,87.1,718.75,1740.78,3040.76
0.82,173.23,86.04,728.68,1769.87,3018.94
