time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,193.98,1999.22,3159.49
0.04,0,57.05,1470.77,2707.22,3939.88
0.05,0,57.84,832.15,2160.05,3315.32
0.06,0,62.71,1655.59,2853.65,4000.07
0.07,0,66.08,1996.82,2795.24,3594.88
0.08,0,65.92,877.29,2057.16,2990.77
0.09,0,63.96,1552.47,2061.22,3078.52
0.1,0,59.18,1623.96,2162.74,3154.45
0.11,0,58.14,862.31,2108.08,2963.04
0.12,0,59.93,1599.92,2378.08,3465.25
0.13,0,59.73,1357.39,2285.32,3303.29
0.14,456.28,62.78,1307.5,2200.41,3278.74
0.15,418.68,65.04,1367.46,2394.35,3384.25
0.16,414.27,64.61,1360.49,2374.89,3398.48
0.17,0,60.91,1798.93,2379.66,3394.89
0.18,0,59.37,1602.67,2470.09,3298.16
0.19,0,61.22,1709.56,2624.82,3514.15
0.2,0,61.28,1500.1,2657.09,3554.18
0.21,0,59.92,2066.39,2378.9,3313.05
0.22,0,61.5,1944.38,2687.74,3437.49
0.23,0,63.94,1402.63,2413.31,3375.37
0.24,0,69.37,521.54,2093.73,3083.75
0.25,225.59,78.37,399.34,2052.12,2884.08
0.26,225.89,83.87,438.4,2134.99,2910.73
0.27,228.06,86.07,452.99,2250.48,2945.02
0.28,228.58,86.06,455.69,2322.27,2968.98
0.29,229.86,84.86,444.29,2426.5,2962.85
0.3,232.61,83.85,432.52,2583.04,3013.78
0.31,235.48,83.01,432.02,2700.19,3043.68
0.32,238.06,82.48,416.77,2774.17,2937.85
0.33,239.76,83.02,374.38,1691.16,2725.45
0.34,237.8,83.89,353.39,2350.89,2770.65
0.35,233.66,84.16,338.13,2332.13,2790.74
0.36,226.39,83.53,295.29,2050.46,2747.74
0.37,217.83,82.32,247.06,1670.08,2810.88
0.38,214.04,79.51,274.77,2656.66,2896.84
0.39,216.67,74.17,410.15,2394.91,2963.67
0.4,215.7,71.33,1379.93,2366.45,3025.76
0.41,217.42,71.45,353.65,1998.02,2988.91
0.42,220.76,71.65,411.24,2400.34,2899
0.43,243.61,73.47,409.95,2465.84,2893.6
0.44,249.03,78.68,335.65,2625.94,2826.3
0.45,246.8,81.7,350.99,2551.43,2894.09
0.46,242.69,82.27,367.5,2614.45,2925.61
0.47,237.55,81.4,384.65,2631.26,3008.32
0.48,230.32,80,362.61,2566.16,3062.13
0.49,223.98,80.06,362.4,2602.06,2801.01
0.5,222.31,81.27,339.75,1161.58,2892.02
0.51,218.32,81.54,322.13,1239.6,2804.93
0.52,215.04,81.41,336.89,1277.04,2867.46
0.53,212.19,81.23,357.4,1240.16,2787.97
0.54,209.17,80.21,391.26,2149.86,2771.52
0.55,203.28,78.2,479.76,2476.29,2956.78
0.56,200.56,77.55,547.23,2395.5,2993.49
0.57,199.21,79.58,553.92,2309.17,2958.36
0.58,197.34,81.28,577.91,2146.08,2889.75
0.59,195.53,82.24,612.27,1934.31,2790.99
0.6,195.23,83.23,651.08,1822.21,2811.83
0.61,194.78,84.27,712.31,1736.33,2899.34
0.62,194,85.21,746.64,1654.31,2940.75
0.63,192.58,86.01,748.34,1570.92,2999.68
0.64,190.21,86.02,736.87,1519.31,3083.58
0.65,187.99,85.2,724.54,1464.15,3191.23
0.66,185.98,84.3,716.16,1386.4,3228.07
0.67,182.52,83.39,679.99,1313.3,3320.56
0.68,177.22,82.39,681.91,1270.1,3351.15
0.69,170.59,80.82,683.31,1229.46,3391.56
0.7,0,78.78,655.48,1215.76,3163.77
0.71,0,76.74,648.4,1219.11,2859.87
0.72,0,74.77,637.85,1147.96,2623.61
0.73,0,72.22,622,1336.14,3387.7
0.74,0,70.14,623.4,1230.17,3361.48
0.75,0,69.37,580.21,1111.6,3334.86
0.76,0,68.57,570.89,1289.95,3267.97
0.77,0,69.31,553.87,1297.47,3235.41
0.78,0,69.8,561.22,1341.7,3376.75
0.79,0,70.7,493.31,1308.92,3350.37
0.8,153.45,72.18,413.79,1176.7,3350
0.81,157.18,73.53,398.38,1149.79,3347.25
0.82,160.19,75.06,389.54,1004.9,3390.21
0.83,163.22,76.24,395.72,996.88,3373.5
