time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,123.19,1708.02,2958.24
0.04,0,63.3,211.7,1497.72,2612.01
0.05,0,66.3,610.21,1503.45,2589.9
0.06,0,68.82,665.33,1487.25,2524.52
0.07,141.47,68.88,695.9,1543.82,2590
0.08,138.25,68.36,646.78,1531.3,2546.61
0.09,132.72,69.98,616.65,1524.95,2557.78
0.1,129.09,71.09,520.44,1469.93,2531.19
0.11,0,70.2,369.71,1250.93,2538.66
0.12,0,67.04,211.45,1258.84,2580.08
0.13,0,63.31,307.66,1171.85,2600.89
0.14,0,63.29,822.35,1012.75,2657.95
0.15,0,63.54,993.63,1639.8,2731.2
0.16,0,63.42,795.97,1573.82,2853.52
0.17,0,64.55,636.07,1623.12,3030.2
0.18,0,62.07,441.55,1573.3,2922.42
0.19,0,63.05,507.03,1942.1,2702.25
0.2,479.56,66.17,479.16,1893.48,2638.77
0.21,482.45,64.29,267.84,1944.57,2671.9
0.22,481.79,59.95,1560.9,2524.74,3480.72
0.23,488.36,57.9,833.39,2263.49,3095.59
0.24,430.57,58.21,424.11,2114.78,3016.41
0.25,0,61.65,371.18,2094.73,3078.68
0.26,162.06,66.94,237.86,2011.78,3003.78
0.27,152,70.1,285.53,2528.05,3192.48
0.28,144.33,71.5,323.15,2452.96,3115.9
0.29,142.12,72.19,339.11,2423.28,2995.29
0.3,141.8,72.28,344.16,2446.48,2919.77
0.31,140.66,72.2,342.62,2430.17,2910.44
0.32,137.69,71.71,343.2,2365.66,2883.68
0.33,133.45,70.56,317.43,2180.93,2806.62
0.34,130.06,68.34,315.74,2131.82,2740.18
0.35,134.26,64.95,349.59,2081.57,2853.08
0.36,135.26,63.15,318.72,2075.11,2959.39
0.37,0,62.36,281.64,2048.2,2895.97
0.38,0,60.97,280.49,2031.79,2831.8
0.39,0,59.75,2106.48,2748.24,4128.8
0.4,0,61.29,2010.01,2856.06,4150.81
0.41,0,61.68,707.11,2166.43,3200.66
0.42,0,61.9,352.44,1911.13,2834.89
0.43,175,66.9,260.38,1895.98,2843.89
0.44,170.96,70.87,408.2,1912.57,2851.09
0.45,166.27,72.06,463.14,1919.9,2764.09
0.46,164.75,72.52,447.7,1871.54,2749.28
0.47,165.21,72.51,423.78,1800.16,2680.58
0.48,165.62,71.3,398.12,1716.75,2651.54
0.49,165.11,68.47,366.35,1665.37,2645.71
0.5,166.58,64.54,363.33,1667.36,2625.03
0.51,0,62.06,323.53,1806.94,2747.89
0.52,0,61.45,1849.91,2125.79,3235.51
0.53,0,59.18,1747.71,2145.59,2901.87
0.54,0,57.07,1479.93,1988.64,2902.48
0.55,0,59.84,273.99,1790.34,2822.2
0.56,0,63.03,281.97,1796.6,2859.96
0.57,0,64.03,218.93,1768.93,2865.41
0.58,0,62.36,236.62,1724.53,2729.24
0.59,0,60.95,1442.26,2183.78,2936.6
0.6,0,61.94,1305.53,2154.1,2861.47
0.61,0,61.94,633.25,2092.07,2918.86
0.62,488.96,62.95,480.12,2135,2930.78
0.63,496.75,63.06,415.08,2320.15,2941.7
0.64,0,62.53,622.49,2372.86,2755.86
0.65,0,64.18,829.53,2388.22,3182.12
0.66,0,68.61,300.82,2274.46,2767.26
0.67,209.68,72.72,268.36,2254.41,2876.72
0.68,208.29,73.99,338.12,2152.52,2830.17
0.69,208.28,73.73,404.18,2218.64,2838.92
0.7,207.32,73.06,418.88,2285.06,2836.14
0.71,203.98,71.57,430.85,2301.27,2855.51
0.72,199.48,71.54,408.55,2294.28,2892.8
0.73,195.73,72.29,400.96,2375.25,2905.82
0.74,191.65,72.45,372.54,2399.09,2890.73
0.75,183.68,71.42,289.53,2377.19,2825.23
0.76,175.24,69.06,361.75,2486.01,2858.75
0.77,0,67.99,433.67,2515.02,2974.16
0.78,0,68.96,378.01,2578.28,2875.67
0.79,0,68.28,406.91,2528.35,2897.08
0.8,0,66.74,396.87,2523.15,2842.87
0.81,0,66.97,283.09,2499.99,2830.53
0.82,0,65.23,143.51,2538.34,2857.14
0.83,0,62.74,244.42,2559.59,2789.27
0.84,0,61.46,269.93,2624.17,2864.3
