time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1463.19,2519.19,3895.68
0.04,0,63.4,2133.97,3426.73,4710.73
0.05,0,64.05,1684.23,2800.94,3977.43
0.06,0,65.05,790.85,2068.66,2867.25
0.07,415.55,64.93,655.68,1945.86,2725.98
0.08,414.84,62.62,543.34,1938.08,2873.58
0.09,0,59.82,1057.09,1991.46,3111.39
0.1,0,61.82,755.29,1923.29,2924.33
0.11,0,64.2,803.22,2208.88,2943.62
0.12,163.64,65.68,212,1900.34,2885.24
0.13,156.73,68.39,390.61,2104.68,2922.88
0.14,149.09,69.7,445.79,683.03,2744.4
0.15,149.05,71.04,455.56,712.3,2894.94
0.16,148.78,72.55,429.11,796.58,2817.12
0.17,148.63,74.08,432.17,948.59,2853.11
0.18,146.22,74.84,482.99,974.9,2691.05
0.19,142.79,75.21,549.29,959.99,2701.02
0.2,140.67,75.73,606.43,1242.76,2951.49
0.21,139.77,76.14,637.32,1243.23,2814.37
0.22,141.2,76.24,640.87,1152.97,2664.75
0.23,143.49,76.27,644.22,1194.63,2732.42
0.24,145.2,76.47,597.6,1151.28,2683.43
0.25,146.88,76.48,573.14,1104.98,2671.14
0.26,149.6,76.17,549.54,1116.27,2662.78
0.27,152.55,75.89,556.55,1112.66,2700.97
0.28,154.42,75.69,528.02,1035.74,2646.86
0.29,154.54,75.96,483.79,938.66,2625.38
0.3,154.53,76.22,469,930.83,2631.58
0.31,155.51,76.55,468.18,919.33,2676.64
0.32,157.78,77.17,471.24,920.5,2679.56
0.33,160.48,77.92,481.48,929.33,2713.24
0.34,164.02,78.23,494.73,938.17,2709.32
0.35,167.71,78.42,512.33,947.26,2650.07
0.36,170.4,78.81,517.64,996.13,2723
0.37,174.09,77.8,536.54,1074.93,2697.71
0.38,175.87,76.81,534.97,1110.13,2654.59
0.39,178.24,75.67,540.2,928.73,2651.44
0.4,182.33,74.64,478.49,929.62,2606.51
0.41,185.9,75.06,453.95,1161.45,2771.6
0.42,188.1,75.03,382.19,1163.31,2809.28
0.43,187.35,74.4,349.57,1315.43,2721.66
0.44,183.78,72.93,384.45,1677.06,2785.63
0.45,182.09,70.4,348.64,1633.09,2737.92
0.46,184.36,68.36,437.86,1678.18,2672.19
0.47,188.47,67.16,360.03,1693.47,2715.49
0.48,183.38,65.33,474.94,1786.3,2760.81
0.49,178.59,64.37,336.84,1837.74,2810.48
0.5,174.95,63,497.98,1966.67,2819.02
0.51,171.99,61.91,506.09,1906.25,2921.21
0.52,0,61.98,447.31,1944.8,2913.03
0.53,0,63.18,433.88,2040.55,3131.32
0.54,0,62.6,429.48,1950.74,2754.99
0.55,0,60.55,1762.2,2799.97,4103.74
0.56,0,58.47,305.61,1985,2952.99
0.57,0,56.69,308.99,1922.96,2717.68
0.58,0,57.52,214.46,2020.07,2750.63
0.59,0,60.3,1987.35,2702.13,4129.39
0.6,0,60.29,2083.06,2745.24,4017.92
0.61,0,60.68,1940.38,2680.55,3921.25
0.62,0,62.04,2357.65,2766.12,4136.49
0.63,0,60.57,2122.41,2883.88,3956.81
0.64,0,61.15,124.61,2159.36,2923.55
0.65,223.52,69.36,252.3,2177.05,2785.47
0.66,213.01,74.21,268.81,2542.08,3042.62
0.67,199.51,74.78,327.05,2480.84,3097.3
0.68,195.24,74.96,351.32,2471.42,2985.56
0.69,196.95,76.06,358.25,2504.7,2963.15
0.7,199.77,76.99,354.66,2450.68,2945.96
0.71,202.31,77.18,368.96,2459.73,2658.24
0.72,204.73,76.51,388.6,2300.62,2555.79
0.73,207.29,75.61,404.29,2253.45,2642.55
0.74,210.08,75.33,403.25,2227.02,2595.07
0.75,212.51,75.8,405.77,2111.79,2580.06
0.76,214.23,77.1,408.28,2079.14,2544.06
0.77,215.51,78.09,414.7,1926.45,2584.61
0.78,215.94,78.86,420.57,1868.62,2605.97
0.79,215.77,79.54,420.47,1782.99,2635.41
0.8,215.38,79.65,420.67,1742.92,2691.01
0.81,213.95,79.54,419.88,1716.28,2699.46
0.82,211.35,79.36,416.35,1698.9,2715.6
0.83,207.32,78.59,411.95,1656.27,2677.51
