time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,60.22,92.31,1781.66,2863.24
0.04,0,61.55,1777.92,2935.91,4263.16
0.05,0,64.38,1557.53,2850.44,3971.18
0.06,0,65.79,779.81,2372.62,3451.67
0.07,0,64.42,1398.99,2534.63,3747.7
0.08,497.1,65.29,1498.08,2630.19,3199.24
0.09,488.24,67.42,1111.39,2449.92,2966.61
0.1,480.21,66.91,492.69,2159.03,2853.25
0.11,481.73,63.8,1680.23,2610.27,3211.69
0.12,0,59.26,1176.11,2507.41,2999.24
0.13,0,57.52,528.25,2237.09,2748.42
0.14,0,60.86,508.6,2146.64,2706.19
0.15,0,62.19,630.86,2173.78,2709.09
0.16,0,61.31,675.98,2168.51,2703.75
0.17,160.8,65.76,387.26,2161.05,2744.23
0.18,156.64,70.26,610.23,2154.02,2803.22
0.19,152.29,72.39,683.09,2042.7,2716.42
0.2,148.81,73.84,691.47,2022.62,2654.52
0.21,146.74,74.81,707.82,2000,2644.31
0.22,144.13,75.69,714.36,1963.26,2675.02
0.23,142.63,76.4,721.07,1964.97,2664.36
0.24,140.06,76.35,717.02,1931.5,2624.68
0.25,136.82,75.35,697.65,1923.44,2572.39
0.26,134.62,74.03,671.2,1977.4,2563.56
0.27,129.2,72.62,624.84,1969.8,2465.89
0.28,0,70.21,521.18,1943.96,2584.38
0.29,0,66.55,549.85,1998.91,2604.91
0.3,0,65.75,665.35,2092.09,2727.04
0.31,0,64.6,645.17,1912.3,2700.26
0.32,0,61.5,612.93,1954.08,2727.6
0.33,0,62.01,655.17,2062.79,2730.99
0.34,465.89,63.54,697.72,2137.58,2811.06
0.35,460.33,64.51,2678.98,2885.58,4428.17
0.36,460.77,66.3,1707.3,2884.82,3682.73
0.37,462.47,67.87,507.56,2151.89,2998.33
0.38,455.92,68.43,1573.08,2647.01,4005.99
0.39,476.42,68.98,1814.77,2823.75,4410.8
0.4,483.23,68.18,1927.87,2865.79,4390.82
0.41,490.14,66.2,1902.65,3061.28,4344.81
0.42,495.43,62.63,1618.69,2764.05,4056.74
0.43,0,58.89,1619.17,2708.23,4289.28
0.44,0,58.5,2049.29,3379.29,4719.37
0.45,0,60.28,171.3,2131.62,2936.28
0.46,0,63.43,786.46,2335.85,3392.6
0.47,0,66.13,153.78,2074.76,3083.98
0.48,0,65.18,2001.1,3123.33,4570.72
0.49,0,64.77,1184.22,2291.52,3465.98
0.5,0,66.25,436.01,2209.62,3223.57
0.51,0,69.02,391.24,1797.65,2752.12
0.52,134.74,71.57,522.78,1802.51,2839.26
0.53,133.4,73.15,534.39,1807.28,2796.4
0.54,130.96,73.85,492.74,1747.1,2796.05
0.55,128.7,73.99,437.46,1709.5,2781.02
0.56,127.76,73.85,354.2,1739.25,2815.89
0.57,130,73.8,311.06,1740.57,2473.72
0.58,132.28,73.43,316.17,1670,2485.43
0.59,133.55,72.62,342.45,1845.24,2388.45
0.6,134.85,71.62,367.83,1910.02,2484.55
0.61,135.07,71.3,377.08,1930.45,2629.44
0.62,134.07,72.17,344.73,1868.81,2322.99
0.63,132.99,73.19,333.93,2094.17,2326.68
0.64,132.4,73.19,332.52,1860.95,2697.58
0.65,132.38,72.15,350.91,1881.65,3095.67
0.66,133.24,71.81,375.9,1858.14,3283
0.67,132.69,72.11,363.33,1850.56,2989.68
0.68,131.45,71.8,354.34,1957.77,3203.5
0.69,131.19,70.6,331.63,1987.42,2734.93
0.7,131.98,69.16,330.17,1955.41,3194.27
0.71,132.21,67.53,574.65,2009.3,3028.3
0.72,134.13,66.03,257.13,1932.43,3166.41
0.73,0,65.77,653.29,1969.01,3147.06
0.74,0,66.23,929.57,2103.81,3749.72
0.75,0,67.11,311.46,2030.11,2722.07
0.76,0,67.15,168.97,1797.89,2823.21
0.77,149.98,66.34,275.95,1981.32,2858.54
0.78,154.21,67.76,293.82,2117.78,2875.96
0.79,155.6,70.17,341.62,2170.47,2828.03
0.8,153.31,72.28,365.85,2281.14,2867.61
0.81,150.2,73.25,373.48,2366.26,2886.11
0.82,148.09,73.82,382.58,2473.02,2937.67
0.83,146.25,74.31,388.11,2510.29,2949.05
