time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,52.84,235.55,1913.74,2971.22
0.04,0,54.83,197.26,1912.63,3017.49
0.05,0,59.12,200.73,1987.41,2921.9
0.06,0,62.1,1246.79,2756.21,3614.32
0.07,0,60.99,1520.61,2625.73,3755.94
0.08,0,56.86,181.4,1494.1,2598.86
0.09,0,54.89,116.36,1705.22,2832.13
0.1,0,57.41,1876.66,2801.98,4134.15
0.11,0,57.84,114.69,1612.11,2376.99
0.12,0,56.69,1943.22,2624.47,4112.87
0.13,0,59.52,2037.57,2916.78,4394.7
0.14,0,63.43,519.46,1920.47,2863.85
0.15,0,63.93,543.57,1963.13,2887.39
0.16,0,66.16,425.47,1938.97,2820.59
0.17,0,70.35,566.94,1946.43,2756.94
0.18,137.39,73.36,634.31,1908.92,2739.16
0.19,133.42,75.19,672.87,1839.23,2666.93
0.2,129.56,75.96,702.14,1752.28,2613.08
0.21,126.29,75.91,740.12,1678.05,2574.1
0.22,124.46,75.51,758.32,1611.98,2552.5
0.23,125.58,75.3,783.77,1508.95,2600.13
0.24,129.95,75.29,654.68,1356.11,2595.96
0.25,136.61,74.87,682.33,1289.99,2396.23
0.26,143.72,73.99,709.7,1271.42,2348.44
0.27,149.2,72.74,704.3,1244.48,2403.44
0.28,152.11,71.38,645.88,1274.55,2219.09
0.29,155.3,71.59,684.89,1205.85,1430.65
0.3,160.2,71.83,554.43,1381.76,2550.79
0.31,163.02,71.7,525.36,1375.27,2510.43
0.32,166.94,71.93,434.98,1441.85,2435.4
0.33,169.09,72.24,400.06,1220.8,2232.42
0.34,166.83,72.02,408.35,1142.83,2620.62
0.35,165.99,70.54,425.33,1299.61,2707.12
0.36,0,67.7,416.29,1550.72,2807.49
0.37,0,63.15,406.43,1569.64,2284.88
0.38,0,62.15,1044.16,2309.18,2414.17
0.39,0,64.16,716.64,2074.53,3596.34
0.4,0,65.86,500.74,1999.65,3569.67
0.41,490.04,66.41,430.89,1970.56,3220.14
0.42,488.07,65.39,1899.07,3014.54,3999.75
0.43,0,62.31,486.01,1887.54,2996.74
0.44,185.52,62.18,424.43,1869.66,2951.58
0.45,190.17,69.16,264.11,1822.16,2886.01
0.46,189.93,73.38,310.16,1749.01,2869.61
0.47,183.81,74.26,375.08,1657.12,2938.61
0.48,178.06,72.89,399.78,1626.24,2954.05
0.49,172.87,69.67,414.12,1602.83,2838.65
0.5,173.48,68.02,379.23,1577.54,2801.28
0.51,175.88,69.21,319.9,1540.71,2718.14
0.52,182.28,71.61,359.37,1565.12,2893.8
0.53,184.15,74.35,393.97,1578.71,2878.31
0.54,181.53,74.77,384.32,1487.94,2890.06
0.55,178.48,73.81,366.16,1062.67,2784.97
0.56,177.76,72.8,343.67,899.67,2756.04
0.57,176.35,71.96,309.78,787.95,2813.9
0.58,175.08,71.73,271.75,750.53,2821.48
0.59,172.68,71.54,312.78,726.93,2552.58
0.6,168.22,70.77,334.93,707.41,2721.86
0.61,162.83,70.58,336.25,600.67,2870.14
0.62,160.45,71.22,326.24,605.24,2863.39
0.63,156.06,70.32,411.63,473.76,2865.89
0.64,152.05,70,393.96,520.8,2911.14
0.65,150.64,70.72,384.74,647.71,2851.52
0.66,146.74,70.7,402.13,662.2,2909.12
0.67,142.19,70.82,386.51,740.94,2863.27
0.68,136.93,71.31,469.09,815.51,2864.26
0.69,132.8,72.39,503.89,877.51,2796.8
0.7,129.51,73.83,584.65,970.4,2727.88
0.71,126.49,74.56,629.16,1111.67,2642.39
0.72,122.73,74.76,653.16,1163.81,2662.34
0.73,120.53,74.84,654.93,1173.05,2663.03
0.74,120.35,74.46,645.55,1144.71,2598.1
0.75,120.75,74.16,672.95,1210.43,2612.08
0.76,121.26,74,695.06,1295.05,2592.9
0.77,122.35,73.87,702.08,1317.13,2561.46
0.78,123.41,73.59,678.49,1332.53,2531.24
0.79,124.64,73.44,629.36,1397.57,2505.95
0.8,126.67,73.33,629.13,1410.48,2474.84
0.81,129.37,73.18,649.33,1488.34,2517.56
0.82,133.13,72.74,620.89,1579.09,2509.69
0.83,135.88,72.01,602.08,1659.99,2499.75
