time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1084.55,2355.97,3302.08
0.04,0,61.41,1062.79,2311.16,3254.92
0.05,0,64.32,1240.31,2292.95,3272.99
0.06,0,65.75,1223.33,2193.74,3278.47
0.07,0,65.25,1248.03,2280.68,3133.88
0.08,0,62.33,1259.3,2260,3315.4
0.09,0,59.89,977.67,2091.11,3359.53
0.1,0,62.72,1095.62,2177.46,3444.54
0.11,0,64.58,1116.58,2185,3213.78
0.12,0,64.63,841.93,2201.51,3066.6
0.13,0,63.94,980.5,2274.45,3000.19
0.14,0,63.13,1351.45,2624.06,3727.57
0.15,0,64.35,1875.79,2677.55,3837.59
0.16,0,62.99,1571.77,2536.65,3581.21
0.17,0,61.46,132.11,2196.16,2676.96
0.18,192.93,64.1,257.17,2615.99,3019.12
0.19,180.34,70.65,341.49,2652.61,3051.15
0.2,167.07,73,381.68,2593.22,2967.05
0.21,166.29,73.91,395.07,2586.38,3000.9
0.22,167.38,75.55,380.7,2569.84,2919.18
0.23,168.08,76.9,371.49,2559.86,2864.21
0.24,171.68,77.94,363.72,2557.3,2840.95
0.25,174.25,78.42,361.78,2577.84,3021.66
0.26,175.07,77.45,365.71,2581.08,2976.18
0.27,180.28,77.2,364.39,2575.53,2764.23
0.28,182.38,78.88,354.6,2545.5,2810.83
0.29,185.42,80.64,356.28,2584.64,2658.73
0.3,189.54,81.95,363.08,2480.22,2644.41
0.31,194.08,82.55,365.67,2576.65,2720.65
0.32,199.22,82.38,362.29,2567.65,2620.34
0.33,204.06,81.88,365.38,2610.14,2729.39
0.34,208.59,80.64,379.3,2574.99,2907.79
0.35,214.81,78.48,352.56,2582.55,2825.04
0.36,217.44,78.44,293.39,2600.92,2863.13
0.37,216.84,77.99,296.3,2616.86,3036.41
0.38,213,74.57,293.4,2672.56,2988.74
0.39,215.59,70.8,294.54,2243.69,2756.13
0.4,216.74,70.88,291.62,1940.63,2672.05
0.41,213.06,70.88,284.46,1920.21,2635.86
0.42,206.81,70.64,425.39,2000.42,2470.43
0.43,216.01,70.31,428.16,2121.01,2483.93
0.44,242.33,71.61,334.52,2107.8,2504.03
0.45,226.92,76.18,375.71,1979.02,2424.39
0.46,219,79.39,428.84,1941.61,2385.38
0.47,216,80.16,439.46,1866.16,2324.34
0.48,215,79.5,439.65,1778.23,2242.41
0.49,216.01,78.71,447.14,1760.68,2137.34
0.5,217.39,78.3,455.16,1746.13,2035.47
0.51,220.14,78.04,475.72,1750.12,2002.61
0.52,222.04,77.75,488.95,1722.96,1998.51
0.53,224.61,77.3,478.22,1660.84,1985.93
0.54,226.96,77.53,473.87,1608.67,1952.53
0.55,225.5,77.7,464.85,1700.33,1919.37
0.56,224.45,77.46,459,1745.21,1904.45
0.57,223.46,76.83,437.24,1712.26,1917.96
0.58,231.26,76.68,422.79,1724.64,1964.31
0.59,226,76.92,414.86,1628.95,1983.2
0.6,220.17,76.76,376.92,1476.63,1956.69
0.61,215.57,76.47,277.77,1509.85,1929.06
0.62,213.5,75.53,247.46,1590.94,2011.58
0.63,208.86,72.57,313.1,1881.8,2073.45
0.64,200.24,72.47,253.63,1787.75,2091.18
0.65,197.99,73.24,219.45,1813.13,2076.17
0.66,186.57,69.77,225.92,1826.96,1965.52
0.67,197.87,65.09,242.11,1824.63,1926.21
0.68,215.88,64.7,245.14,1834.11,2647.81
0.69,191.99,71.29,306.86,2002.17,2607.87
0.7,176.44,76.73,357.11,2196.16,2610.82
0.71,173.13,77.7,353.77,2275.06,2724.4
0.72,169.56,76.5,350.8,2323.86,2843.05
0.73,167.21,76.74,355.36,2399.39,2918.18
0.74,165.59,77.61,341.01,2439.18,3072.18
0.75,162.51,77.49,336.07,2459.32,3021.55
0.76,160.56,76.68,342.36,2480.55,3057.61
0.77,158.92,74.78,343.36,2482.42,3063.52
0.78,156.89,72.77,350,2479.43,3057.33
0.79,154.29,72.44,368.18,2461.27,3043.38
0.8,151.83,73.28,355.92,2490.48,3030.79
0.81,148.89,72.74,354.86,2498.57,3029.08
0.82,144.51,71.92,373.39,2494.81,2947.64
