time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,57.56,1907.73,2686.32,3833.56
0.04,0,60.63,1930.59,2736.99,3840.41
0.05,0,63.92,2009.17,2758.65,4001.53
0.06,0,63.2,1849.6,2449.91,3277.96
0.07,0,59.8,1869.92,2824.56,3997.32
0.08,0,58.13,1887.91,2627.14,3789.09
0.09,0,56.65,1882.72,2711.48,3929.69
0.1,0,59.04,831.33,2183.78,3063.77
0.11,0,69.25,914.69,2201.8,2998.81
0.12,163.27,76.49,471.82,1965,2587.15
0.13,161.38,79.2,507.79,1982.03,2553.82
0.14,156.88,79.2,528.9,2047.93,2647.96
0.15,153.12,78.76,552.37,2102.41,2448.23
0.16,151.08,79.09,554.9,2116.14,2620.73
0.17,149.18,79.35,559.06,2133.17,2544.63
0.18,147.17,79.74,574.16,2114.39,2549.4
0.19,145.31,80.57,563.36,2106.17,2505.54
0.2,143.37,80.63,560.85,2075.1,2477.11
0.21,141.66,80.23,565.83,2055.16,2434.35
0.22,140.58,80.27,576.98,2052.4,2432.01
0.23,139.73,80.38,584.86,2032.92,2393.26
0.24,139.3,79.91,598.52,2003.32,2361.76
0.25,139.44,78.95,611.03,1956.92,2299.26
0.26,139.61,78.02,619.56,1914.7,2238.81
0.27,139.74,78.4,638.7,1892.69,2212.03
0.28,139.88,79.43,633.46,1839.4,2164.41
0.29,139.77,79.78,631.5,1794.78,2123.72
0.3,139.88,79.54,638.07,1769.22,2085.68
0.31,140.37,79.09,631.35,1725.57,2047.57
0.32,141.23,78.7,625.31,1692.75,2015.2
0.33,142.65,78.51,611.95,1660.86,1982.64
0.34,144.66,78.39,605.07,1680.43,1967.31
0.35,147.03,77.85,602.65,1628.36,1932.71
0.36,149.98,77.24,597.3,1630.77,1906.81
0.37,154.25,77.04,602.55,1601.83,1928.51
0.38,159.08,76.97,610.27,1615.82,1915.36
0.39,162.34,76.96,610.72,1593.49,1910.44
0.4,164.43,76.06,597.9,1595.16,1925.72
0.41,166.64,74.76,587.39,1631.47,1959.56
0.42,168.7,74.25,561.28,1596.05,1945.83
0.43,169.95,72.85,559.58,1615.63,1935.36
0.44,171.74,70.33,571.57,1646.23,1963.36
0.45,173.01,67.76,568.43,1615.5,1940.44
0.46,173.38,65.57,477.79,1593.83,1952.2
0.47,0,65.44,431.09,1698.23,1907.84
0.48,0,67.31,415.45,1688.27,2011.32
0.49,0,67.13,446.89,1685.97,2032.78
0.5,0,65.61,503.11,1749.21,2011.96
0.51,0,64.97,475.17,1250.11,1873.2
0.52,0,65.15,357.72,1433.84,2344.33
0.53,0,63.87,420.09,1706.23,1805.37
0.54,0,62.92,454.4,1711.39,2884.5
0.55,0,63.31,368.7,1515.85,1732.46
0.56,0,60.24,326.9,1703.85,2723.16
0.57,0,60.02,386.5,1827.92,2853
0.58,0,64.79,360.75,1861.29,3019.12
0.59,0,67.96,821.6,2393.27,3528.46
0.6,0,69,1986.24,2647.71,4256.75
0.61,0,68.52,1965.27,2764.4,4087.43
0.62,0,67.32,878.72,2360.94,3050.08
0.63,0,69.13,515.54,1994.1,2790.37
0.64,142.49,72.09,591.3,1956.85,2743.23
0.65,147.76,72.5,567.73,1959.82,2759.6
0.66,150.81,71.52,499.25,1915.81,2766.26
0.67,146.7,70.37,453.99,1866.92,2776.29
0.68,144.4,69.89,354.22,1817.29,2822.81
0.69,144.71,71.62,321.66,1901.93,2697.86
0.7,144.69,72.43,360.6,1902.78,2593.21
0.71,144.91,72.3,360.4,1816.44,2645.25
0.72,143.39,72.39,378.39,1851.43,2644.92
0.73,138.36,72.05,346.22,1931.63,2665.47
0.74,131.71,70.3,286.93,1790.89,2801.6
0.75,0,68.62,259.41,1792.79,2713.91
0.76,0,66.9,375.21,1833.65,2763.84
0.77,0,65.65,411.35,1948.83,2816.02
0.78,444.18,67.72,1223.85,2454.9,3713.31
0.79,441.26,66.98,1817.97,2883.22,4653.98
0.8,374.56,65.78,872.83,2309.94,3533.27
0.81,336.1,65.61,1284.45,2536.82,3925.25
0.82,346.19,64.11,1649.45,2557.8,4243.67
0.83,0,60.71,1646.37,2289.93,4184.33
