time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,56.88,162.83,1734.71,2651.28
0.04,0,58.93,823.64,1983.79,3238.46
0.05,0,60.13,989.12,2347.02,3536.59
0.06,0,58.98,1286.51,2663.96,3707.98
0.07,0,60.96,877.62,2218.11,3518.78
0.08,0,62.9,843.24,2211.88,3162.28
0.09,0,64.52,1528.28,2855.53,4369.51
0.1,0,67.53,1856.7,2561.27,4410.63
0.11,0,68.72,1979.09,2939.66,4342.01
0.12,0,66.55,837.17,2023.74,3231.92
0.13,0,65.95,891.7,2307.73,3772.71
0.14,0,68.02,1518.24,2834.14,3967.97
0.15,0,67.99,126.18,1860.61,2645.76
0.16,0,66.05,2144.82,2891.97,3406.78
0.17,0,64.57,524.2,2165.06,2869.82
0.18,0,63.57,401.09,2250.03,2853.9
0.19,0,65.58,200.01,2301.28,2843.28
0.2,0,67.82,340.99,2642.77,2946.81
0.21,0,70.92,486.03,2382.19,2934.19
0.22,0,72.19,486.79,2182.85,2791.2
0.23,0,72.83,549.95,2068.29,2722.82
0.24,0,73.73,569.83,2024.45,2725.96
0.25,0,74.48,608.19,1997.26,2710.68
0.26,0,74.94,628.45,1966.13,2716.91
0.27,0,75.57,647.02,1937.12,2689.81
0.28,0,76.05,641.59,1907.66,2679.35
0.29,0,75.18,633.9,1902.52,2713.69
0.3,0,74.26,632.26,1903.17,2667.59
0.31,0,72.85,584.69,1910.21,2661.97
0.32,0,69.81,558.9,1886.59,2704.72
0.33,0,65.27,621.59,1898.25,2734.72
0.34,272.13,64.1,557.35,1867.34,2704
0.35,277.82,64.93,567.49,1895,2700.84
0.36,292.08,66.87,564.9,1936.36,2752.76
0.37,0,68,579.24,1907.44,2737.64
0.38,0,67.05,621.25,1883.47,2674.35
0.39,379.44,64.07,543.53,1967.85,2928.35
0.4,379.68,62.91,1116.47,2198.39,3277.88
0.41,386.5,64.45,1161.28,2399.7,3309.87
0.42,0,62.77,425.03,2006.76,2610.32
0.43,0,62.64,331.65,1988.23,2625.48
0.44,0,64.72,293.59,1944.88,2443.3
0.45,0,63.82,294.66,2163.8,2934.28
0.46,0,62.05,446.43,2046.52,3305.44
0.47,0,63.32,445.69,2092.81,3378.16
0.48,0,62.6,395.07,2049.01,3120.49
0.49,0,59.58,333.65,1995.03,3120.52
0.5,0,58.13,439.11,2020.03,3133.48
0.51,0,61.46,838.07,1981.92,3168.11
0.52,0,63.91,662.79,1304.42,2696.5
0.53,0,63.41,757.31,1235.34,2641.2
0.54,0,62.79,881.76,2034.16,3212.75
0.55,0,63.57,1143.79,2471.08,3446.6
0.56,0,61.89,348.35,1206.44,2684.34
0.57,0,60.31,575.78,1247.11,2809.7
0.58,0,60.59,446.69,997.71,2901.02
0.59,0,59.6,886,2738.96,3411.88
0.6,0,61.84,568.06,1776.61,3093.62
0.61,129.83,66.5,386.17,820.59,2892.48
0.62,129.02,69.3,424.71,774.77,2913.3
0.63,127.94,70.31,450.07,731.68,2902.74
0.64,131.42,70.29,446.78,735.47,2955.98
0.65,132.88,70.33,438.46,765.94,2836.64
0.66,130.26,71.15,438.01,781.67,2931.61
0.67,129.62,71.72,429.35,764.16,2915.96
0.68,130.49,71.09,421.54,763.65,2724.79
0.69,129.16,70.15,413.13,751.11,2674.92
0.7,127.57,69.56,403.28,756.09,2695.6
0.71,128.42,69.4,390.25,769.8,2512.15
0.72,129.75,68.95,367.65,779.58,2563.18
0.73,131.39,67.98,389.29,1074.12,2933.28
0.74,132.18,67.18,401.33,1209.24,2929.62
0.75,131.53,66.33,428.76,1722.06,3117.27
0.76,0,65.46,458.74,2129.42,3468.03
0.77,0,65.14,574.66,2239.84,3578.38
0.78,0,63.82,549.66,1885.6,2962.72
0.79,0,63.26,356.14,1982.5,2857.72
0.8,0,63.45,521.43,1878.02,2848.19
0.81,0,62.4,442.01,1782.77,2953.12
0.82,0,62.29,310.75,1767.64,2916.52
0.83,0,63.07,1039.8,2315.07,3482.25
0.84,0,61.72,1060.15,2312.64,3448.42
0.85,0,63.06,1113.56,2398.63,3379.74
0.86,0,66.08,1936.77,2966.57,4471.25
