time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,58.18,142.9,1613.3,2541.09
0.04,0,58.46,661.7,2012.76,3133.4
0.05,0,58.36,117.28,1881.93,2457.11
0.06,0,59.98,118.11,1982.48,2542.09
0.07,0,60.94,458.47,1877.71,2748.72
0.08,0,59.55,467.99,1763.49,2858.78
0.09,0,56.32,215.34,1700.62,2549.66
0.1,0,54.95,152.24,1984.59,2752.78
0.11,0,56.99,138.54,1546.56,2512.46
0.12,161.42,62.59,210.42,1383.59,2380.16
0.13,149.14,65.61,291.96,2162.88,3600.08
0.14,142.75,65.89,340.84,2231.01,3547.75
0.15,135.3,66.74,364.82,2260.76,2764.74
0.16,136.58,68.48,397.73,2115.12,2735.81
0.17,134.2,69.69,344.97,2065.66,2493.72
0.18,133.89,69.99,339.06,1598.03,2583.02
0.19,132.87,69.93,353.19,1612.19,2707.11
0.2,131.76,70.24,357.37,1696.99,2526.17
0.21,130.55,71.1,346.83,2105.63,3864.02
0.22,128.75,71.95,323.11,2307.68,4113.26
0.23,126.76,72.54,252.59,1885.49,4005.44
0.24,125.47,73.69,238.18,1801.21,2875.3
0.25,125.45,74.73,243.31,1633.22,2604.87
0.26,125.36,75.27,243.43,1259.62,2057.6
0.27,125.61,75.43,243.12,1551.98,2758.51
0.28,126.51,75.51,241.4,1289.13,2062.94
0.29,129.1,75.41,324.43,1723.77,2672.18
0.3,128.78,75.44,422.54,1073.7,1894.55
0.31,128.55,75.38,600.98,1840.9,2856.22
0.32,128.91,75.38,508.14,1667.1,2106.97
0.33,129.28,75.4,477.15,1472.92,2438.36
0.34,129.69,74.87,478.73,1434.15,2710.73
0.35,130.78,74.42,635.05,1644.6,2702.03
0.36,130.84,74.1,605.71,1190.31,2944.64
0.37,130.67,73.94,603.15,1129.23,2895.52
0.38,130.46,73.76,626.64,1195.24,2900.44
0.39,130.28,73.6,588.3,1154.21,3121.36
0.4,130.72,73.59,520.79,1102.86,3051.15
0.41,132.92,73.2,475.94,986.59,2086.65
0.42,135.67,73.02,432.48,1103.78,2078.44
0.43,138,72.9,429.86,1193.89,2745.73
0.44,142.42,72.56,451.23,1165.01,2936.98
0.45,146.67,73.45,596.51,1271.07,2976.35
0.46,147.72,74.88,619.44,1348.57,2871.8
0.47,149.68,75.32,636.56,1356.34,2765.72
0.48,152.46,75.45,636.37,1375.81,2826.36
0.49,155.49,75.51,643.3,1332.3,2833.56
0.5,158.81,75.55,652.12,1325.42,2776.35
0.51,161.03,75.92,628.86,1303.64,2782.13
0.52,163.71,75.54,624.96,1325.16,2720.06
0.53,166.69,75.35,619.38,1221.74,2739.36
0.54,168.54,75.62,593.61,1158.61,2758.26
0.55,170.56,75.05,568.91,1103.84,2741.09
0.56,171.47,74.41,551.96,1011.73,2696.47
0.57,171.21,73.8,548.42,1031.09,2865.65
0.58,171.21,72.86,543.31,942.34,2791.72
0.59,171.17,72.65,540.43,1011.47,2799.82
0.6,170.15,73.04,543.07,990.42,2823.74
0.61,168.37,73.24,581.44,1100.1,2798.19
0.62,165.57,73.26,632.1,1258.75,2776.55
0.63,161.24,73.5,665.78,1392.65,2726.85
0.64,157.49,74.39,675.64,1441.31,2714.65
0.65,152.6,74.84,709.56,1489.42,2725.2
0.66,145.54,75.04,709.17,1513.73,2739.52
0.67,140.92,75.04,724.08,1518.62,2661.66
0.68,138,74.95,714.19,1498.92,2652.48
0.69,136.33,75.2,717.05,1496.09,2643.53
0.7,135.41,74.93,707.04,1474.08,2524.84
0.71,134.35,74.86,690.57,1472.41,2576.78
0.72,134.02,75.19,685.77,1448.06,2651.7
0.73,133.86,75.13,688.74,1409.83,2677.03
0.74,134.68,74.49,683.39,1380.13,2580.75
0.75,135.19,73.74,667.24,1339.99,2599.83
0.76,136.24,73.71,646.58,1272.46,2727.98
0.77,137.09,74.05,654.57,1191.56,2584.99
0.78,137.01,73.88,644.54,1215.95,2643.66
0.79,136.92,73.2,622.77,1189.99,2719.81
0.8,137.04,72.71,593.94,1094.73,2638.08
0.81,136.64,72.57,550.14,1026.6,2678.81
0.82,136.39,71.96,498.12,1028.52,2760.19
