time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,126.21,1386.71,2602.85
0.04,0,60.57,145.89,1721.11,2629.35
0.05,0,57.93,821.63,2072.96,3215.22
0.06,0,57.47,97.72,1720.22,2756
0.07,0,62,92.3,1972.28,2887.16
0.08,0,62.8,143.48,2113.31,2501.44
0.09,0,59.12,187.6,1754.64,3024.02
0.1,0,55.88,171.34,1798.86,2992.28
0.11,0,57.62,192.14,1763.93,2720.7
0.12,0,59.98,151.84,1622.14,2882.77
0.13,0,60.98,986.22,2289.65,3552.06
0.14,0,60,1751.17,2704.43,3983.34
0.15,0,63.09,684,2044.87,3194.81
0.16,0,66.24,876.54,2184.54,3363.44
0.17,0,66.04,1004.24,2115.3,3368.83
0.18,0,65.66,499.59,1492.01,2743.72
0.19,0,66.78,800.75,1501.43,2774.88
0.2,182.79,69.66,400.18,1277.38,2733.14
0.21,178.47,73.66,489.43,1141.2,2819.81
0.22,172.8,76.29,620.17,1236.19,2818.99
0.23,169.61,77.36,620.65,1153.37,2755.89
0.24,167.27,78.01,621.07,1140.95,2737.33
0.25,166.58,78.51,610.7,1136.54,2747.6
0.26,167.21,78.65,600.18,1135.91,2782.9
0.27,168.03,78.25,572.65,1136.51,2782.31
0.28,168.14,77.35,533.03,1122.12,2812.93
0.29,167.49,75.94,493.54,1026.37,2800.57
0.3,167.7,74.12,467.21,970.1,2876
0.31,169.85,72.52,468.07,991.36,2870.24
0.32,172.49,71.43,451.16,1016.08,3038.95
0.33,173.78,71.31,443.26,1020.62,2913.36
0.34,175.19,72.44,475.68,1095.68,2882.57
0.35,178.44,74.1,485.55,1276.37,2920.04
0.36,181.5,74.94,493.07,1416.88,2907.9
0.37,182.49,75.26,490.18,1592.57,2914.74
0.38,182.72,75.66,478.15,1725,2904.77
0.39,183.05,75.52,439.18,1886.73,2903.68
0.4,182.74,75.19,450.87,2033.09,2893.93
0.41,182.08,74.4,430.94,2198.38,2861.73
0.42,181.24,73.66,421.61,2390.51,2803.09
0.43,180.4,73.2,382.33,2523.33,2705.48
0.44,180.64,73.1,523.14,2102.63,2720.59
0.45,181.29,73.51,384.8,1966.29,2760.39
0.46,181.36,73.75,290.04,1777.13,2685.37
0.47,180.94,73.6,336.01,1844.6,2606.65
0.48,179.23,72.86,526.53,1913.94,2718.49
0.49,176.72,72.11,472.4,2038.38,2594.31
0.5,174.19,70.87,476.7,2415.87,2530.54
0.51,171.6,69.83,469,2321,2561.68
0.52,170.59,70.35,446.21,2160.34,2455.35
0.53,170.4,71.91,445.15,2076.23,2376.25
0.54,168.89,72.91,474.46,2034.15,2287.78
0.55,167.05,73.86,488.91,1974.75,2234.03
0.56,165.86,74.67,494.49,1943.96,2203.9
0.57,164.95,75.05,498.26,1907.76,2154.67
0.58,164.06,74.99,504.07,1849.97,2227.58
0.59,163.25,75.04,507.47,1788.9,2478.36
0.6,162.57,75.42,499.04,1691.07,2544.09
0.61,161.52,74.58,493.91,1601.83,2572
0.62,159.03,72.49,490.91,1588.58,2413.69
0.63,158.28,71.27,478.62,1482.01,2554.03
0.64,159.04,71.56,446.11,1338.47,2862.04
0.65,159,71.58,453.06,1414.51,3012.39
0.66,158.74,71.73,454.17,1384.16,2955.7
0.67,157.89,71.75,442.62,1298.38,2907.05
0.68,156.23,71.12,419.87,1302.6,2905.17
0.69,154.32,71.12,424.04,1293.75,2770.6
0.7,154.61,72.26,413.58,1283.85,2718.78
0.71,156.26,74.25,454.03,1431.53,2827.12
0.72,154.13,75.76,523.86,1525.07,2849.91
0.73,149.43,76.12,592.61,1607.34,2845.4
0.74,146.16,77.07,619.14,1664.14,2767.16
0.75,143.69,78.03,635.41,1707.36,2780.82
0.76,141.34,77.98,649.15,1750.73,2771.78
0.77,139.02,77.25,659.93,1791.25,2762.84
0.78,136.95,76.91,649.11,1805.78,2777.99
0.79,135.09,76.61,644.63,1846.04,2761.06
0.8,133.4,76.26,612.4,1881.69,2738.63
0.81,131.98,75.81,601.8,1917.56,2733.72
0.82,130.7,75.46,602.03,1942.51,2749.14
0.83,129.52,75.61,596.97,1950.01,2738.61
