time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1516.09,1882.26,3277.3
0.04,0,64.68,799.55,1861.71,3188.64
0.05,0,64.97,475.93,1823.27,3191.43
0.06,0,65.23,1393.65,1741.87,3100.83
0.07,0,64.86,1012.35,1856.96,3093.56
0.08,0,62.74,1561.57,2076.91,3233.04
0.09,0,60.91,1716.32,2963.4,3671
0.1,0,63.46,1905.85,2714.03,3814.55
0.11,0,63.97,1914.73,2819.92,3981.1
0.12,0,61.75,1992.66,2954.54,4382.96
0.13,0,67.43,616.72,1849.79,2780.8
0.14,191.1,72.27,618.52,1907.53,2811.06
0.15,188.36,73.2,482.95,1905.49,2736.31
0.16,183.85,70.82,385.31,1868.12,2754.54
0.17,191.02,67.89,316.62,1881.17,2753.23
0.18,192.94,66.56,302.76,1865.91,2671.37
0.19,0,64.14,369.32,1930.3,2799.1
0.2,0,62.96,408.37,1878.27,2803.89
0.21,0,65.32,327.51,1752.83,2754.69
0.22,0,68.49,663.93,1760.58,2802.08
0.23,0,68.57,862.78,1784.54,2733.23
0.24,0,70.1,592.46,1950.67,2753.43
0.25,290.03,78.64,304.01,2056.15,2730.26
0.26,296.49,83.56,312.15,2534.59,2803.31
0.27,304.84,85.04,324.01,2491.01,2999.11
0.28,306.13,84.82,328.3,2664.22,3033.64
0.29,303.93,84.18,332.79,2690.3,3014.91
0.3,301.99,83.74,326.41,2683.25,2994.27
0.31,304.33,83.32,322.33,2718.31,2982.66
0.32,311.58,82.7,321.43,2509.44,2901.74
0.33,313.99,80.8,328.61,2230.86,2819.52
0.34,310.92,76.69,332.52,2158.13,2826.05
0.35,304.77,70.86,298.36,2203.7,3037.65
0.36,306.76,68.15,337.41,2212.54,2968.73
0.37,330.96,67.25,345.55,2086.36,2904
0.38,340.82,66.61,186.45,2072.42,2938.73
0.39,334.25,65.71,225.04,2021.48,3022.45
0.4,332.28,63.78,343.12,2096.86,2921.36
0.41,331.46,64.65,1809.62,3110.77,4323.84
0.42,252.67,72.92,417.21,1884.98,2860.3
0.43,236.15,79.31,467.05,1924.55,2803.62
0.44,222.01,81.91,456.89,1952.6,2795.81
0.45,203.96,81.43,466.63,1967.73,2780.68
0.46,192.42,80.52,479.27,2023.04,2783.33
0.47,189.52,80.2,429.43,2102.47,2748.48
0.48,187.72,77.2,429.05,2195.05,2639.43
0.49,185.16,72.99,398.74,2034.44,2735.76
0.5,0,70.4,360.84,2006.33,2695.15
0.51,0,68.43,405.38,2021.17,2744.66
0.52,0,67.29,363.74,1947.15,2717.94
0.53,0,65.99,383.03,1982.4,2758.92
0.54,0,64.26,507.65,2067.14,3025.85
0.55,0,64.2,492.5,1992.06,3064.75
0.56,0,64.89,435.48,2433.92,3159.87
0.57,0,64.82,478.69,2512.72,3272.9
0.58,0,64.28,1008.84,2720.5,3360.25
0.59,0,68.1,1111.78,2607.6,3123.51
0.6,218.92,73.8,351.18,2565.3,3044.53
0.61,227.81,76.92,403.24,2524.97,3055.02
0.62,231.31,78.45,508.01,2585.67,3012.04
0.63,224.59,79.67,545.84,2484.14,3043.34
0.64,215.04,80.45,577.68,2425.86,2980.76
0.65,203.46,82.19,598.56,2429.19,2959.29
0.66,194.54,84.76,579.71,2425.81,2937.82
0.67,183.32,85.78,548.18,2454.28,2980.35
0.68,178.61,85.13,530.96,2479.97,2975.95
0.69,176.23,83.51,520.46,2586.62,3005.15
0.7,171.87,81.32,509.34,2572.31,2953.35
0.71,174.17,78.48,509.93,2519.37,2901.54
0.72,175.94,75.3,487.17,2453.85,2915.86
0.73,173.81,73.55,437.21,2775.7,2946.27
0.74,166.1,73.53,480.26,2700.16,2976.54
0.75,171.18,72.82,484.81,2734.22,2991.15
0.76,171.53,69.83,483.5,2531.08,2973.81
0.77,173.81,68.03,499.75,2573.4,3041.69
0.78,176.8,66.56,499.82,2474.89,2947.5
0.79,177.49,65.52,504.64,2723.87,3131.79
0.8,174.82,64.61,486.68,2117.53,2698.71
0.81,174.41,63.52,459.55,2481.39,2999.75
0.82,173.79,62.33,440.87,2692.05,3016.7
0.83,0,62.78,465.03,2457.31,2982.17
0.84,0,63.8,460.43,2512.52,3164.29
0.85,0,61.86,442.21,2546.97,3159.87
0.86,0,60,452.08,2240.87,3009.5
0.87,0,60.38,380.48,2027.26,2713.61
0.88,0,61.13,1764.9,2165.9,3068.71
0.89,0,61,1227.65,2086.2,3025.89
0.9,0,59.23,754.86,2313.24,3222.06
0.91,0,58.72,1147.01,2053.01,2712.9
0.92,0,59.76,1388.55,2148.44,2700.55
0.93,0,59.19,643.05,2150.25,2699.53
0.94,0,62.95,961.48,2037.79,2769.33
0.95,0,65.67,1660.24,1973.17,2644.15
0.96,0,65.53,1203.78,1996.18,2729.96
0.97,0,65.77,1098.08,2227.45,3212.48
0.98,0,64.41,456.78,2184.47,3077.55
0.99,0,62.63,115.78,1956.51,2746.44
1,0,0,0,0,0
1.01,0,0,0,0,0
1.02,0,0,0,0,0
