time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,64.68,391.74,2392.71,2687.05
0.04,0,64.5,2258.35,2654.76,3956.11
0.05,0,64.28,1669.31,2345.56,3800.09
0.06,0,62.01,167.85,1942.62,2933.96
0.07,0,59.15,133.71,1701.8,3164.08
0.08,0,59.73,458.93,2252.49,3335.02
0.09,0,60.64,240.01,2185.42,3207.29
0.1,0,63.99,394.64,2239.31,3246.89
0.11,0,63.81,1996.39,3025.92,4055.52
0.12,0,64.64,382.09,2281.17,3340.1
0.13,0,67.88,492.2,1714.04,3267.06
0.14,0,69.89,439.27,1581.08,3188.16
0.15,195.66,74.1,400.65,1362.76,3081.45
0.16,195.98,78.39,395.46,1001.49,3386.34
0.17,198.32,80.71,401.11,986.64,3413.47
0.18,200.12,81.78,410.57,953.08,3368.35
0.19,199.97,82.21,424.56,988.7,3334.76
0.2,200.29,83.27,525.92,1078.47,3343.49
0.21,200.24,84.84,586.96,1184.37,3311.19
0.22,198.63,85.22,600,1198.25,3289.19
0.23,196.2,84.28,619.8,1195.39,3226.45
0.24,194.22,83.4,634.9,1182.27,3125.5
0.25,193.63,83.41,622.07,1163.61,3090.65
0.26,193.89,83.92,609.7,1144.87,3088.4
0.27,194.11,84.53,595.18,1117.17,3083.07
0.28,193.81,84.92,585.6,1069.86,3040.95
0.29,193.77,84.63,573.58,1038.74,2940.91
0.3,193.36,83.32,556.54,1035.87,2971.92
0.31,191.5,81.44,512.51,975.05,3005.06
0.32,189.08,80.09,469.69,1059.02,3003.4
0.33,188.08,80.17,487.18,1117.96,2978.83
0.34,188.35,81.21,528.32,1044.21,2969.66
0.35,187.97,81.95,536.81,1090.72,2955.51
0.36,187.35,81.82,538.83,1133.07,2925.67
0.37,186.96,81.06,531.02,1194.77,2889.93
0.38,185.78,80.06,524.71,1280.57,2829.53
0.39,183.93,78.53,507.15,1302.96,2821.39
0.4,180.96,76.26,470.32,1355.88,2827.07
0.41,183.05,73.14,464.24,1490.72,2784.82
0.42,185.34,71.12,479.56,1545.36,2747.6
0.43,187.11,70.54,437.11,1663.13,2939.74
0.44,190.26,69.49,434.35,1655.07,2836.66
0.45,189.19,68.12,538.51,1649.46,2821.57
0.46,187.22,65.15,545.12,1865.38,2846.89
0.47,188.12,62.53,596.93,1721.68,2848.79
0.48,0,63.32,543.4,1916.75,2877.93
0.49,393.53,66.45,463.53,1923.97,2743.46
0.5,398.39,68.48,401.76,1994.23,2870.41
0.51,395.22,68.26,369.39,1888.65,2868.12
0.52,385.44,65.36,443.57,1945.67,2943.45
0.53,375.95,63.66,403.55,1905.29,2899.28
0.54,402.25,64.95,381.36,2273.01,2778.22
0.55,418.94,64.39,420.68,2244.26,2888.24
0.56,0,62.91,551.74,2388.81,2977.37
0.57,202.91,67.42,303.2,2374.6,3054.67
0.58,194.78,72.06,314.92,2761.9,3134.32
0.59,188.38,74.23,391.05,2695.6,3224.46
0.6,186.84,75.82,384.08,2783.05,3325.02
0.61,186.41,77.15,360.67,2721.83,3318.74
0.62,185.74,77.83,366.32,2729.88,3121.32
0.63,184.57,78.07,357.24,2696.88,3085.66
0.64,182.83,78.02,346.08,2595.8,2973.1
0.65,181.32,77.37,353.36,2539.23,2878.42
0.66,179.37,76.51,353.54,2453.25,2719.76
0.67,176.49,75.16,355.43,2228.1,2712.63
0.68,172.01,73.81,358.14,2058.41,2708.98
0.69,167.74,74.98,358.85,1946.28,2680.69
0.7,166.04,77.17,348.65,1838.81,2710.4
0.71,163.83,77.59,346.88,1746.35,2718.91
0.72,161.21,76.99,352.01,1682.46,2708.46
0.73,160.6,76.16,350.85,1624.06,2728.78
0.74,155.24,73.37,367.51,1613.96,2718.18
0.75,150.37,71.54,379.95,1572.5,2748
0.76,0,72.24,353.96,1600.79,2749.77
0.77,0,71.65,369.32,1588.22,2726.14
0.78,0,70.48,357.89,1633.61,2775.64
0.79,0,69.81,359.02,1685.14,2787.46
0.8,0,69.54,374.99,1671.38,2812.95
0.81,0,68.9,351,1749.62,2843.23
0.82,0,68,329.81,1686.57,2847.52
0.83,0,68.45,309.61,1714.84,2901.96
