time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1594.07,2741.48,3853.38
0.04,0,63.28,1733.07,2808.72,4051.99
0.05,0,59.63,1589.73,2719.63,4016.41
0.06,0,54.71,948.85,2328.21,3292.1
0.07,0,52.64,158.23,1826.24,3057.17
0.08,0,56.67,1070.13,2439.55,3678.64
0.09,0,61.2,2040.06,2790.03,4357.02
0.1,0,61.78,97.37,2018.79,2998.21
0.11,0,59.69,1877.88,2993.09,4313.68
0.12,0,62.99,1832.31,2896.67,4063.83
0.13,0,68.39,1625.63,2803.7,3814.98
0.14,0,70.85,1790.96,2958.7,3688.02
0.15,465.18,71.28,1591.1,2898.12,3136.56
0.16,459.27,71.44,1064.03,2830.28,3111.15
0.17,454.34,69.47,907.49,2651.67,3118.78
0.18,455.56,66.4,594.31,2471.49,3148.16
0.19,456.92,67.23,692.54,2451.86,3006.49
0.2,0,69.47,768.93,2292.88,2925.14
0.21,213.35,73.05,741.61,2293.34,3028.29
0.22,217.07,75.8,742.61,2209.59,3032.15
0.23,218.61,76.67,744.34,1994.75,2930.8
0.24,209.07,78.11,806.38,1876.86,2937.36
0.25,200.36,81.32,837,1854.05,2727.85
0.26,199,83.44,815.74,1821.45,2708.7
0.27,199.9,84.23,804.1,1801.49,2700.9
0.28,201.65,84.15,794.39,1873.4,2686.68
0.29,203,82.9,771.56,1939.11,2804.45
0.3,203.66,80.82,713.18,1839.4,2907.68
0.31,202.54,77.32,690.2,1908.2,2952.18
0.32,200.95,71.94,751.67,1931.98,3009.28
0.33,200.3,69.06,790.37,1940.28,2815.99
0.34,200.16,68.15,785.8,1926.65,2987.66
0.35,0,68.11,799.98,1927.47,3239.01
0.36,0,67.48,819.54,1966.79,3259.31
0.37,0,66.48,1368.94,2431.95,3423.57
0.38,0,66.48,945.32,2680.16,3452.59
0.39,0,68.27,1173.72,2601.74,3249.41
0.4,0,68.92,834.28,2180.22,3099.65
0.41,0,67.26,834.05,2016.01,3035.96
0.42,0,64.62,789.85,1907.63,2953.95
0.43,0,61.14,765.33,1867.25,2965.94
0.44,0,58.57,731.23,2119.5,3032.69
0.45,0,57.68,687.1,2034.88,2947.63
0.46,0,58.79,661.48,1939.76,2914.22
0.47,0,58.9,607.2,1670.17,2936.43
0.48,363.43,60.23,1548.91,2846.4,4167.67
0.49,307.06,66.07,973.51,2324.51,3546.33
0.5,249.62,73.64,453.42,1645.94,2889.89
0.51,241.05,77.21,502.86,1632.93,2912.38
0.52,231.72,77.63,521.27,1616.47,3019.95
0.53,222.63,77.39,430.44,1613.16,3311.57
0.54,216.94,77.06,380.53,1574.8,3094.38
0.55,214.19,77.5,355.05,1609.72,2923.81
0.56,211.81,78.26,312.99,1682.22,2658.74
0.57,207.93,77.74,304.19,1740.41,2421.4
0.58,202.98,76.3,344.88,1665.75,2589.32
0.59,200.04,76.79,360.36,1682.81,2771.44
0.6,198.78,78.39,358.59,1684.07,2739.23
0.61,196.7,79.45,325.33,1717.78,2833.72
0.62,194.03,80.04,305.86,1857.19,2463.75
0.63,192.17,80.54,296.98,1968.74,2776.69
0.64,190.61,81,313.48,1815.37,3082.12
0.65,188.06,80.67,298.88,1817.96,3096.6
0.66,187.91,78.87,247.64,1839.33,3056.65
0.67,190.08,75.84,238.99,1743.85,2929.07
0.68,189.5,74.2,238.64,1599.47,2916.99
0.69,190.86,71.6,240.37,1686.99,2921.29
0.7,189.1,67.04,258.26,1868.61,2947.68
0.71,0,66.71,260.79,1852.82,2965.16
0.72,0,66.87,1077.33,2439.78,3688.9
0.73,0,64.03,242.65,1788.4,3049.78
0.74,187.71,63.85,216.34,1893.76,2931.68
0.75,182.18,68.12,248.06,2168.76,2915.22
0.76,178.41,71.98,335.2,2329.6,2847.39
0.77,183.58,74.91,362.98,2389.18,2875.82
0.78,188.6,76.31,395.47,2568.18,2898.74
0.79,190.14,77.29,398.31,2678.78,2950.44
0.8,190.29,77.91,412.37,2682.31,3002.5
0.81,189.58,78.19,389.48,2749.26,3028.9
0.82,187.77,78.37,373.7,2807.19,3132.07
0.83,186.07,78.34,374.2,2787.12,3167.12
