time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,1431.71,2801.62,3634.36
0.04,0,61.25,960.33,2459.65,3440.99
0.05,0,61.17,1799.6,3230.38,4573.53
0.06,0,61.48,1945.35,2495.39,3500.71
0.07,0,60.05,144.18,1895.35,2841.41
0.08,0,56.21,291.94,1993.25,3019.74
0.09,0,57.75,1416.93,2520.71,3706.13
0.1,0,58.23,1388.17,2781.7,3978.98
0.11,0,58.92,1691.91,3024.08,4303.73
0.12,0,62.26,1580.47,2700.22,3972.02
0.13,0,63.66,1385.09,2682.36,3816.2
0.14,0,62.09,1450.7,2785.82,3702.17
0.15,0,60.77,663.24,2324.25,3338.2
0.16,0,61.64,1505.47,2327,3316.43
0.17,0,64.33,1627.54,2014.52,3052.12
0.18,0,71.83,451.04,2029.56,2900
0.19,193.47,77.77,535.09,2074.89,2921.51
0.2,195.05,80.53,607.03,2031.05,2927.67
0.21,192.99,81.37,685.87,1942.31,2897.92
0.22,189.78,81.79,790.77,1831.04,2805.49
0.23,189.52,82.39,885.28,1739.47,2769.83
0.24,190.72,82.59,898.08,1638.98,2747.22
0.25,192.31,82.25,805.09,1589.11,2847.67
0.26,194.18,82.08,759.88,1565.52,2976.2
0.27,194.48,82.1,729.74,1558.43,3040.23
0.28,194.76,81.6,693.1,1558.6,3067.89
0.29,195.3,80.6,625.24,1570.42,3117.57
0.3,196.16,79.46,556.42,1565.71,3062.39
0.31,198.5,78.42,514.85,1539.11,2961.03
0.32,202.97,77.62,415.39,1630.1,2776.01
0.33,208.75,77.23,364.56,1646.07,2539.38
0.34,205.12,76.45,347.65,1570.48,2903.63
0.35,195.82,74.92,346.05,1604.18,2585.62
0.36,193.19,73.39,342.8,1620.37,2906.3
0.37,194.34,72.1,260.78,1683.99,2962.73
0.38,194.2,70.65,1089.06,2475.14,3586.43
0.39,190.3,69.14,1439.22,2911.25,4120.4
0.4,188.84,68.16,1403.68,2852.94,4135.87
0.41,192.7,66.73,1795.6,2866.77,4167.89
0.42,192.4,65.3,835.38,2251.77,3380.59
0.43,193.04,64.72,311.6,1841.85,2891.63
0.44,192.36,63.51,1221.69,2470.76,3801.84
0.45,213.7,66.29,718.38,2156.82,3430.44
0.46,210.23,71.58,315.09,1702.75,2831.8
0.47,199.58,72.64,329,1665.9,2802.6
0.48,189.35,71.62,297.43,1603.47,2741.83
0.49,186.59,70.77,237.48,1478.94,2805.25
0.5,186.16,68.88,237.04,1641.54,2825.17
0.51,0,66.17,278.97,1667.15,2898.31
0.52,0,66.46,264.86,1742.15,2930.44
0.53,187.08,69.66,314.13,1639.63,2828.64
0.54,184.12,73.72,451.56,1600.87,2795.02
0.55,182.15,77.04,528.33,1607.82,2808.47
0.56,179.6,78.21,532.78,1570.74,2816.24
0.57,175.98,77.26,521.06,1458.64,2795.68
0.58,170.96,75.63,508.07,1285.14,2794.66
0.59,168.72,75.22,496.91,1188.92,2807.73
0.6,167.29,74.89,477.8,1116.45,2856.34
0.61,165.18,73.8,457.74,1203.51,2971.07
0.62,163.58,73.19,424.47,1392.35,2983.34
0.63,164.04,73.36,449.09,1451.41,3044.21
0.64,162.55,72.96,452.96,1196.58,3113.23
0.65,161.66,72.68,430.22,1157.43,3121.93
0.66,163.86,74.47,470.32,1001.13,3059.57
0.67,164.79,76.21,499.25,1026.32,3034.41
0.68,163.29,76.01,519.98,1004.62,2997.44
0.69,162.16,75.12,585.44,1059.27,2947.77
0.7,161.04,74.72,673.3,1173.53,2882.79
0.71,161.11,75.51,760.34,1272.85,2846.48
0.72,161.58,76.91,805.89,1319.59,2777.84
0.73,160.8,77.61,845.54,1354.09,2723.53
0.74,159.89,77.73,865.35,1418.89,2670.29
0.75,159.1,77.84,883.58,1473.56,2612.31
0.76,158.43,77.87,875.97,1532.94,2588.33
0.77,157.65,77.67,888.01,1572.19,2609.33
0.78,156.47,76.73,909.86,1630.26,2629.5
0.79,155.46,75.54,909.26,1720.56,2652.66
0.8,154.47,74.97,843.28,1829.31,2683.97
0.81,153.01,74.42,797.84,1890.96,2667.53
0.82,150.6,73.61,737.09,1985.01,2656.42
