time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,0,468.06,1856.99,3073.04
0.04,0,61.87,147.3,1922.24,2746.44
0.05,0,59.31,129.63,1924.96,2879.19
0.06,0,60.22,950.77,2418.58,3628.67
0.07,0,59.42,1792.99,2870.95,4293.65
0.08,0,57.07,123,1639.17,2733.36
0.09,0,58.13,163.08,1908.8,2641.3
0.1,0,62.82,126.12,2684.14,2932.02
0.11,381.8,66.27,315.37,2721.01,2921.42
0.12,375.08,66.97,373.48,2688.34,2881.98
0.13,208.13,68.89,380.45,2725.95,2794.62
0.14,176.49,72.31,368.83,2721.54,3186.56
0.15,188.02,74.59,361.12,2698.4,3198.19
0.16,199.26,76.25,380.76,2736.42,3099.32
0.17,201.81,76.76,374.95,2771.77,3148.85
0.18,202.55,76.7,380.7,2747,3129.64
0.19,202.52,76.15,390.05,2746.03,3164.29
0.2,202.05,74.82,406.9,2838.81,3251.37
0.21,199.28,74.3,416.99,2821.19,3112.59
0.22,196.06,74.52,414.78,2758.95,2997.46
0.23,190.78,74.28,405.08,2750.82,2996.71
0.24,185.11,73.04,366.85,2753.08,3163.61
0.25,183.71,70.13,278,2771.68,3195.71
0.26,188.23,66.93,361.37,2748.51,3031.17
0.27,190.03,66.63,399,2628.9,2910.13
0.28,193.52,70.39,389.96,2442.31,2763.64
0.29,202.95,75.2,398.21,2260.39,2612.49
0.3,207.46,78.29,415.72,2221.61,2546.91
0.31,208.97,78.89,431.3,2069.83,2429.39
0.32,208.39,77.4,451.9,1863.2,2392.18
0.33,206.18,75.48,492.83,1804.52,2314.73
0.34,205.21,74.59,532.55,1734.32,2264.2
0.35,205.2,75.14,500.67,1684.37,2245.32
0.36,206.02,75.83,474.01,1705.05,2235.97
0.37,206,75.89,467.87,1693.01,2209.59
0.38,204.93,75.72,457.35,1635.63,2171.53
0.39,203.43,75.91,434.57,1576.03,2098.74
0.4,201.29,75.97,409.24,1527.2,2039.34
0.41,197.32,74.92,395.97,1591.85,2044.34
0.42,190.64,73.82,290.81,1816.23,1959.42
0.43,188.87,72.5,254.77,1792.37,2053.93
0.44,188.76,69.88,281.72,1701.86,2119.58
0.45,198.09,66.97,294.51,1639.76,2149.95
0.46,201.48,64.87,293.77,1593.53,2308.02
0.47,201.37,64.16,256.67,1732.27,2174.21
0.48,0,63.34,314.9,1931.55,2175.6
0.49,477.52,63.07,401.78,1518.48,2157.15
0.5,480.76,64.37,372.92,1737.02,2549.42
0.51,0,66.03,1619.28,2498.18,3086.85
0.52,205.59,69.89,1731.19,2659.25,3904.44
0.53,191.4,73.84,324.13,2549.15,2833.72
0.54,186.4,75.28,359.39,2750.06,3067.9
0.55,184.84,76.14,386.95,2737.37,3290.48
0.56,183.25,76.72,381.85,2734.91,3312.82
0.57,182.25,76.41,381.04,2711.69,3280.84
0.58,180.8,75.62,359.17,2698.52,3287.19
0.59,179.27,74.46,356.95,2700.29,3267.8
0.6,176.82,72.21,357.85,2741.11,3205.62
0.61,174.72,70.4,366.18,2780.17,3131.94
0.62,172.22,70.74,370.43,2717.14,3000.42
0.63,169.87,72.12,363.38,2614.9,2912.92
0.64,166.54,72.94,351.29,2433.02,2790.4
0.65,315.42,72.63,337.16,2240.1,2720.99
0.66,351.73,71.7,314.6,2080.04,2712.65
0.67,345.79,69.2,325.83,1823.57,2712.11
0.68,333.1,65.05,325.93,1753.18,2785.82
0.69,338.01,62.02,343.94,1726,2840.44
0.7,336.09,62.59,350.82,1817.33,2933.62
0.71,330.5,63.72,1645.8,2965.66,4237.58
0.72,0,66.14,398.86,1530.68,2749
0.73,0,70.46,478.83,1516.64,2179.67
0.74,0,73.57,541.24,1576.56,2113.14
0.75,0,74.95,552.98,1631.79,2074.19
0.76,0,74.41,547.37,1651.96,2054.54
0.77,0,73.95,575.63,1666.39,2059.36
0.78,0,73.68,572.17,1675.18,2050.45
0.79,0,73.29,584.91,1635.65,2054
0.8,0,72.37,577,1644.51,2028.97
0.81,86.76,71.63,598.49,1643.92,2098.46
0.82,84.84,71.01,601.77,1670.59,2095.93
0.83,83.28,69.94,588.02,1696.6,2084.32
