time,pitch,intensity,formant1,formant2,formant3
0.01,0,0,0,0,0
0.02,0,0,0,0,0
0.03,0,62.9,1804.22,2863.97,4233.75
0.04,0,63.51,1712.12,2818.24,4159.18
0.05,0,62.2,1591.54,2742.59,3644.37
0.06,0,59.54,1581.73,2783.05,3925.69
0.07,0,57.29,1589.62,2328.25,2992.84
0.08,0,61.29,1316.21,2592.92,2920.83
0.09,240.94,73.43,409.76,1925.77,2770.16
0.1,222.62,79.9,498.18,2025.22,2699.22
0.11,219.63,81.26,510.25,2138.91,2799.55
0.12,221.94,81.37,513.99,2197.42,2838.54
0.13,223.79,81.66,522.18,2244.59,2847.57
0.14,226.19,81.63,526.93,2279.83,2873.15
0.15,229.2,81.82,533.72,2291.9,2865.5
0.16,232.42,82.51,535.94,2320.08,2816.6
0.17,235.71,82.85,532.84,2341.14,2807.11
0.18,238.88,82.85,543.73,2398.44,2804.24
0.19,241.85,82.73,566.57,2416.81,2522.47
0.2,244.65,82.9,583.97,2259.76,2601.69
0.21,246.27,83.29,589.62,2112.48,2490.74
0.22,248.56,83.08,591.85,1979.23,2398.23
0.23,250.72,82.61,608.93,1938.37,2361.57
0.24,252.87,82.13,664.16,1896.82,2279.73
0.25,255.45,82.19,698.27,1862.27,2266.43
0.26,258.28,82.52,727.52,1823.69,2201.63
0.27,260.44,82.69,717.71,1753.12,2131.29
0.28,262.3,82.82,682.42,1716.03,2070.22
0.29,264.24,82.93,672.56,1703.74,1991.33
0.3,266.13,82.42,688.09,1683.86,1912.43
0.31,266.92,82.52,736.88,1668.09,1873.16
0.32,266.37,82.92,667.05,1685.32,1900.3
0.33,264.48,82.19,638.34,1694.1,1969.01
0.34,259.4,80.82,607.94,1743.86,2085.03
0.35,251.6,79.18,592.37,1786.75,2158.24
0.36,0,77.25,590.99,1861.13,2304.04
0.37,0,76.77,591.94,1932.09,2427.52
0.38,0,77.77,591.13,2053.05,2478.62
0.39,0,77.39,582.61,2084.98,2648.1
0.4,0,76.45,586.59,2130.71,2748.98
0.41,0,76.15,594.92,2194.7,2810.49
0.42,0,75.53,594.32,2190.12,2882.02
0.43,186.57,74.8,562.64,2165.9,2964.06
0.44,186.56,75.08,499.51,2087.46,2987.11
0.45,185.23,75.4,427.17,1991.05,2967.87
0.46,183.19,75.68,398.89,1963.42,2910.56
0.47,182.38,75.71,382.85,1867.36,2834.36
0.48,183.24,75.87,371.02,1988.02,2924.39
0.49,186,76.77,321.22,2096.27,3031.29
0.5,185.95,77.56,305.35,2034.61,2981.53
0.51,184.09,77.5,314.04,2010.57,2888.72
0.52,183.82,75.89,328.04,1967.81,2730.82
0.53,187.69,72.61,327.03,1777.3,2630.85
0.54,185.34,70.89,318.68,1820.87,2572.56
0.55,187.01,69.25,286.05,1886.15,2897.04
0.56,186.71,66.31,738.17,1923.35,3054.21
0.57,181.63,64.32,1751.27,2607.8,3842.59
0.58,185.6,62.71,1651.09,2311.05,3500.12
0.59,187.22,61.75,1612.82,1946.15,3025.12
0.6,0,62.73,236.68,1972.48,2959.32
0.61,0,63.26,1944.28,2949.1,4345.61
0.62,0,63.53,796.61,2254.17,3331.5
0.63,420.37,64.95,342.06,1830.55,2934.02
0.64,417.11,64.7,314.62,1969.85,2850
0.65,0,62.62,1778.56,2804.99,4380.59
0.66,0,63.18,1639.38,2712.64,3662.16
0.67,0,61.72,1597.59,2683.23,3224.65
0.68,0,57.38,771.86,2098.43,3370.81
0.69,0,60.55,313.81,1773.88,2862.97
0.7,0,64.46,146.85,1670.12,2987.46
0.71,0,63.56,1357.09,2218.2,3628.83
0.72,0,60.68,1205.22,2012.49,2862.8
0.73,0,61.93,1037.68,1438.99,2948.2
0.74,0,63.56,813.58,1217.28,2864.97
0.75,0,68.97,423.13,1210.31,2629.13
0.76,175.22,72.75,447.56,914,2643.37
0.77,178.03,73.81,474.96,956.16,2728.13
0.78,179.82,74.62,497.54,977.38,2707.46
0.79,180.39,76.07,525.7,1030.36,2708.07
0.8,180.84,78.1,538.98,1152.37,2700.44
0.81,181.24,79.44,554.04,1242.45,2684.05
0.82,180.28,78.82,578.56,1341.74,2651.31
0.83,176.23,76.59,641.26,1524.71,2633.63
